osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,bridge,width
34420123,True,Gabelsbergerstraße,residential,30,False,242.701,"LINESTRING (13.0756365 50.7502238, 13.0732841 50.7495462, 13.072637 50.7493642, 13.0724888 50.7493317)",,,,
"[1234879408, 560499611]",False,Waldkirchener Straße,tertiary,,True,163.232,"LINESTRING (13.0756365 50.7502238, 13.0755845 50.7499321, 13.0754679 50.7495851, 13.0751973 50.7487835)",2,S 228,,
"[560499624, 8885975]",False,Rudolf-Breitscheid-Straße,tertiary,,False,130.313,"LINESTRING (13.0745497 50.7474301, 13.0746328 50.7473836, 13.0757495 50.7472107, 13.0760332 50.7471586, 13.0763088 50.74709)",2,K 8174,,
"[4823002, 560499629]",False,Rudolf-Breitscheid-Straße,tertiary,,False,117.466,"LINESTRING (13.0745497 50.7474301, 13.0744832 50.7474135, 13.0743956 50.7474126, 13.0742995 50.7474224, 13.0741182 50.7474622, 13.0737429 50.7475601, 13.0731404 50.7477127, 13.0729771 50.7477326)",2,S 228,,
"[560499621, 560499631, 32928849, 560499634, 560499611, 560499614]",False,Waldkirchener Straße,tertiary,,False,158.224,"LINESTRING (13.0745497 50.7474301, 13.0745938 50.7474542, 13.0746526 50.7475167, 13.0747339 50.7476643, 13.0748165 50.747862, 13.0748614 50.7479574, 13.0749723 50.7482302, 13.0750061 50.7483131, 13.0750638 50.7484552, 13.0750976 50.7485383, 13.0751973 50.7487835)","['2', '3']",S 228,,
"[1234879409, 355679447]",True,An den Anlagen,tertiary,50,False,124.994,"LINESTRING (13.0723394 50.7476633, 13.0722656 50.7478472, 13.0721888 50.7479733, 13.0721458 50.7480442, 13.072008 50.7482338, 13.0716302 50.7486895)",2,S 228,,
697224558,False,Rudolf-Breitscheid-Straße,tertiary,,False,45.61,"LINESTRING (13.0723394 50.7476633, 13.0728357 50.7477278, 13.0729771 50.7477326)",2,S 228,,
35139987,False,Nordstraße,residential,,True,57.623000000000005,"LINESTRING (13.0695293 50.7494999, 13.069569 50.7495851, 13.0697342 50.7497527, 13.0699445 50.7499426)",,,,
35583270,True,Schillerplatz,tertiary,30,False,55.321999999999996,"LINESTRING (13.0695293 50.7494999, 13.0693755 50.7494669, 13.0692158 50.7494114, 13.0690723 50.7493407, 13.0688461 50.7492598)",,S 228,,
35073072,True,Lange Straße,tertiary,30,False,35.644000000000005,"LINESTRING (13.0698821 50.748727, 13.0699246 50.7486653, 13.0699403 50.7486183, 13.0699409 50.7485498, 13.069942 50.7484131)",,S 228,,
