osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,width,access
24395719,2,K 6938,Seebronner Straße,tertiary,50,False,True,204.177,"LINESTRING (8.93622 48.4793503, 8.9362426 48.4793857, 8.9362635 48.4794299, 8.9363145 48.4796481, 8.9363909 48.4798341, 8.9367278 48.4803879, 8.9368449 48.480587, 8.9369388 48.4808395, 8.9370009 48.4811033)",,,,
1198081834,,,Eugen-Bolz-Platz,secondary,50,True,False,18.903,"LINESTRING (8.93622 48.4793503, 8.9361565 48.4793563, 8.9360933 48.4793491, 8.9360365 48.4793294, 8.9359916 48.4792991)",roundabout,,,
47386831,,K 6921,Tübinger Straße,tertiary,30,False,True,73.721,"LINESTRING (8.938245 48.4734811, 8.938117 48.4734933, 8.9380527 48.4734995, 8.9378643 48.4735317, 8.9372734 48.4736352)",,,,
461653155,,,,secondary,50,True,False,14.465000000000002,"LINESTRING (8.938245 48.4734811, 8.9382635 48.473451, 8.9382942 48.4734256, 8.9383345 48.4734071, 8.9383811 48.4733969)",roundabout,,,
"[4798192, 220905100, 4798191]",2,K 6938,Sprollstraße,"['tertiary', 'secondary']","['50', '30']",False,True,114.901,"LINESTRING (8.9384248 48.4736209, 8.9384577 48.4737368, 8.9385089 48.4738831, 8.9385178 48.473907, 8.9385514 48.4739984, 8.9385809 48.4740976, 8.9386071 48.4742047, 8.9386493 48.4743781, 8.9386754 48.4744754, 8.9387149 48.4746089, 8.9387217 48.4746349)",,yes,,
461653156,,,,secondary,50,True,False,23.746,"LINESTRING (8.9384248 48.4736209, 8.9383712 48.4736182, 8.9383216 48.4736047, 8.9382808 48.4735816, 8.9382528 48.4735512, 8.9382405 48.4735166, 8.938245 48.4734811)",roundabout,,,
461653157,,,,secondary,50,True,False,22.611,"LINESTRING (8.9385725 48.4734728, 8.938581 48.4735063, 8.9385742 48.4735399, 8.9385527 48.4735706, 8.9385185 48.4735957, 8.9384745 48.473613, 8.9384248 48.4736209)",roundabout,,,
1219289140,2,L 370,Tübinger Straße,secondary,50,False,False,66.529,"LINESTRING (8.9385725 48.4734728, 8.9386621 48.4734591, 8.9387442 48.4734477, 8.9387879 48.4734416, 8.9389726 48.4734226, 8.939226 48.4734041, 8.939465 48.4733887)",,,,
4920964,,,,secondary,50,True,False,17.855999999999998,"LINESTRING (8.9383811 48.4733969, 8.9384295 48.4733959, 8.9384764 48.473404, 8.938518 48.4734205, 8.9385509 48.4734441, 8.9385725 48.4734728)",roundabout,,,
93855842,2,L 370,Poststraße,secondary,50,False,True,162.441,"LINESTRING (8.9383811 48.4733969, 8.9383611 48.4732028, 8.9383302 48.4730508, 8.9382934 48.4729514, 8.9382346 48.4728754, 8.93817 48.4728365, 8.9380818 48.4727975, 8.937969 48.4727616, 8.9378368 48.4727434, 8.9376525 48.4727353, 8.9374851 48.4727312, 8.9368954 48.4727226)",,,,
"[624279728, 252266409]",2,L 372,Sülchenstraße,secondary,30,False,True,170.664,"LINESTRING (8.9363444 48.47928, 8.9363955 48.4793, 8.9364679 48.4793259, 8.9365257 48.4793429, 8.9366076 48.479365, 8.9368402 48.4794187, 8.937491 48.4795628, 8.9379102 48.4797029, 8.938072 48.4797619, 8.9384536 48.479901)",,,,
1198081835,,,Eugen-Bolz-Platz,secondary,50,True,False,12.350000000000001,"LINESTRING (8.9363444 48.47928, 8.9363132 48.4793107, 8.9362706 48.4793347, 8.93622 48.4793503)",roundabout,,,
39394296,,,Gartenstraße,residential,,False,False,99.777,"LINESTRING (8.9386055 48.4750533, 8.938543 48.4750622, 8.938482 48.4750719, 8.9384149 48.4750875, 8.9383094 48.4751131, 8.938097 48.4752112, 8.9375921 48.4754346, 8.9374275 48.4754787)",,,,
107692951,3,,Gartenstraße,residential,50,False,False,40.413000000000004,"LINESTRING (8.9386055 48.4750533, 8.9387003 48.4750382, 8.9387371 48.475033, 8.9387972 48.4750244, 8.9391435 48.474984)",,,,
220905101,2,K 6938,Sprollstraße,secondary,30,False,False,47.513,"LINESTRING (8.9386055 48.4750533, 8.9386626 48.4749322, 8.9386724 48.4749026, 8.9387054 48.4747854, 8.9387217 48.4746349)",,,,
815704211,2,K 6938,Sprollstraße,secondary,30,False,True,94.872,"LINESTRING (8.9386055 48.4750533, 8.9385202 48.4752405, 8.9382296 48.4758693)",,,8,
