osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access,bridge,junction
275735002,True,5,B 54,Märkischer Ring,primary,50,False,63.844,"LINESTRING (7.475114 51.3614993, 7.4752508 51.3613922, 7.4753744 51.3613279, 7.4756124 51.3612092, 7.4756607 51.3611851, 7.4757914 51.3611145)",,,
"[399374491, 302548917, 142475270]",False,"['4', '6']",B 54,Märkischer Ring,primary,50,True,132.64800000000002,"LINESTRING (7.475114 51.3614993, 7.4746856 51.3616806, 7.4744706 51.361796, 7.4742927 51.3618955, 7.4739101 51.3621157, 7.4737452 51.3621981, 7.4736333 51.3622497)",,,
98599293,False,2,L 702,Emilienplatz,primary,50,False,15.627,"LINESTRING (7.475945 51.3610367, 7.4761176 51.3611269)",,,
275735000,True,2,B 54,Märkischer Ring,primary,30,False,60.71300000000001,"LINESTRING (7.475945 51.3610367, 7.4760977 51.360963, 7.4762082 51.3609077, 7.476503 51.3607767, 7.4766674 51.3607341)",,,
"[42967089, 444239865]",False,"['4', '5']",B 54,Volmestraße,primary,50,False,178.997,"LINESTRING (7.4803664 51.355101, 7.480076 51.3553008, 7.4798983 51.3554332, 7.4798022 51.3555354, 7.4796849 51.3556501, 7.4795515 51.3557863, 7.4794833 51.3559308, 7.4793819 51.356149, 7.4793602 51.3562009, 7.4792876 51.3563745, 7.4792256 51.3565111)",,,
444239860,False,6,B 54,Volmestraße,primary,50,False,24.745,"LINESTRING (7.4792256 51.3565111, 7.4791133 51.3567223)",,,
"[444239865, 42967089]",False,"['4', '5']",B 54,Volmestraße,primary,50,True,178.99699999999999,"LINESTRING (7.4792256 51.3565111, 7.4792876 51.3563745, 7.4793602 51.3562009, 7.4793819 51.356149, 7.4794833 51.3559308, 7.4795515 51.3557863, 7.4796849 51.3556501, 7.4798022 51.3555354, 7.4798983 51.3554332, 7.480076 51.3553008, 7.4803664 51.355101)",,,
"[23511881, 198777831]",False,4,L 700,Märkischer Ring,secondary,50,False,40.138,"LINESTRING (7.4789819 51.3570441, 7.478923 51.3570203, 7.4787646 51.3569359, 7.4785243 51.3568241)",,,
243980401,False,5,B 54,Märkischer Ring,primary,50,True,52.894999999999996,"LINESTRING (7.4789819 51.3570441, 7.4789718 51.3571246, 7.4789488 51.3572609, 7.4789016 51.3575171)",,,
444239862,False,6,B 54,Volmestraße,primary,50,True,36.929,"LINESTRING (7.4789819 51.3570441, 7.4790447 51.3568839, 7.4791133 51.3567223)",,,
"[46606585, 478599713]",True,2,L 700,Märkischer Ring,secondary,50,False,67.609,"LINESTRING (7.476567 51.3560049, 7.4767554 51.3560461, 7.476809 51.3560613, 7.4770784 51.3561684, 7.4772301 51.3562284, 7.4773086 51.3562863, 7.4773541 51.3563382)",,,
"[444471328, 478826282, 444471326]",False,"['4', '5']",L 700,Bergischer Ring,secondary,50,False,122.906,"LINESTRING (7.476567 51.3560049, 7.4764042 51.3559233, 7.4762774 51.3558608, 7.476148 51.3558041, 7.4760759 51.3557726, 7.4754782 51.3555109, 7.4753489 51.3554626, 7.4751189 51.3553708)",,,
444239854,False,2,,Hochstraße,tertiary,30,False,78.9,"LINESTRING (7.4751189 51.3553708, 7.4752943 51.3551905, 7.4753192 51.355164, 7.4754955 51.3550134, 7.4756336 51.3548999, 7.4757705 51.3547906)",,,
"[478574582, 444471327]",False,"['4', '5']",L 700,Bergischer Ring,secondary,50,False,167.491,"LINESTRING (7.4751189 51.3553708, 7.4749398 51.3552959, 7.474548 51.3551024, 7.4744309 51.3550445, 7.4733623 51.3545164, 7.4732283 51.3544369)",,,
"[444471328, 478826282, 444471326]",False,"['4', '5']",L 700,Bergischer Ring,secondary,50,True,122.90599999999999,"LINESTRING (7.4751189 51.3553708, 7.4753489 51.3554626, 7.4754782 51.3555109, 7.4760759 51.3557726, 7.476148 51.3558041, 7.4762774 51.3558608, 7.4764042 51.3559233, 7.476567 51.3560049)",,,
"[34918123, 444478044]",False,3,,Hochstraße,residential,30,True,69.648,"LINESTRING (7.4751189 51.3553708, 7.4749381 51.3555294, 7.4746636 51.3557687, 7.4745303 51.3558779)",,,
23941507,False,,,Bergstraße,residential,30,False,65.998,"LINESTRING (7.4732283 51.3544369, 7.4734473 51.3543072, 7.4739276 51.354035)",,,
25331033,False,,,Bergstraße,residential,30,True,56.888,"LINESTRING (7.4732283 51.3544369, 7.4730503 51.3545337, 7.4726182 51.3547783)",,,
31171217,False,4,L 700,Bergischer Ring,secondary,50,False,315.532,"LINESTRING (7.4732283 51.3544369, 7.4730854 51.3543603, 7.4730071 51.3543267, 7.472884 51.3542816, 7.4728546 51.3542743, 7.4728011 51.354261, 7.4726995 51.3542425, 7.4726042 51.3542403, 7.4725003 51.354245, 7.4724115 51.3542554, 7.4722961 51.3542823, 7.4722004 51.3543177, 7.47212 51.3543539, 7.4720066 51.354414, 7.4719551 51.3544424, 7.471715 51.3545707, 7.4713363 51.3547674, 7.4709253 51.354945, 7.4701224 51.3552633, 7.4696444 51.3554726, 7.4694397 51.3555494)",,,
"[478574582, 444471327]",False,"['4', '5']",L 700,Bergischer Ring,secondary,50,True,167.49099999999999,"LINESTRING (7.4732283 51.3544369, 7.4733623 51.3545164, 7.4744309 51.3550445, 7.474548 51.3551024, 7.4749398 51.3552959, 7.4751189 51.3553708)",,,
132152117,True,,,Arndtstraße,residential,30,False,113.71099999999998,"LINESTRING (7.4796618 51.3597761, 7.4795018 51.3598335, 7.4786952 51.3601724, 7.4785468 51.3602448, 7.478499 51.3602858, 7.4784898 51.3603112, 7.4784842 51.3603442, 7.4784929 51.3604168)",,,
"[526261034, 132152127]",False,,,Haldener Straße,residential,30,False,21.955,"LINESTRING (7.4796618 51.3597761, 7.479673 51.3596587, 7.4796806 51.359579)",,,
243220439,True,2,B 54,Märkischer Ring,primary,30,False,34.964,"LINESTRING (7.4773527 51.360262, 7.4775963 51.3599868)",,,
46599109,False,4,B 54,Märkischer Ring,primary,30,True,57.418000000000006,"LINESTRING (7.4773527 51.360262, 7.4771585 51.3604069, 7.4768873 51.3605989, 7.4768089 51.3606509)",,,
31407986,False,2,,Schürmannstraße,residential,30,True,106.757,"LINESTRING (7.4775963 51.3599868, 7.4775135 51.3599281, 7.4768719 51.3596231, 7.4764227 51.3593692)",,,
"[241495577, 46599150]",True,"['4', '3']",B 54,Märkischer Ring,primary,30,False,91.48,"LINESTRING (7.4775963 51.3599868, 7.4776406 51.3599447, 7.4778553 51.3597409, 7.4780371 51.359526, 7.4781002 51.3594316, 7.4782023 51.35926)",,,
23582526,False,4,B 7,Rathausstraße,primary,50,False,12.634,"LINESTRING (7.4782023 51.35926, 7.4783534 51.3593233)",,,
"[23582520, 241496626]",False,"['4', '2']",,Rathausstraße,residential,30,False,79.859,"LINESTRING (7.4782023 51.35926, 7.478035 51.3592038, 7.4776433 51.3590881, 7.4775431 51.3590569, 7.4771765 51.3589356)",,,
"[25879882, 241495574]",True,2,B 54,Märkischer Ring,primary,50,False,79.20500000000001,"LINESTRING (7.4782023 51.35926, 7.4782264 51.3592082, 7.4782592 51.359138, 7.4784184 51.3587822, 7.4785471 51.3585819)",,,
43322139,False,2,,Potthofstraße,residential,30,False,6.678,"LINESTRING (7.4761111 51.3585652, 7.476069 51.3585112)",destination,,
"[42967087, 23597262, 23597263]",False,2,,Rathausstraße,residential,30,True,84.69399999999999,"LINESTRING (7.4761111 51.3585652, 7.4761692 51.3585877, 7.4762874 51.3586272, 7.476747 51.3587945, 7.4767646 51.3588011, 7.4768212 51.3588196, 7.4771117 51.3589144, 7.4771765 51.3589356)",destination,yes,
"[54174892, 54174893]",False,,,Holzmüllerstraße,unclassified,,True,35.821999999999996,"LINESTRING (7.4761111 51.3585652, 7.4760449 51.3587079, 7.4760254 51.3587454, 7.4760053 51.3587809, 7.47597 51.3588439, 7.4759526 51.3588716)",no,,
241494905,False,4,B 7,Rembergstraße,primary,50,True,33.452,"LINESTRING (7.4796806 51.359579, 7.4799042 51.3595884, 7.4801436 51.3596479)",,,
"[241494906, 241494908, 243221925]",False,"['4', '6', '5']",B 7,Rathausstraße,primary,50,True,98.506,"LINESTRING (7.4796806 51.359579, 7.4795259 51.359588, 7.4794159 51.3595879, 7.4792967 51.3595798, 7.4791825 51.3595671, 7.4790391 51.3595357, 7.4788991 51.359494, 7.478784 51.3594595, 7.4785212 51.3593763, 7.4783534 51.3593233)",,,
