osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,maxspeed,access
19787307,St 2195,Hofer Straße,secondary,False,False,111.46900000000001,"LINESTRING (11.7143057 50.3260916, 11.7141553 50.3263003, 11.7136732 50.3267298, 11.7134295 50.3269182)",,,,
19787307,St 2195,Hofer Straße,secondary,False,True,111.46900000000001,"LINESTRING (11.7134295 50.3269182, 11.7136732 50.3267298, 11.7141553 50.3263003, 11.7143057 50.3260916)",,,,
24364937,,Hofer Straße,tertiary,False,False,84.424,"LINESTRING (11.7134295 50.3269182, 11.7132343 50.3268211, 11.7131119 50.3267799, 11.7129928 50.3267663, 11.7124535 50.3267823, 11.7123177 50.32681)",,,,
"[56456673, 27527907]",St 2195,Selbitztalstraße,secondary,False,False,307.26300000000003,"LINESTRING (11.7134295 50.3269182, 11.713247 50.3270901, 11.7127734 50.3275176, 11.712535 50.3277761, 11.7123239 50.3280412, 11.7122419 50.3281716, 11.712037 50.3284588, 11.7119683 50.3285469, 11.7117635 50.3288707, 11.7114084 50.3293508)",,,,
24541988,,Froschgrüner Straße,tertiary,False,True,65.99,"LINESTRING (11.7082548 50.3338693, 11.7074839 50.3337415, 11.7073626 50.3337063)",,,,
54843539,St 2195,Selbitztalstraße,secondary,False,True,308.25,"LINESTRING (11.7082548 50.3338693, 11.7084366 50.3334132, 11.7087849 50.3327467, 11.708948 50.332442, 11.7090887 50.3321858, 11.7093592 50.3318159, 11.7097585 50.3312758)",2,,,
"[291134557, 53530550, 53530549]",,Froschgrüner Straße,tertiary,False,False,46.93,"LINESTRING (11.7082548 50.3338693, 11.7083955 50.3338888, 11.7087293 50.3340163, 11.708818 50.3340754)",2,yes,,
38123969,,Martin-Luther-Straße,residential,False,False,7.191,"LINESTRING (11.7038801 50.3271988, 11.70378 50.3272087)",,,,
291737697,,Kronacher Straße,tertiary,False,True,201.777,"LINESTRING (11.7038801 50.3271988, 11.7019335 50.3258765)",,,,
25049564,,Weststraße,tertiary,False,False,121.36500000000001,"LINESTRING (11.7038801 50.3271988, 11.7045666 50.3277587, 11.704929 50.3280607)",,,,
38123977,,Kronacher Straße,residential,False,False,120.368,"LINESTRING (11.7038801 50.3271988, 11.7042815 50.327304, 11.7053682 50.3277133)",,,30,
24327333,,Albin-Klöber-Straße,residential,False,True,52.19,"LINESTRING (11.7067204 50.3302975, 11.7060338 50.3304654)",,,,
25049543,,Anger,tertiary,False,False,61.873,"LINESTRING (11.7067204 50.3302975, 11.706761 50.3303575, 11.7070661 50.3308083)",,,,
956263851,,Weststraße,tertiary,False,True,38.961999999999996,"LINESTRING (11.7067204 50.3302975, 11.7065456 50.3300109, 11.7065216 50.3299709)",,,,
1178279476,,Hauptstraße,tertiary,False,True,69.061,"LINESTRING (11.7067204 50.3302975, 11.7070333 50.3301901, 11.7075799 50.3300065)",,,,
27527903,,Hauptstraße,tertiary,False,False,9.347,"LINESTRING (11.7099537 50.3288027, 11.7098958 50.3288782)",2,,,
224615238,,Bahnhofstraße,residential,False,True,64.11,"LINESTRING (11.7099537 50.3288027, 11.7102545 50.3288829, 11.7107574 50.3290637)",,,,
503541011,,Hofer Straße,tertiary,False,True,52.652,"LINESTRING (11.7099537 50.3288027, 11.7101053 50.3285876, 11.7103024 50.328386)",,,,
25049564,,Weststraße,tertiary,False,True,121.739,"LINESTRING (11.7060609 50.3288832, 11.704929 50.3280607)",,,,
24364938,,Birkigtweg,residential,False,False,58.884,"LINESTRING (11.7060609 50.3288832, 11.705985 50.3289017, 11.7052837 50.3290683)",,,,
53149093,,Birkigtweg,residential,False,True,55.684,"LINESTRING (11.7060609 50.3288832, 11.7062394 50.3288336, 11.7064178 50.3287724, 11.706753 50.3286486)",,,,
956263851,,Weststraße,tertiary,False,False,26.855,"LINESTRING (11.7060609 50.3288832, 11.7061268 50.3289628, 11.7062151 50.3291034)",,,,
53105013,,Badstraße,residential,False,True,28.86,"LINESTRING (11.7040708 50.3293226, 11.7044435 50.3292189)",,,,
51867435,,Weststraße,residential,False,True,197.06,"LINESTRING (11.7040708 50.3293226, 11.7040994 50.3294603, 11.7041839 50.3295643, 11.7042952 50.329574, 11.7044989 50.3295865, 11.7049342 50.3295926, 11.7055718 50.3294969, 11.705772 50.3292076, 11.7062151 50.3291034)",,,,
"[1082160465, 53059987, 24365044, 53059989]",,"['Bahnhofstraße', 'Christian-Schlicht-Straße']",residential,False,True,99.231,"LINESTRING (11.7114084 50.3293508, 11.7114717 50.3293757, 11.7116892 50.3294638, 11.7117526 50.3294916, 11.7117336 50.3295827, 11.7116871 50.32972, 11.7116222 50.3298569, 11.7115546 50.3299932, 11.71148 50.3300957)",,yes,30,
54843539,St 2195,Selbitztalstraße,secondary,False,False,244.006,"LINESTRING (11.7114084 50.3293508, 11.7113525 50.3294137, 11.7109295 50.3298897, 11.7097585 50.3312758)",2,,,
"[67491468, 54843540]",,Bahnhofstraße,residential,False,False,56.19200000000001,"LINESTRING (11.7114084 50.3293508, 11.7112798 50.3292864, 11.7107574 50.3290637)",2,,,
"[56456673, 27527907]",St 2195,Selbitztalstraße,secondary,False,True,307.26300000000003,"LINESTRING (11.7114084 50.3293508, 11.7117635 50.3288707, 11.7119683 50.3285469, 11.712037 50.3284588, 11.7122419 50.3281716, 11.7123239 50.3280412, 11.712535 50.3277761, 11.7127734 50.3275176, 11.713247 50.3270901, 11.7134295 50.3269182)",,,,
27527903,,Hauptstraße,tertiary,False,True,9.347,"LINESTRING (11.7098958 50.3288782, 11.7099537 50.3288027)",2,,,
448506494,,Hauptstraße,tertiary,False,False,8.517,"LINESTRING (11.7098958 50.3288782, 11.709826 50.3289405)",2,,,
24364942,,Kronacher Straße,residential,False,False,89.947,"LINESTRING (11.7098958 50.3288782, 11.709031 50.3285688, 11.7087553 50.3285645)",,,,
24364942,,Kronacher Straße,residential,False,False,42.966,"LINESTRING (11.7077619 50.328261, 11.7074937 50.3282549, 11.7071611 50.3282892)",,,,
24364942,,Kronacher Straße,residential,False,True,78.834,"LINESTRING (11.7077619 50.328261, 11.7078279 50.3282803, 11.7083357 50.3284523, 11.7086561 50.3285624, 11.7087553 50.3285645)",,,,
38123978,,Mühlstraße,residential,False,False,55.468999999999994,"LINESTRING (11.7077619 50.328261, 11.7076101 50.3280615, 11.7074765 50.3278965, 11.7073778 50.3278304)",,,,
24541980,,Angerberg,residential,False,False,49.887,"LINESTRING (11.7072396 50.3310963, 11.7066077 50.3312927)",,,,
25049543,,Anger,tertiary,False,True,12.294,"LINESTRING (11.7072396 50.3310963, 11.7071808 50.3309923)",,,,
25049543,,Anger,tertiary,False,False,234.66299999999998,"LINESTRING (11.7072396 50.3310963, 11.7073376 50.3312812, 11.7074297 50.3314478, 11.7074475 50.3316954, 11.7074189 50.3318252, 11.7073742 50.3319009, 11.7072262 50.3321422, 11.7070246 50.3323603, 11.7069529 50.3324657, 11.7068963 50.3326414, 11.7068754 50.332719, 11.7068183 50.3329574, 11.7068302 50.3331093)",,,,
24541980,,Angerberg,residential,False,True,49.887,"LINESTRING (11.7066077 50.3312927, 11.7072396 50.3310963)",,,,
24541980,,Angerberg,residential,False,False,60.518,"LINESTRING (11.7066077 50.3312927, 11.7062098 50.331401, 11.7061309 50.3314391, 11.7060359 50.3315208, 11.7058844 50.3315569)",,,,
24541980,,Angerberg,residential,False,True,60.518,"LINESTRING (11.7058844 50.3315569, 11.7060359 50.3315208, 11.7061309 50.3314391, 11.7062098 50.331401, 11.7066077 50.3312927)",,,,
51443138,,Ringstraße,residential,False,False,108.473,"LINESTRING (11.7058844 50.3315569, 11.7057052 50.3312178, 11.7053675 50.330639)",,,,
51443138,,Ringstraße,residential,False,True,75.52,"LINESTRING (11.7058844 50.3315569, 11.7058989 50.3317578, 11.705735 50.3319094, 11.7052951 50.331996)",,,,
24327333,,Albin-Klöber-Straße,residential,False,False,52.19,"LINESTRING (11.7060338 50.3304654, 11.7067204 50.3302975)",,,,
24327333,,Albin-Klöber-Straße,residential,False,True,51.083,"LINESTRING (11.7060338 50.3304654, 11.7053675 50.330639)",,,,
24541981,,Hochstraße,residential,True,False,100.625,"LINESTRING (11.7060338 50.3304654, 11.706339 50.3309257, 11.7066077 50.3312927)",,,,
24327333,,Albin-Klöber-Straße,residential,False,False,64.544,"LINESTRING (11.7045254 50.330858, 11.7053675 50.330639)",,,,
24327333,,Albin-Klöber-Straße,residential,False,True,162.548,"LINESTRING (11.7045254 50.330858, 11.7040518 50.3309917, 11.702393 50.3313898)",,,,
24541982,,Ringstraße,residential,True,False,137.839,"LINESTRING (11.7045254 50.330858, 11.7046768 50.3310888, 11.7051383 50.3317539, 11.7052951 50.331996)",,,,
24541983,,Josef-Otto-Kolb-Straße,residential,False,True,28.264,"LINESTRING (11.7052951 50.331996, 11.7049591 50.3321324)",,,,
51443138,,Ringstraße,residential,False,False,75.52,"LINESTRING (11.7052951 50.331996, 11.705735 50.3319094, 11.7058989 50.3317578, 11.7058844 50.3315569)",,,,
24327333,,Albin-Klöber-Straße,residential,False,False,51.083,"LINESTRING (11.7053675 50.330639, 11.7060338 50.3304654)",,,,
24327333,,Albin-Klöber-Straße,residential,False,True,64.544,"LINESTRING (11.7053675 50.330639, 11.7045254 50.330858)",,,,
51443138,,Ringstraße,residential,False,True,108.473,"LINESTRING (11.7053675 50.330639, 11.7057052 50.3312178, 11.7058844 50.3315569)",,,,
24541983,,Josef-Otto-Kolb-Straße,residential,False,False,28.264,"LINESTRING (11.7049591 50.3321324, 11.7052951 50.331996)",,,,
