osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,tunnel,width
128775627,2,Vogelsangstraße,unclassified,50,False,True,59.187,"LINESTRING (7.2938343 50.5137357, 7.2937921 50.5136528, 7.293702 50.5135877, 7.2935716 50.5135385, 7.2934944 50.5135222, 7.2933777 50.5134932, 7.2932871 50.5134845, 7.2931775 50.5135039)",,,,
258345238,2,,tertiary,50,True,False,44.428000000000004,"LINESTRING (7.2938343 50.5137357, 7.2939442 50.5136932, 7.294072 50.5136682, 7.2942123 50.5136653, 7.2942613 50.5136643, 7.2944175 50.5137167)",K 47,,,
"[29458960, 598561937, 162393307, 29458961]",2,Vogelsangstraße,tertiary,50,False,False,545.184,"LINESTRING (7.2938343 50.5137357, 7.2934835 50.5138804, 7.2931903 50.5139639, 7.2930035 50.5139962, 7.2929105 50.5140036, 7.2927286 50.5140115, 7.2926067 50.5139951, 7.2924565 50.5139437, 7.2922682 50.513861, 7.2921538 50.5137698, 7.2920923 50.5136969, 7.2920475 50.5135586, 7.2921097 50.5133343, 7.2922213 50.5132098, 7.292356 50.513089, 7.2924732 50.5129859, 7.2925538 50.5128881, 7.2926172 50.5127902, 7.2926651 50.5126505, 7.2927081 50.5125074, 7.2927647 50.5123258, 7.2928022 50.512235, 7.2928668 50.5121271, 7.2930326 50.5119072, 7.29327 50.5116565, 7.2934535 50.5113674, 7.2936208 50.5111615, 7.2939219 50.5107855, 7.2940171 50.5106667, 7.2942041 50.5104141)",K 47,yes,,
128775624,1,,tertiary,50,True,False,8.753,"LINESTRING (7.2939562 50.5137494, 7.2938343 50.5137357)",K 47,,,
36920310,,Eulengasse,residential,,False,False,227.10899999999995,"LINESTRING (7.2971577 50.5107405, 7.2974318 50.5108829, 7.2976639 50.5109928, 7.2978865 50.5110975, 7.2981865 50.5112303, 7.2984232 50.5113138, 7.2986087 50.5113691, 7.2990078 50.5114737, 7.2992436 50.5115478, 7.2993939 50.5116054, 7.2995478 50.5116707, 7.2998852 50.5118017)",,,,
308016448,3,Zehnerstraße,primary,50,False,False,117.39600000000002,"LINESTRING (7.2971577 50.5107405, 7.2966156 50.5111394, 7.296445 50.5112776, 7.2962857 50.5114202, 7.2961316 50.5115687)",B 9,,,
308016448,3,Zehnerstraße,primary,50,False,True,65.306,"LINESTRING (7.2971577 50.5107405, 7.2974815 50.5105115, 7.2975877 50.5104318, 7.297767 50.5102992)",B 9,,,
"[1132036248, 1132036249, 36920311]",,Schmittgasse,residential,,False,False,217.00200000000004,"LINESTRING (7.297767 50.5102992, 7.2979935 50.5104083, 7.2981337 50.5104805, 7.2982811 50.5105534, 7.298863 50.5107989, 7.299105 50.510901, 7.2994512 50.5110471, 7.2996048 50.5111119, 7.2998268 50.5112055, 7.3000734 50.5113051, 7.3001296 50.5113295, 7.3002388 50.5113764, 7.3002498 50.5113811, 7.3002974 50.5114015)",,,building_passage,
308016448,3,Zehnerstraße,primary,50,False,False,65.306,"LINESTRING (7.297767 50.5102992, 7.2975877 50.5104318, 7.2974815 50.5105115, 7.2971577 50.5107405)",B 9,,,
"[308016448, 1132036250]",3,"['Zehnerstraße', 'Koblenzer Straße']",primary,50,False,True,76.161,"LINESTRING (7.297767 50.5102992, 7.2982536 50.5099689, 7.298417 50.5098579, 7.2985046 50.5098001)",B 9,,,
