osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,junction
"[146589785, 732331223, 146589847]","['Gartenstraße', 'Zeppelinstraße']",residential,30,False,False,310.505,"LINESTRING (9.9230698 49.2495667, 9.9231669 49.2496118, 9.9234308 49.2498859, 9.9234692 49.2499252, 9.9235009 49.249959, 9.9236986 49.2501367, 9.9240135 49.2504138, 9.9241374 49.2505228, 9.9241547 49.2505381, 9.9241676 49.2505494, 9.9242102 49.2506217, 9.9241923 49.2506766, 9.9241359 49.2507318, 9.9234921 49.2513556, 9.9231562 49.2516811, 9.922859 49.2517983)",,,
428418992,Blaufeldener Straße,secondary,50,False,True,80.76,"LINESTRING (9.9230698 49.2495667, 9.9229343 49.2497323, 9.9227406 49.2499345, 9.9226397 49.2500976, 9.9226027 49.2502194)",L 1037,,
732472850,Blaufeldener Straße,secondary,50,False,False,35.032999999999994,"LINESTRING (9.9230698 49.2495667, 9.9231133 49.2494122, 9.9230913 49.2493297, 9.9230804 49.2492886, 9.9230901 49.2492567)",L 1037,,
146477128,Hauptstraße,secondary,50,False,False,22.342,"LINESTRING (9.9210865 49.2495729, 9.920846 49.2494475)",L 1037; L 1033,,
146477128,Hauptstraße,secondary,50,False,True,107.091,"LINESTRING (9.9210865 49.2495729, 9.9215193 49.2494845, 9.921681 49.2494515, 9.9222475 49.2493036, 9.9224725 49.2492448)",L 1037; L 1033,,
146652679,Kirchgasse,residential,,False,True,67.082,"LINESTRING (9.9210865 49.2495729, 9.9209331 49.249606, 9.9207267 49.2496437, 9.9204893 49.2496498, 9.9201863 49.2496049)",,,
146652701,Spörersgasse,residential,,False,False,108.861,"LINESTRING (9.9210865 49.2495729, 9.9213332 49.2500499, 9.9216596 49.2503607, 9.9217666 49.2504305)",,,
146477128,Hauptstraße,secondary,50,False,True,22.342,"LINESTRING (9.920846 49.2494475, 9.9210865 49.2495729)",L 1037; L 1033,,
146477128,Hauptstraße,secondary,50,False,False,29.585,"LINESTRING (9.920846 49.2494475, 9.9206591 49.2493883, 9.9204654 49.2493562)",L 1037; L 1033,,
146589844,Untere Gasse,residential,,False,True,57.514,"LINESTRING (9.920846 49.2494475, 9.9211176 49.2492965, 9.9211898 49.2491328, 9.9211915 49.2490188)",,,
732405329,Amlishagener Straße,tertiary,50,False,False,29.174,"LINESTRING (9.922565 49.2516207, 9.9227475 49.2517164, 9.922859 49.2517983)",K 2519,,
732405330,Blaufeldener Straße,secondary,50,False,True,167.217,"LINESTRING (9.922565 49.2516207, 9.9225601 49.251893, 9.922522 49.2525478, 9.9225229 49.2528943, 9.9225074 49.2531238)",L 1037,,
"[428418992, 733491926]",Blaufeldener Straße,secondary,50,False,False,155.84400000000002,"LINESTRING (9.922565 49.2516207, 9.9225676 49.2515088, 9.9225722 49.2513145, 9.9225874 49.2506741, 9.9225901 49.2505581, 9.9225937 49.2504078, 9.9225971 49.2503374, 9.9226027 49.2502194)",L 1037,,
146477119,,residential,,False,True,101.11099999999999,"LINESTRING (9.928156 49.2478375, 9.9281264 49.2482139, 9.9280152 49.2485643, 9.9279129 49.2487256)",,,
33181636,Grabenstraße,residential,,False,False,40.966,"LINESTRING (9.9217666 49.2504305, 9.9221956 49.2502286, 9.9222309 49.250226)",,,
"[146652674, 146652679]","['Grabenstraße', 'Kirchgasse']",residential,,False,False,261.27799999999996,"LINESTRING (9.9217666 49.2504305, 9.9217004 49.2504909, 9.9216088 49.2505233, 9.921453 49.250564, 9.9212322 49.2505864, 9.9209628 49.2505344, 9.9204594 49.2504028, 9.9198788 49.250251, 9.9197786 49.2501963, 9.9196593 49.2501312, 9.9195629 49.2500739, 9.919499 49.2500058, 9.9195176 49.2499299, 9.9196451 49.2498667, 9.9198839 49.249799, 9.919969 49.2497058, 9.9201071 49.2496953, 9.9201863 49.2496049)",,,
146652701,Spörersgasse,residential,,False,True,108.86099999999999,"LINESTRING (9.9217666 49.2504305, 9.9216596 49.2503607, 9.9213332 49.2500499, 9.9210865 49.2495729)",,,
33181636,Grabenstraße,residential,,False,True,27.04,"LINESTRING (9.9226027 49.2502194, 9.9223412 49.2502177, 9.9222309 49.250226)",,,
428418992,Blaufeldener Straße,secondary,50,False,False,80.76,"LINESTRING (9.9226027 49.2502194, 9.9226397 49.2500976, 9.9227406 49.2499345, 9.9229343 49.2497323, 9.9230698 49.2495667)",L 1037,,
"[428418992, 733491926]",Blaufeldener Straße,secondary,50,False,True,155.844,"LINESTRING (9.9226027 49.2502194, 9.9225971 49.2503374, 9.9225937 49.2504078, 9.9225901 49.2505581, 9.9225874 49.2506741, 9.9225722 49.2513145, 9.9225676 49.2515088, 9.922565 49.2516207)",L 1037,,
