osmid,oneway,lanes,highway,maxspeed,reversed,length,name,geometry,width,bridge
30282734,True,1,secondary_link,50,False,14.373,,"LINESTRING (13.3875913 54.0945354, 13.3876021 54.0946645)",,
31716648,False,,residential,50,True,51.233,Kuhstraße,"LINESTRING (13.3848008 54.0965816, 13.3847663 54.0961213)",,
23154363,True,1,residential,30,False,80.356,Kuhstraße,"LINESTRING (13.3848008 54.0965816, 13.3848042 54.0966336, 13.3848084 54.0966997, 13.384813 54.0967705, 13.384819 54.0968642, 13.3848236 54.0969358, 13.3848287 54.0970141, 13.3848336 54.0970904, 13.3848371 54.0971447, 13.3848401 54.0972038, 13.3848428 54.0972572, 13.3848452 54.0973038)",,
5733109,False,2,residential,30,False,78.574,Brüggstraße,"LINESTRING (13.3835359 54.096616, 13.3835393 54.0966729, 13.3835439 54.0967492, 13.3835449 54.0967662, 13.3835494 54.0968397, 13.3835544 54.0969221, 13.3835596 54.0970078, 13.383566 54.0971141, 13.3835734 54.097236, 13.3835759 54.0972776, 13.3835788 54.0973222)",,
5733110,True,1,residential,30,False,82.569,Marienkirchplatz,"LINESTRING (13.3835359 54.096616, 13.3836835 54.096612, 13.383838 54.0966078, 13.3839441 54.0966049, 13.3840181 54.0966029, 13.384066 54.0966016, 13.384216 54.0965975, 13.3843748 54.0965932, 13.3844794 54.0965903, 13.3845961 54.0965872, 13.3846964 54.0965844, 13.3848008 54.0965816)",,
24931852,False,1,residential,30,False,47.236,Brüggstraße,"LINESTRING (13.3835359 54.096616, 13.3834847 54.0963238, 13.3834639 54.0961933)",,
1157232806,False,2,residential,30,False,6.722,Brüggstraße,"LINESTRING (13.3836099 54.0989818, 13.3835937 54.0990415)",,
609174453,True,1,secondary,30,False,113.55799999999999,Hansering,"LINESTRING (13.3836099 54.0989818, 13.3839244 54.0990396, 13.3842728 54.0990873, 13.384558 54.0991298, 13.3846533 54.0991379, 13.3848757 54.0991567, 13.3851226 54.0991628, 13.3853141 54.0991559)",5.7,
"[5733109, 1157232806]",False,2,residential,30,True,67.374,Brüggstraße,"LINESTRING (13.3836099 54.0989818, 13.383624 54.0989142, 13.3836234 54.0988907, 13.3836076 54.0984957, 13.3835994 54.0983766)",,
88641711,False,2,secondary,30,False,12.972,Bahnhofstraße,"LINESTRING (13.3779398 54.0927708, 13.3777415 54.09278)",,
