osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,width,access
651506772,2,K 12,Masburger Straße,tertiary,50,False,True,4.79,"LINESTRING (7.1336155 50.2339348, 7.1336743 50.2339138)",,,,
66399540,2,,Amselweg,residential,30,False,False,75.342,"LINESTRING (7.1336155 50.2339348, 7.1336301 50.2339608, 7.1339739 50.2345724)",,,,
38253295,2,K 12,Masburger Straße,tertiary,30,False,False,59.194,"LINESTRING (7.135012 50.233176, 7.1349981 50.2332519, 7.134967 50.2333008, 7.1348537 50.2333854, 7.134498 50.233568)",,,,
"[34337795, 572864455, 572864456, 309304825, 34401182]","['2', '3']",L 98,,secondary,70,False,False,514.67,"LINESTRING (7.1467539 50.2323949, 7.1466052 50.2321674, 7.1451654 50.2300537, 7.1444479 50.2289983, 7.1441986 50.2286589, 7.1440444 50.2284072, 7.1438603 50.2281531)",yes,,,
"[309304833, 531324278]",1,L 98,,"['secondary_link', 'secondary']","['50', '70']",True,False,149.58999999999997,"LINESTRING (7.1467539 50.2323949, 7.1469299 50.2326207, 7.1470758 50.2328691, 7.147193 50.2330924, 7.1473202 50.2333638, 7.1473817 50.2335424, 7.1474044 50.2336281, 7.1474146 50.2336665)",,,,
23653263,1,L 98,,secondary,,True,False,8.512,"LINESTRING (7.1471958 50.2337468, 7.1472254 50.2337135, 7.1472691 50.2336874)",,roundabout,,
23653263,1,L 98,,secondary,,True,False,10.834999999999999,"LINESTRING (7.1472691 50.2336874, 7.1473275 50.2336698, 7.1473707 50.2336651, 7.1474146 50.2336665)",,roundabout,,
309304829,1,L 98,,secondary_link,50,True,False,149.152,"LINESTRING (7.1472691 50.2336874, 7.1472836 50.2336094, 7.1472745 50.2335369, 7.1471797 50.2332774, 7.1469731 50.2328427, 7.1467539 50.2323949)",,,,
27622693,1,,Masburger Straße,residential,50,True,False,20.257,"LINESTRING (7.1380584 50.2299912, 7.1379606 50.2301623)",,,4,
68588723,2,,Von-der-Leyen-Straße,residential,50,False,True,87.36800000000001,"LINESTRING (7.1380584 50.2299912, 7.1380903 50.2299559, 7.138674 50.2293113)",,,,
572864438,2,L 52,Poststraße,secondary,50,False,False,177.48100000000002,"LINESTRING (7.1380584 50.2299912, 7.1382252 50.2300147, 7.1383882 50.2300592, 7.1384971 50.2300883, 7.1386665 50.2301336, 7.1388131 50.2301728, 7.1388404 50.2301797, 7.1389252 50.2302012, 7.1389583 50.2302089, 7.1390402 50.2302278, 7.139383 50.2303134, 7.1394729 50.2303353, 7.139541 50.2303511, 7.1396716 50.2303776, 7.1397764 50.2304001, 7.1398487 50.2304164, 7.1400917 50.2304741, 7.1402206 50.2305096, 7.1403153 50.2305386, 7.1403866 50.2305594)",,,,
"[625353496, 572864429, 625353495]",2,L 52,Bahnhofstraße,secondary,50,False,True,258.981,"LINESTRING (7.1380584 50.2299912, 7.1378316 50.2300365, 7.1377218 50.2300584, 7.1376025 50.2300823, 7.1374675 50.2301116, 7.1372028 50.2301691, 7.1368444 50.230247, 7.1366641 50.2302862, 7.1364764 50.2303178, 7.1361441 50.2303738, 7.1354744 50.2304816, 7.1349221 50.2305755, 7.1345622 50.2306367)",,,,
643833504,2,L 108,Koblenzer Straße,secondary,50,False,False,9.866,"LINESTRING (7.1410899 50.2299375, 7.1411147 50.2298502)",,,,
"[530883375, 572864446, 66625199]",2,,Balduinstraße,residential,"['50', '30']",False,False,78.642,"LINESTRING (7.1410899 50.2299375, 7.1411264 50.2299558, 7.1413792 50.2300837, 7.1414917 50.2301406, 7.1417281 50.2302481, 7.1418494 50.2302895, 7.1419958 50.2303395)",,,,
"[643833504, 643833506, 569009676]",2,L 108,Koblenzer Straße,secondary,50,False,True,67.03,"LINESTRING (7.1410899 50.2299375, 7.1410604 50.2300284, 7.1410554 50.2300417, 7.1410173 50.2301417, 7.1409081 50.2304612, 7.1408853 50.2305259)",,,,
572864452,2,L 108,Hambucher Straße,secondary,30,False,False,31.158,"LINESTRING (7.1430246 50.2291856, 7.1432553 50.2289474)",,,,
66399539,1,,Gartenstraße,living_street,,True,False,154.798,"LINESTRING (7.1430246 50.2291856, 7.1431135 50.2293788, 7.143178 50.2295434, 7.143237 50.2296856, 7.1433902 50.229901, 7.1436188 50.2301102, 7.1440198 50.2303933)",,,4,
