osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,access,junction
140038794,3,B 73,secondary,70,False,False,48.512,"LINESTRING (9.5702483 53.5073797, 9.5701686 53.5074986, 9.5701371 53.5075449, 9.5699739 53.5077843)",,,
140038805,3,B 73,secondary,70,False,True,47.54600000000001,"LINESTRING (9.5702483 53.5073797, 9.5703628 53.5072135, 9.5703834 53.5071834, 9.5705195 53.5069837)",,,
140038816,3,,tertiary,50,False,True,43.009,"LINESTRING (9.5702483 53.5073797, 9.5704283 53.5073574, 9.5705033 53.5073481, 9.570885 53.5073008)",Issendorfer Straße,,
140038817,3,L 123,secondary,50,False,True,39.634,"LINESTRING (9.5702483 53.5073797, 9.5700657 53.5074011, 9.5700036 53.5074084, 9.5696603 53.5074487)",Issendorfer Straße,,
29278906,,,tertiary,30,False,False,42.126,"LINESTRING (9.5794044 53.5081179, 9.5793605 53.5080549, 9.5792738 53.5079038, 9.5791969 53.5077599)",Im Kleinen Sande,,
"[550675024, 385733315]",2,,tertiary,30,False,True,242.43099999999998,"LINESTRING (9.5794044 53.5081179, 9.5795317 53.5080837, 9.5796373 53.5080521, 9.5804893 53.5078464, 9.5807759 53.5077892, 9.5809632 53.5077582, 9.5811022 53.5077294, 9.5814157 53.5076643, 9.5814328 53.5076609, 9.5814662 53.507655, 9.5817658 53.5075945, 9.5821752 53.5075138, 9.5826725 53.5074157, 9.5827768 53.5073932, 9.5828493 53.5073775)",Auedamm,,
"[1128234404, 886752549, 713665703, 1209152139, 261008124]",2,,tertiary,30,False,True,129.98100000000002,"LINESTRING (9.5794044 53.5081179, 9.5792737 53.5081597, 9.5792073 53.5082007, 9.5790844 53.508318, 9.5790234 53.508376, 9.5788617 53.5085121, 9.5787886 53.5085704, 9.5786638 53.5086576, 9.578231 53.5089602, 9.5781561 53.5090089)",Im Großen Sande,,
31287193,2,,tertiary,30,False,False,94.29,"LINESTRING (9.5845172 53.5069903, 9.5843927 53.5070248, 9.5841677 53.5070773, 9.5839925 53.5071182, 9.5839285 53.5071331, 9.5836722 53.5071929, 9.58328 53.5072844, 9.5831932 53.5073046)",Auedamm,yes,
24853721,,,residential,30,False,False,72.517,"LINESTRING (9.5786859 53.5115338, 9.5779192 53.5110675)",Moorstraße,,
182417403,,,residential,30,False,False,74.114,"LINESTRING (9.5786859 53.5115338, 9.578228 53.512085, 9.5781895 53.5121314)",Moorstraße,,
182417403,,,residential,30,False,True,105.28,"LINESTRING (9.5786859 53.5115338, 9.5792151 53.510902, 9.57919 53.5106615)",Moorstraße,,
261008126,2,,tertiary,50,False,True,8.764,"LINESTRING (9.5766244 53.5099368, 9.576574 53.5100097)",Stader Straße,,
