osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,width,access,tunnel,junction
32051261,Beethovenstraße,residential,False,False,27.4,"LINESTRING (10.1168865 48.7860147, 10.1169735 48.7861329, 10.1170462 48.7862375)",,,,,,,,
"[314831912, 314831911]",Aalener Straße,tertiary,False,False,72.11,"LINESTRING (10.1168865 48.7860147, 10.1166791 48.7860638, 10.1164834 48.7860803, 10.1159176 48.7860998)","['2', '3']",K 3292,50,,,,,
"[28141508, 28141509, 5014231]",Röchlingstraße,residential,False,False,221.69,"LINESTRING (10.1159176 48.7860998, 10.1158694 48.7857678, 10.1158403 48.7855963, 10.115793 48.7854357, 10.1157315 48.7852917, 10.1156365 48.7850845, 10.1155541 48.7849594, 10.1153951 48.7847588, 10.1153324 48.7846977, 10.1152757 48.7846366, 10.1149839 48.7843872, 10.1148384 48.7842921)",,,,yes,6,,,
37415715,Aalener Straße,tertiary,False,False,157.243,"LINESTRING (10.1159176 48.7860998, 10.1147866 48.7861069, 10.1146071 48.7861164, 10.1137774 48.7861791)",2,K 3292,50,,,,,
"[314831912, 314831911]",Aalener Straße,tertiary,False,True,72.11,"LINESTRING (10.1159176 48.7860998, 10.1164834 48.7860803, 10.1166791 48.7860638, 10.1168865 48.7860147)","['2', '3']",K 3292,50,,,,,
1173144519,Aalener Straße,tertiary,False,False,4.589,"LINESTRING (10.1080695 48.7854943, 10.1080176 48.7854712)",,K 3292,30,,,,,
8089689,Bürgermeister-Bosch-Straße,residential,False,False,48.977000000000004,"LINESTRING (10.1080695 48.7854943, 10.1079818 48.7855869, 10.1078821 48.7856921, 10.1078078 48.7858063, 10.1077775 48.7858869)",2,,,,,,,
826419997,Aalener Straße,tertiary,False,True,44.964,"LINESTRING (10.1080695 48.7854943, 10.1082126 48.7855386, 10.1084225 48.7855674, 10.1086532 48.7856138)",,K 3292,30,,,,,
5052508,Heidenheimer Straße,tertiary,False,True,67.595,"LINESTRING (10.105076 48.7834698, 10.1051473 48.7835368, 10.1056128 48.7839642)",,K 3292,30,,,,,
"[386251303, 23967375, 448207857, 448207858, 27017245, 27017246]",Bahnhofstraße,residential,False,False,184.913,"LINESTRING (10.105076 48.7834698, 10.1052995 48.783393, 10.1053679 48.7833703, 10.1055758 48.7833019, 10.1057447 48.7832423, 10.105808 48.7832175, 10.1058256 48.7832098, 10.1061668 48.7830824, 10.1061924 48.7830744, 10.1062876 48.7830409, 10.1064393 48.7829867, 10.1066924 48.782898, 10.1068691 48.7828306, 10.1069844 48.7827929, 10.1070613 48.7827453, 10.1071271 48.7826755, 10.1071837 48.7826016)",,,30,yes,,,,
