osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,width
698192209,True,1,Bahnhofstraße,secondary_link,50,False,17.72,"LINESTRING (13.1145929 51.1202294, 13.1148331 51.120281)",,,
698192208,True,1,Bahnhofstraße,secondary,50,False,34.281000000000006,"LINESTRING (13.1145929 51.1202294, 13.1146774 51.1202251, 13.1147747 51.1202193, 13.1148604 51.1202108, 13.1149767 51.120187, 13.115067 51.1201607)",,,
9967443,True,2,Franz-Mehring-Straße,secondary,50,False,51.544,"LINESTRING (13.1154636 51.120042, 13.1152696 51.1201304, 13.1150809 51.1202048, 13.1148331 51.120281)",S 32;S 34,,
"[368010235, 402783695]",False,2,Franz-Mehring-Straße,secondary,50,False,57.727000000000004,"LINESTRING (13.1154636 51.120042, 13.1158706 51.1198868, 13.116177 51.1197795)",S 32;S 34,,
"[224357220, 107465358, 25351159]",False,2,Bahnhofstraße,residential,,False,83.01899999999999,"LINESTRING (13.1159716 51.1204952, 13.1157453 51.1204553, 13.115335 51.1203828, 13.1152952 51.1203758, 13.1150531 51.1203331, 13.1150096 51.1203254, 13.1148331 51.120281)",,yes,
25497346,True,,Bahnhofstraße,residential,,False,111.43700000000001,"LINESTRING (13.1159716 51.1204952, 13.1161983 51.120536, 13.1175032 51.1207783)",,,
9967442,True,,Burgstraße,secondary,,False,40.124,"LINESTRING (13.1148331 51.120281, 13.1146696 51.1203241, 13.1143291 51.1204529)",S 32;S 34,,
"[224357220, 107465358, 25351159]",False,2,Bahnhofstraße,residential,,True,83.019,"LINESTRING (13.1148331 51.120281, 13.1150096 51.1203254, 13.1150531 51.1203331, 13.1152952 51.1203758, 13.115335 51.1203828, 13.1157453 51.1204553, 13.1159716 51.1204952)",,yes,
9967442,True,,Burgstraße,secondary,,False,19.279,"LINESTRING (13.1143291 51.1204529, 13.114088 51.1205375)",S 32;S 34,,
24420899,False,,Körnerplatz,residential,30,True,74.226,"LINESTRING (13.1184516 51.1181654, 13.1178798 51.1182439, 13.117805 51.1182807, 13.1177622 51.1183228, 13.1177547 51.1183724, 13.1177751 51.118449, 13.1178022 51.1185097)",,,
"[1097262458, 36864195]",False,3,Körnerplatz,secondary,,True,79.06,"LINESTRING (13.1184516 51.1181654, 13.1184861 51.1182313, 13.1185104 51.1182968, 13.1185277 51.1183432, 13.1185555 51.1184179, 13.1186359 51.1186343, 13.1187201 51.1188559)",S 32,,
1265630587,False,,Hainichener Straße,secondary,,False,17.959,"LINESTRING (13.1184516 51.1181654, 13.1184102 51.1180902, 13.1183819 51.1180102)",S 32,,
25497363,False,,Geyersbergstraße,secondary,,False,170.079,"LINESTRING (13.1180364 51.1171507, 13.117968 51.1171328, 13.1179032 51.1171275, 13.1178362 51.1171402, 13.1177625 51.1171617, 13.1176952 51.117195, 13.1175722 51.1173126, 13.117505 51.1173882, 13.1174466 51.117455, 13.1173566 51.1175202, 13.1172661 51.1175658, 13.117135 51.1176204, 13.1170059 51.1176621, 13.1168196 51.1177113, 13.116639 51.1177465, 13.116493 51.1177637, 13.1163154 51.1177727, 13.1160125 51.1177724)",S 32,,
"[1265630587, 28918855]",False,,Hainichener Straße,secondary,,True,100.63799999999999,"LINESTRING (13.1180364 51.1171507, 13.1180935 51.1171788, 13.1181439 51.1172184, 13.1181782 51.1172565, 13.1182356 51.1174015, 13.1183214 51.1177282, 13.1183819 51.1180102)",S 32,,
48310616,False,,Hainichener Straße,residential,,False,40.42,"LINESTRING (13.1180364 51.1171507, 13.1180788 51.117097, 13.1180948 51.1170196, 13.1180224 51.1167987)",,,
25497363,False,,Geyersbergstraße,secondary,,False,177.868,"LINESTRING (13.1160125 51.1177724, 13.1157447 51.1177633, 13.1150801 51.1177167, 13.1149199 51.1177184, 13.1144293 51.1177207, 13.1140139 51.1177258, 13.113469 51.1177185)",S 32,,
25497363,False,,Geyersbergstraße,secondary,,True,170.07899999999998,"LINESTRING (13.1160125 51.1177724, 13.1163154 51.1177727, 13.116493 51.1177637, 13.116639 51.1177465, 13.1168196 51.1177113, 13.1170059 51.1176621, 13.117135 51.1176204, 13.1172661 51.1175658, 13.1173566 51.1175202, 13.1174466 51.117455, 13.117505 51.1173882, 13.1175722 51.1173126, 13.1176952 51.117195, 13.1177625 51.1171617, 13.1178362 51.1171402, 13.1179032 51.1171275, 13.117968 51.1171328, 13.1180364 51.1171507)",S 32,,
87578210,False,,Lessingweg,residential,30,True,256.83400000000006,"LINESTRING (13.1160125 51.1177724, 13.1160489 51.1176469, 13.1163022 51.1173385, 13.1163286 51.1172527, 13.1163118 51.1171366, 13.1162387 51.117068, 13.1158085 51.1168254, 13.1156009 51.1167095, 13.1154576 51.1166131, 13.1153865 51.1165588, 13.1153631 51.116527, 13.115356 51.116452, 13.1153867 51.1160989, 13.1153623 51.1158168, 13.1153409 51.1157822, 13.115313 51.1157633)",,,
