osmid,name,highway,oneway,reversed,length,geometry,junction,ref,maxspeed,lanes,width
"[83597525, 8042677]",Tauberstraße,residential,False,False,254.457,"LINESTRING (9.7067836 49.5704586, 9.7067854 49.5703506, 9.7068188 49.5702967, 9.7069296 49.5701176, 9.7069431 49.5700883, 9.7070777 49.5697945, 9.7071645 49.5696276, 9.7073535 49.5692661, 9.7074404 49.5690997, 9.7075445 49.5688939, 9.7076965 49.5685967, 9.707704 49.5685866, 9.7078797 49.5683513, 9.7079028 49.568297)",,,,,
803358104,,secondary,True,False,16.073,"LINESTRING (9.7067836 49.5704586, 9.7068275 49.5704634, 9.7068675 49.5704762, 9.7069003 49.5704958, 9.7069231 49.5705207, 9.706934 49.5705487)",roundabout,,,,
30119836,,secondary,True,False,32.015,"LINESTRING (9.706934 49.5705487, 9.7069298 49.5705806, 9.7069089 49.5706148, 9.7068645 49.5706434, 9.7067922 49.5706594, 9.7067226 49.5706527, 9.7066723 49.5706317, 9.7066345 49.5705945)",roundabout,,,,
8169290,Am Wörth,secondary,False,False,123.80000000000003,"LINESTRING (9.7066345 49.5705945, 9.7065158 49.5706123, 9.7063553 49.5706815, 9.706277 49.5707152, 9.7062265 49.5707407, 9.7059209 49.5708881, 9.7058767 49.5709119, 9.7055917 49.5710657, 9.7054969 49.5711021, 9.7053892 49.5711434, 9.7053086 49.5711651, 9.7051964 49.5711716)",,L 511,50,,
42884393,,secondary,True,False,21.729,"LINESTRING (9.7066345 49.5705945, 9.7066247 49.5705559, 9.7066383 49.5705178, 9.7066732 49.570486, 9.7067242 49.5704652, 9.7067836 49.5704586)",roundabout,,,,
83597525,Tauberstraße,residential,False,True,5.557,"LINESTRING (9.707934 49.5682513, 9.7079028 49.568297)",,,,,
29410668,Inselstraße,residential,False,True,33.897000000000006,"LINESTRING (9.707934 49.5682513, 9.7078601 49.5681852, 9.7077274 49.5681261, 9.7075452 49.5681139)",,,,,
29410668,Inselstraße,residential,False,False,33.897,"LINESTRING (9.7075452 49.5681139, 9.7077274 49.5681261, 9.7078601 49.5681852, 9.707934 49.5682513)",,,,,
8169290,Am Wörth,secondary,False,True,123.79999999999998,"LINESTRING (9.7051964 49.5711716, 9.7053086 49.5711651, 9.7053892 49.5711434, 9.7054969 49.5711021, 9.7055917 49.5710657, 9.7058767 49.5709119, 9.7059209 49.5708881, 9.7062265 49.5707407, 9.706277 49.5707152, 9.7063553 49.5706815, 9.7065158 49.5706123, 9.7066345 49.5705945)",,L 511,50,,
"[60101875, 37695253, 37695254]",Am Wörth,secondary,False,False,51.888,"LINESTRING (9.7051964 49.5711716, 9.7050844 49.5711668, 9.7049835 49.5711486, 9.7047799 49.5710896, 9.7046672 49.5710624, 9.7045231 49.5710183)",,L 511,,2,5
