osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,ref,width,junction
9930712,Bahnhofstraße,residential,False,True,46.607,"LINESTRING (12.728161 47.9320505, 12.728128 47.931979, 12.7280647 47.9319336, 12.7279378 47.9318565, 12.7278802 47.9318303, 12.7278209 47.9318033, 12.7277249 47.9317694)",,,,,,
110183898,Bahnhofstraße,unclassified,False,False,112.97800000000001,"LINESTRING (12.728161 47.9320505, 12.7290886 47.9322882, 12.7295549 47.9324077, 12.7295773 47.9324136)",50,,,,,
110183898,Bahnhofstraße,unclassified,False,True,46.729,"LINESTRING (12.728161 47.9320505, 12.7279857 47.9320332, 12.7278543 47.932026, 12.727692 47.9320269, 12.7275364 47.9320332)",50,,,,,
36022196,Bahnhofstraße,unclassified,False,False,20.582,"LINESTRING (12.7307691 47.9326498, 12.7308604 47.9326514, 12.7309355 47.9326469, 12.7309891 47.9326415, 12.7310391 47.9326256)",50,2,,,,
"[941765378, 941765379, 36022196]",Bahnhofstraße,unclassified,False,True,93.153,"LINESTRING (12.7307691 47.9326498, 12.7306096 47.9326406, 12.7305534 47.9326333, 12.7304433 47.932619, 12.7302314 47.9325867, 12.7300337 47.932541, 12.7298129 47.9324796, 12.7296525 47.932435, 12.7295773 47.9324136)",50,2,yes,,,
36022200,Weixlerstraße,unclassified,False,True,86.31299999999999,"LINESTRING (12.7307691 47.9326498, 12.7306254 47.9330168, 12.7306302 47.9332091, 12.7306715 47.9334117)",50,,,,,
536092730,,secondary,False,False,66.889,"LINESTRING (12.737726 47.9314523, 12.7385317 47.9317177)",70,2,,St 2105,,
536092730,,secondary,False,True,105.466,"LINESTRING (12.737726 47.9314523, 12.7363954 47.9311286)",70,2,,St 2105,,
37003897,Im Hägfeld,residential,False,False,99.05699999999999,"LINESTRING (12.737726 47.9314523, 12.7377587 47.9313958, 12.7378502 47.9312888, 12.7379765 47.9311565, 12.7384241 47.9306956)",,,,,,
1201057935,Seestraße,unclassified,False,False,13.773,"LINESTRING (12.733296 47.9377278, 12.7334198 47.9376358)",50,,,,,
