osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,access
842525899,St 2196,Jean-Paul-Straße,secondary,50,False,False,105.127,"LINESTRING (11.6477427 50.3670537, 11.6477315 50.3661083)",,,
24317029,,Lichtenberger Straße,residential,6,True,False,34.36,"LINESTRING (11.6477427 50.3670537, 11.6476695 50.3670513, 11.6472855 50.3669576)",,,
506287567,St 2196,Lichtenberger Straße,secondary,50,False,True,61.0,"LINESTRING (11.6477427 50.3670537, 11.6477859 50.3671161, 11.6483509 50.3674337)",,,
842525899,St 2196,Jean-Paul-Straße,secondary,50,False,True,105.127,"LINESTRING (11.6477315 50.3661083, 11.6477427 50.3670537)",,,
25952347,,Gustav-Ludwig-Straße,residential,,False,False,92.36200000000001,"LINESTRING (11.6477315 50.3661083, 11.6488863 50.3660024, 11.6489124 50.3660022, 11.6490218 50.3660016)",,,
842525899,St 2196,Jean-Paul-Straße,secondary,50,False,False,62.897,"LINESTRING (11.6477315 50.3661083, 11.6476925 50.3659532, 11.6474897 50.3656091, 11.6474544 50.3655749)",,,
956076344,St 2196,Jean-Paul-Straße,secondary,50,False,True,4.662,"LINESTRING (11.6474105 50.3655437, 11.6474544 50.3655749)",,,
"[842896797, 24679566]",St 2196,Jean-Paul-Straße,secondary,50,False,False,57.171,"LINESTRING (11.6474105 50.3655437, 11.6473373 50.3655236, 11.6469088 50.365457, 11.646631 50.3654156)",,,
842894854,St 2196,Jean-Paul-Straße,secondary,50,False,True,12.347,"LINESTRING (11.6464615 50.3653903, 11.646631 50.3654156)",,,
"[977340274, 842894854]",St 2196,Jean-Paul-Straße,secondary,50,False,False,29.563,"LINESTRING (11.6464615 50.3653903, 11.6462902 50.3653621, 11.6461883 50.3653333, 11.6460913 50.3652796)",2,,
26125061,,Heinrich-Mörtel-Straße,residential,30,False,False,35.767,"LINESTRING (11.6396183 50.3672008, 11.639997 50.3674132)",,,
340046568,,Humboldtstraße,tertiary,30,False,True,120.522,"LINESTRING (11.6396183 50.3672008, 11.6399628 50.3670279, 11.6402176 50.3669342, 11.6406978 50.3667734, 11.6410181 50.3665958)",,,
"[24679553, 53026401, 137247725, 503342734, 525568436, 36366904]",St 2196,,secondary,"['50', '100']",False,True,300.854,"LINESTRING (11.6460913 50.3652796, 11.6461204 50.3652497, 11.646143 50.3652126, 11.6463411 50.3643838, 11.6463888 50.3641675, 11.6464342 50.3638938, 11.6464773 50.3637007, 11.6465298 50.3634369, 11.6466216 50.3628631, 11.6466568 50.3626032)",2,yes,
26084905,HO 32,Bahnhofstraße,tertiary,50,False,False,78.507,"LINESTRING (11.6460913 50.3652796, 11.6460331 50.3653149, 11.6459554 50.3653473, 11.6458568 50.3653694, 11.6455996 50.3654003, 11.6450427 50.3654698)",,,
"[977340274, 842894854]",St 2196,Jean-Paul-Straße,secondary,50,False,True,29.563000000000002,"LINESTRING (11.6460913 50.3652796, 11.6461883 50.3653333, 11.6462902 50.3653621, 11.6464615 50.3653903)",2,,
25952341,,Wenzstraße,living_street,6,False,False,89.038,"LINESTRING (11.6387136 50.3640613, 11.6374592 50.3640909)",,,
36368043,HO 31,Engelmannstraße,tertiary,40,False,True,39.892,"LINESTRING (11.6387136 50.3640613, 11.6387773 50.3641074, 11.638845 50.3641333, 11.6392111 50.3642136)",,,
