osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width,junction,access
8080015,Danziger Straße,residential,30,False,False,149.88,"LINESTRING (9.1350739 48.9019335, 9.1344553 48.9032186)",,,,,
22983821,Berliner Straße,residential,30,False,False,19.186,"LINESTRING (9.1350739 48.9019335, 9.1353341 48.9019562)",,,,,
22983821,Berliner Straße,residential,30,False,True,46.317,"LINESTRING (9.1350739 48.9019335, 9.1348438 48.9019114, 9.134698 48.901897, 9.1344474 48.9018711)",,,,,
8080015,Danziger Straße,residential,30,False,True,149.88,"LINESTRING (9.1344553 48.9032186, 9.1350739 48.9019335)",,,,,
96310095,Danziger Straße,residential,30,False,False,73.644,"LINESTRING (9.1344553 48.9032186, 9.1340423 48.9038227)",,,,,
222238434,Lange Straße,residential,30,False,False,58.026,"LINESTRING (9.1344553 48.9032186, 9.1352291 48.9033352)",,,,,
222238434,Lange Straße,residential,30,False,True,85.163,"LINESTRING (9.1344553 48.9032186, 9.1340709 48.9031695, 9.1333102 48.9030772)",,,,,
22983818,Möglinger Straße,tertiary,50,False,False,110.32600000000001,"LINESTRING (9.1290205 48.9014024, 9.1290119 48.9014426, 9.1290083 48.9015155, 9.1290108 48.9015411, 9.1290497 48.9017173, 9.129108 48.9019137, 9.1291943 48.9020879, 9.1292588 48.9021915, 9.1293749 48.9023542)",K 1693,,,,
222238438,Möglinger Straße,tertiary,50,False,False,4.949,"LINESTRING (9.1304294 48.9032167, 9.1304738 48.9032503)",K 1693,,,,
9077881,Lange Straße,residential,30,False,False,43.43,"LINESTRING (9.1304294 48.9032167, 9.1304862 48.9031838, 9.130753 48.9030273, 9.1308736 48.9029573)",,,,,
22983818,Möglinger Straße,tertiary,50,False,True,123.173,"LINESTRING (9.1304294 48.9032167, 9.1303448 48.9031529, 9.1298586 48.9027746, 9.1296756 48.9026378, 9.1293749 48.9023542)",K 1693,,,,
22983818,Möglinger Straße,tertiary,50,False,False,123.173,"LINESTRING (9.1293749 48.9023542, 9.1296756 48.9026378, 9.1298586 48.9027746, 9.1303448 48.9031529, 9.1304294 48.9032167)",K 1693,,,,
22983818,Möglinger Straße,tertiary,50,False,True,110.32600000000001,"LINESTRING (9.1293749 48.9023542, 9.1292588 48.9021915, 9.1291943 48.9020879, 9.129108 48.9019137, 9.1290497 48.9017173, 9.1290108 48.9015411, 9.1290083 48.9015155, 9.1290119 48.9014426, 9.1290205 48.9014024)",K 1693,,,,
106341841,Möglinger Straße,residential,30,False,False,78.604,"LINESTRING (9.1293749 48.9023542, 9.1287402 48.9023698, 9.1286585 48.902372, 9.1283003 48.9023811)",,,,,
