osmid,highway,junction,oneway,reversed,length,geometry,name,lanes,ref,maxspeed,tunnel,bridge,access
4254427,tertiary,roundabout,True,False,16.898999999999997,"LINESTRING (12.7630759 48.4000968, 12.7630884 48.4000675, 12.7631138 48.4000422, 12.7631496 48.4000233, 12.7631924 48.4000126, 12.7632381 48.400011)",,,,,,,
"[1207844097, 411456954]",tertiary,,False,True,154.986,"LINESTRING (12.7630759 48.4000968, 12.7629292 48.4000835, 12.7626382 48.4000579, 12.761969 48.4000253, 12.7617206 48.4000132, 12.7609849 48.3999773)",Lauterbachstraße,2,,,,,
4254429,tertiary,,False,False,29.05,"LINESTRING (12.7605531 48.4046276, 12.7605396 48.4046543, 12.7605075 48.4046864, 12.7602956 48.4048208)",Straubinger Straße,,PAN 32,50,,,
4254429,tertiary,,False,True,75.07400000000001,"LINESTRING (12.7605531 48.4046276, 12.7605584 48.4045858, 12.7605504 48.4045475, 12.7605195 48.4044941, 12.7602745 48.404155, 12.7601873 48.4040045)",Straubinger Straße,,PAN 32,50,,,
27622503,tertiary,,False,False,86.854,"LINESTRING (12.7605531 48.4046276, 12.7608987 48.4047612, 12.7613001 48.4049152, 12.7614382 48.4049784, 12.7615468 48.4050425)",Bergstraße,,,,,,
1244692150,tertiary,,False,True,52.977,"LINESTRING (12.7566754 48.4071321, 12.7568328 48.4070125, 12.7571747 48.4067903)",Straubinger Straße,3,PAN 32,50,,,
24917121,tertiary,,False,False,15.913,"LINESTRING (12.7659295 48.4044953, 12.7661261 48.404554)",Pfarrkirchener Straße,,,,,,
412764419,residential,,False,False,27.12,"LINESTRING (12.7659295 48.4044953, 12.7661049 48.404281)",Schulstraße,,,,,,
412764414,tertiary,,False,True,49.772000000000006,"LINESTRING (12.7659295 48.4044953, 12.7656869 48.4044263, 12.765312 48.4043156)",Pfarrkirchener Straße,,,,,,
411456954,tertiary,,False,False,77.961,"LINESTRING (12.7599334 48.3999125, 12.7609849 48.3999773)",Lauterbachstraße,2,,,,,
27282478,residential,,False,False,224.26599999999996,"LINESTRING (12.7599334 48.3999125, 12.7599181 48.400215, 12.7599073 48.4005232, 12.7599312 48.4006086, 12.7599617 48.4006564, 12.760022 48.4007163, 12.7600686 48.40081, 12.7601147 48.4011154, 12.7601231 48.4011782, 12.7601279 48.401231, 12.7601655 48.4012835, 12.7602459 48.4013458, 12.7603371 48.4013859, 12.760423 48.4014099, 12.7605933 48.4014242, 12.7609554 48.4014233, 12.7610211 48.4014144)",Pater-Viktrizius-Weiß-Straße,,,30,,,
411456954,tertiary,,False,True,202.65800000000002,"LINESTRING (12.7599334 48.3999125, 12.7591356 48.3998627, 12.7585967 48.399829, 12.7583443 48.399812, 12.7581283 48.3997992, 12.757755 48.3997769, 12.7575021 48.3997618, 12.7572001 48.3997439)",Lauterbachstraße,2,,,,,
27282478,residential,,False,False,17.365000000000002,"LINESTRING (12.7610211 48.4014144, 12.7610679 48.4013958, 12.7611307 48.4013585, 12.7611834 48.4013049)",Pater-Viktrizius-Weiß-Straße,,,30,,,
27282478,residential,,False,True,224.266,"LINESTRING (12.7610211 48.4014144, 12.7609554 48.4014233, 12.7605933 48.4014242, 12.760423 48.4014099, 12.7603371 48.4013859, 12.7602459 48.4013458, 12.7601655 48.4012835, 12.7601279 48.401231, 12.7601231 48.4011782, 12.7601147 48.4011154, 12.7600686 48.40081, 12.760022 48.4007163, 12.7599617 48.4006564, 12.7599312 48.4006086, 12.7599073 48.4005232, 12.7599181 48.400215, 12.7599334 48.3999125)",Pater-Viktrizius-Weiß-Straße,,,30,,,
"[27282482, 28465115]",residential,,False,False,98.983,"LINESTRING (12.7610211 48.4014144, 12.7610627 48.4016548, 12.7610788 48.4016815, 12.7611297 48.4016922, 12.7613229 48.4017215, 12.7614328 48.4017402, 12.7615271 48.4017572, 12.7617748 48.4018017, 12.7617788 48.4018213, 12.7617419 48.4019409)","['Rathausplatz', 'Pater-Viktrizius-Weiß-Straße']",,,30,,,
27282478,residential,,False,False,154.28400000000002,"LINESTRING (12.7611834 48.4013049, 12.7612002 48.4012633, 12.7612024 48.4012141, 12.7612169 48.4010386, 12.7612317 48.4008205, 12.761233 48.4007475, 12.7612115 48.4006834, 12.7611887 48.4006584, 12.7611512 48.4006317, 12.7610761 48.4005872, 12.7610345 48.4005623, 12.761005 48.4005311, 12.7609876 48.4004973, 12.7609768 48.4002489, 12.7609849 48.3999773)",Pater-Viktrizius-Weiß-Straße,,,30,,,
27282478,residential,,False,True,17.365000000000002,"LINESTRING (12.7611834 48.4013049, 12.7611307 48.4013585, 12.7610679 48.4013958, 12.7610211 48.4014144)",Pater-Viktrizius-Weiß-Straße,,,30,,,
