osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,width,bridge,access
"[137591105, 1250377885]",Stresemannstraße,residential,"['50', '30']",False,False,90.392,"LINESTRING (11.1517086 51.7820389, 11.1510485 51.7825569, 11.1508943 51.7826769)",,,,,
137591105,Stresemannstraße,residential,50,False,False,56.284,"LINESTRING (11.1508943 51.7826769, 11.1505759 51.7829454, 11.1504018 51.783081)",,,,,
"[137591105, 1250377885]",Stresemannstraße,residential,"['50', '30']",False,True,90.392,"LINESTRING (11.1508943 51.7826769, 11.1510485 51.7825569, 11.1517086 51.7820389)",,,,,
1078159518,Klopstockweg,residential,50,False,False,274.874,"LINESTRING (11.1508943 51.7826769, 11.1509977 51.7827272, 11.1512828 51.7828659, 11.154035 51.7842052)",2,,,,
27663982,Bahnhofsplatz,residential,50,False,False,46.904,"LINESTRING (11.1517645 51.7853322, 11.1518826 51.7853092, 11.151889 51.7853086, 11.1519187 51.7853056, 11.1519967 51.7852997, 11.1520268 51.7852994, 11.1520471 51.7853007, 11.1520695 51.7853058, 11.1522764 51.7854196, 11.1522962 51.785432, 11.1523337 51.7854637)",,,,,
216117430,Bahnhofsplatz,secondary,50,True,False,15.296000000000001,"LINESTRING (11.1517645 51.7853322, 11.1517701 51.7853455, 11.1517728 51.7853592, 11.1517726 51.7853729, 11.1517696 51.7853866, 11.1517637 51.7853998, 11.151755 51.7854125, 11.1517438 51.7854243, 11.1517301 51.7854352, 11.1517143 51.7854449, 11.1516966 51.7854532)",1,roundabout,,,
"[1113320707, 365247973, 204487975, 217886069, 365247964, 1250377853, 1250377854]",Harzweg,secondary,50,False,"[False, True]",212.99000000000004,"LINESTRING (11.1489719 51.7841821, 11.1492131 51.7843009, 11.1498227 51.7845984, 11.1502649 51.7848098, 11.1502733 51.7848137, 11.1503198 51.7848364, 11.1504541 51.7849018, 11.1505148 51.7849314, 11.1505262 51.784937, 11.150651 51.7849953, 11.1508337 51.7850828, 11.1510924 51.7852065, 11.1511598 51.7852383, 11.1511686 51.7852424, 11.1512461 51.7852735, 11.1513116 51.7852969, 11.1513993 51.7853234, 11.1514416 51.7853318)","['2', '3']",,,,
"[365247968, 365247969, 365247971, 365247972, 204487976, 1113394618, 365247962, 365247966, 365247967]",Harzweg,secondary,50,False,False,250.48399999999995,"LINESTRING (11.1489719 51.7841821, 11.1487879 51.7840923, 11.1483848 51.783893, 11.1483485 51.783875, 11.1483397 51.7838708, 11.1480764 51.7837434, 11.147958 51.7836849, 11.1478986 51.7836556, 11.1478501 51.7836316, 11.1475262 51.7834722, 11.147368 51.7833944, 11.1472191 51.7833218, 11.1472065 51.7833156, 11.1470491 51.7832388, 11.1469438 51.7831874, 11.1466626 51.7830502, 11.146444 51.7829436, 11.146301 51.7828739, 11.146289 51.7828682, 11.146235 51.7828424, 11.1462103 51.7828306, 11.1461456 51.7827984, 11.1461175 51.7827835)","['4', '2', '3']",,,,
"[73077160, 204487993, 28802458]",Stresemannstraße,residential,50,False,False,113.71000000000001,"LINESTRING (11.1489719 51.7841821, 11.1489029 51.7842281, 11.1487695 51.784334, 11.1484911 51.7845579, 11.1484548 51.7846092, 11.1482551 51.7847547, 11.1482493 51.7847619, 11.1482453 51.7847703, 11.1482448 51.7847797, 11.1482479 51.784789, 11.1482984 51.7849156, 11.1483048 51.7849232, 11.1483147 51.7849296, 11.1483355 51.7849392, 11.1483801 51.7849536, 11.1484005 51.7849628, 11.1484209 51.7849742, 11.14844 51.7849873, 11.1484518 51.7850007)",,,,,
"[78255787, 365247975]",Stresemannstraße,residential,50,False,True,142.63199999999998,"LINESTRING (11.1489719 51.7841821, 11.1490854 51.7841007, 11.149168 51.7840374, 11.1494637 51.7838109, 11.149561 51.7837346, 11.149595 51.7837073, 11.1496365 51.783675, 11.1496763 51.7836438, 11.1497823 51.7835604, 11.1501586 51.7832758, 11.1502763 51.7831851)","['2', '3']",,,,
78255787,Stresemannstraße,residential,50,False,False,14.44,"LINESTRING (11.1504018 51.783081, 11.1502763 51.7831851)",2,,,,
137591105,Stresemannstraße,residential,50,False,True,56.284,"LINESTRING (11.1504018 51.783081, 11.1505759 51.7829454, 11.1508943 51.7826769)",,,,,
"[207341929, 1250377886]",Rambergweg,residential,50,False,True,223.687,"LINESTRING (11.1504018 51.783081, 11.150299 51.783033, 11.1502633 51.7830156, 11.1495314 51.7826598, 11.1493844 51.7825888, 11.1492374 51.7825147, 11.1478443 51.7818387)",2,,,,
"[207341929, 1250377886]",Rambergweg,residential,50,False,False,223.687,"LINESTRING (11.1478443 51.7818387, 11.1492374 51.7825147, 11.1493844 51.7825888, 11.1495314 51.7826598, 11.1502633 51.7830156, 11.150299 51.783033, 11.1504018 51.783081)",2,,,,
"[23453166, 365247958, 365247959]",Albert-Schweitzer-Straße,residential,50,False,True,153.60299999999995,"LINESTRING (11.1478443 51.7818387, 11.1477819 51.7818883, 11.1476766 51.7819703, 11.1475432 51.7820765, 11.1472359 51.7823214, 11.147132 51.7823921, 11.1470686 51.7824208, 11.1469948 51.7824401, 11.1468987 51.7824589, 11.1468898 51.7824607, 11.1464209 51.78254, 11.146343 51.7825542, 11.146282 51.7825667, 11.1462571 51.7825719, 11.1462478 51.7825748, 11.146218 51.7825839, 11.1461546 51.782606, 11.1461172 51.7826225)",2,,,,
78255787,Stresemannstraße,residential,50,False,True,14.44,"LINESTRING (11.1502763 51.7831851, 11.1504018 51.783081)",2,,,,
"[78255787, 365247975]",Stresemannstraße,residential,50,False,False,142.63199999999998,"LINESTRING (11.1502763 51.7831851, 11.1501586 51.7832758, 11.1497823 51.7835604, 11.1496763 51.7836438, 11.1496365 51.783675, 11.149595 51.7837073, 11.149561 51.7837346, 11.1494637 51.7838109, 11.149168 51.7840374, 11.1490854 51.7841007, 11.1489719 51.7841821)","['2', '3']",,,,
"[1250377888, 23453175, 1250377887]",An der Walze,residential,"['50', '30']",False,True,760.0970000000001,"LINESTRING (11.1502763 51.7831851, 11.1503665 51.7832243, 11.1504055 51.7832428, 11.1505178 51.7832979, 11.1511981 51.7836325, 11.1525565 51.7842985, 11.152666 51.7843522, 11.1531832 51.7846057, 11.154435 51.7852663, 11.1556205 51.7859392, 11.1557561 51.7860157, 11.1562817 51.7863257, 11.1567974 51.7866566, 11.1577178 51.7872468, 11.1581581 51.7875476, 11.1583006 51.7876541, 11.1584555 51.7877619)",,,,,
23453179,Frachtstraße,residential,50,False,True,121.357,"LINESTRING (11.1584555 51.7877619, 11.1583563 51.7878234, 11.1583409 51.7878329, 11.1583308 51.7878391, 11.1582745 51.7878741, 11.1582153 51.7879107, 11.1581669 51.7879407, 11.1581131 51.7879741, 11.1580534 51.788011, 11.1576536 51.7882643, 11.157593 51.7883026, 11.157521 51.7883498, 11.1573344 51.7884659, 11.157315 51.788478, 11.1572187 51.7885402)",,,,,
"[1250377888, 1250377887, 23453175]",An der Walze,residential,"['50', '30']",False,False,760.097,"LINESTRING (11.1584555 51.7877619, 11.1583006 51.7876541, 11.1581581 51.7875476, 11.1577178 51.7872468, 11.1567974 51.7866566, 11.1562817 51.7863257, 11.1557561 51.7860157, 11.1556205 51.7859392, 11.154435 51.7852663, 11.1531832 51.7846057, 11.152666 51.7843522, 11.1525565 51.7842985, 11.1511981 51.7836325, 11.1505178 51.7832979, 11.1504055 51.7832428, 11.1503665 51.7832243, 11.1502763 51.7831851)",,,,,
23453179,Frachtstraße,residential,50,False,False,121.35699999999999,"LINESTRING (11.1572187 51.7885402, 11.157315 51.788478, 11.1573344 51.7884659, 11.157521 51.7883498, 11.157593 51.7883026, 11.1576536 51.7882643, 11.1580534 51.788011, 11.1581131 51.7879741, 11.1581669 51.7879407, 11.1582153 51.7879107, 11.1582745 51.7878741, 11.1583308 51.7878391, 11.1583409 51.7878329, 11.1583563 51.7878234, 11.1584555 51.7877619)",,,,,
