osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,width,junction,access
878603169,Bamberger Straße,tertiary,30,False,True,15.258,"LINESTRING (11.059286 49.7231213, 11.0593265 49.7229866)",,,,,
986875664,Sackgasse,residential,,False,False,50.568,"LINESTRING (11.059286 49.7231213, 11.0588989 49.7230077, 11.0587878 49.7229196, 11.0587722 49.7228541)",,,,,
82791373,Wiesentstraße,living_street,,False,True,15.995,"LINESTRING (11.0590175 49.7212961, 11.0591607 49.721186)",,,,,
8329101,Bamberger Straße,living_street,,False,False,23.405,"LINESTRING (11.0590175 49.7212961, 11.0590875 49.7213761, 11.0591694 49.7214822)",,,,,
"[45104665, 45104666, 41870820]","['Hauptstraße', 'Bamberger Straße', 'Spitalbrücke']",living_street,,False,False,33.533,"LINESTRING (11.0590175 49.7212961, 11.0589028 49.721227, 11.0587688 49.721146, 11.0586841 49.7210855)",yes,,,,
49365199,Sattlertorstraße,living_street,,False,False,45.719,"LINESTRING (11.0567299 49.7200729, 11.0560952 49.7200987)",,,,,
"[25038394, 25038388]","['Kapellenstraße', 'Schulstraße']",living_street,,False,False,78.007,"LINESTRING (11.0567299 49.7200729, 11.0566635 49.7199579, 11.0565757 49.7197597, 11.0560957 49.7197956, 11.0560358 49.7198417)",,,,,
"[8329112, 225413547, 36949096]","['Hauptstraße', 'Sattlertorstraße']",living_street,,False,True,153.798,"LINESTRING (11.0567299 49.7200729, 11.0572106 49.7200803, 11.0572426 49.7200807, 11.0574766 49.7201136, 11.0576885 49.7201543, 11.0578504 49.7202176, 11.0579985 49.72033, 11.0580807 49.720454, 11.0583288 49.7207639)",,,,,
29097342,Sattlertorstraße,living_street,,False,True,53.35,"LINESTRING (11.055931 49.7205666, 11.0560952 49.7200987)",,,,,
"[43759931, 25038391]",Sattlertorstraße,"['living_street', 'residential']",30,False,False,146.77,"LINESTRING (11.055931 49.7205666, 11.0555977 49.7205973, 11.0554588 49.7206585, 11.0552769 49.7208331, 11.0550724 49.7210294, 11.0546978 49.7213828, 11.054593 49.7214794)",,,,,
25205840,Krottental,living_street,,False,False,87.906,"LINESTRING (11.055931 49.7205666, 11.0565792 49.720683, 11.0570902 49.7208146)",,,,,
43759931,Sattlertorstraße,residential,30,False,False,36.808,"LINESTRING (11.0542115 49.7217243, 11.0536996 49.7217171)",,,,,
43759931,Sattlertorstraße,residential,30,False,True,38.649,"LINESTRING (11.0542115 49.7217243, 11.054593 49.7214794)",,,,,
1151949667,Merowingerstraße,residential,30,False,True,23.925,"LINESTRING (11.0542115 49.7217243, 11.0540944 49.7219257)",,,,,
8329123,Stauffenbergstraße,residential,30,False,False,83.584,"LINESTRING (11.0575355 49.7176016, 11.0567629 49.7181633)",,,,,
24341636,Luitpoldstraße,residential,30,False,False,61.309,"LINESTRING (11.0575355 49.7176016, 11.0583291 49.7178034)",,,,,
8329123,Stauffenbergstraße,residential,30,False,True,131.70600000000002,"LINESTRING (11.0575355 49.7176016, 11.0576894 49.7171535, 11.0577031 49.7171138, 11.0577112 49.717089, 11.0579381 49.7164461)",,,,,
47639523,Löschwöhrdstraße,residential,30,False,True,41.73,"LINESTRING (11.0579381 49.7164461, 11.0573835 49.7163354)",,,,,
8329121,Löschwöhrdstraße,residential,30,False,True,82.259,"LINESTRING (11.0579381 49.7164461, 11.0584283 49.7165363, 11.0587196 49.7165899, 11.0590424 49.716639)",,,,,
8329123,Stauffenbergstraße,residential,30,False,False,131.706,"LINESTRING (11.0579381 49.7164461, 11.0577112 49.717089, 11.0577031 49.7171138, 11.0576894 49.7171535, 11.0575355 49.7176016)",,,,,
8329121,Löschwöhrdstraße,residential,30,False,True,35.873,"LINESTRING (11.0590424 49.716639, 11.0595249 49.7167212)",,,,,
8329121,Löschwöhrdstraße,residential,30,False,False,82.259,"LINESTRING (11.0590424 49.716639, 11.0587196 49.7165899, 11.0584283 49.7165363, 11.0579381 49.7164461)",,,,,
"[24024764, 45020526]",Luitpoldstraße,residential,30,False,True,139.279,"LINESTRING (11.0590424 49.716639, 11.0589626 49.7167839, 11.0583981 49.7177009, 11.0583291 49.7178034)",,,,,
"[314010312, 8329119]",Luitpoldstraße,residential,30,False,True,130.061,"LINESTRING (11.0590424 49.716639, 11.0592492 49.7162181, 11.0597678 49.7163061, 11.0598432 49.7163166, 11.0600407 49.7163429, 11.0602131 49.7163531, 11.060351 49.716351)",,3,,,
