osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,bridge,width,access
25553249,Poststraße,residential,50,False,False,75.084,"LINESTRING (13.1671439 52.0914487, 13.1680985 52.0911141)",,,,,,
5120657,Puschkinstraße,residential,50,False,True,139.369,"LINESTRING (13.1671439 52.0914487, 13.1671789 52.0914903, 13.168183 52.0925272)",,,,,,
1223830377,,secondary,50,True,False,14.245999999999999,"LINESTRING (13.1769343 52.0899191, 13.1769468 52.0899611, 13.1769367 52.0900033, 13.1769051 52.0900414)",1,L 73,roundabout,,,
1223830378,,secondary,50,True,False,13.907,"LINESTRING (13.1766563 52.0898404, 13.1767227 52.0898319, 13.1767902 52.0898366, 13.1768518 52.089854)",1,L 73,roundabout,,,
1217136696,,secondary,50,True,False,12.131,"LINESTRING (13.1765298 52.0900057, 13.1765187 52.08997, 13.1765239 52.0899338, 13.1765451 52.0898998)",1,L 73,roundabout,,,
5120671,Haag,secondary,50,False,True,127.75999999999999,"LINESTRING (13.172534 52.0909486, 13.1730833 52.0913346, 13.1731823 52.0914042, 13.1732407 52.0914343, 13.1736375 52.0916551, 13.1738332 52.0917725)",2,,,,,
44350412,Haag,secondary,50,False,False,137.34300000000002,"LINESTRING (13.172534 52.0909486, 13.1720575 52.0905556, 13.1720254 52.0905292, 13.1714603 52.0900562, 13.1713396 52.0899551)",2,,,,,
563731317,Grabenstraße,residential,,True,False,345.276,"LINESTRING (13.172534 52.0909486, 13.1703865 52.0917627, 13.168183 52.0925272)",,,,,,
5120657,Puschkinstraße,residential,50,False,False,139.369,"LINESTRING (13.168183 52.0925272, 13.1671789 52.0914903, 13.1671439 52.0914487)",,,,,,
5120657,Puschkinstraße,residential,50,False,True,118.649,"LINESTRING (13.168183 52.0925272, 13.1690209 52.0934009, 13.1690258 52.0934059, 13.1690658 52.0934461)",,,,,,
5120671,Haag,secondary,50,False,False,127.75999999999999,"LINESTRING (13.1738332 52.0917725, 13.1736375 52.0916551, 13.1732407 52.0914343, 13.1731823 52.0914042, 13.1730833 52.0913346, 13.172534 52.0909486)",2,,,,,
"[232836131, 232836124]",Trebbiner Straße,tertiary,50,False,True,223.54000000000002,"LINESTRING (13.1738332 52.0917725, 13.1738672 52.0918093, 13.1739415 52.0918896, 13.1741634 52.0920888, 13.1745108 52.092386, 13.1749072 52.0929286, 13.1751577 52.0935844)","['2', '3']",K 7216,,,,
257132938,Beelitzer Straße,secondary,50,False,True,21.516,"LINESTRING (13.1738332 52.0917725, 13.1740265 52.0917159, 13.1741132 52.0916843)",3,L 73,,,,
"[257132937, 5120658, 257132939, 1071097550]",Beelitzer Straße,secondary,50,False,True,375.177,"LINESTRING (13.1738332 52.0917725, 13.1735972 52.0918426, 13.1735514 52.0918583, 13.1734323 52.091899, 13.1731406 52.0920053, 13.1725438 52.0922208, 13.1721633 52.0923564, 13.1717223 52.0925145, 13.170349 52.0930089, 13.1691997 52.093401, 13.1690658 52.0934461)","['2', '3']",L 73,,,,
5120653,,secondary,50,True,False,11.003,"LINESTRING (13.1768051 52.0900872, 13.1767527 52.0900944, 13.176699 52.0900933, 13.1766475 52.0900841)",1,L 73,roundabout,,,
1159237494,Haag,secondary,50,False,False,74.354,"LINESTRING (13.1713396 52.0899551, 13.1707211 52.0894049)",2,,,,,
25553249,Poststraße,residential,50,False,True,219.43,"LINESTRING (13.1713396 52.0899551, 13.1708325 52.0901369, 13.170724 52.0901758, 13.1704201 52.0902847, 13.1685653 52.0909494)",,,,,,
"[284743184, 26975622, 284743183]",Markt,residential,,False,False,72.599,"LINESTRING (13.1713396 52.0899551, 13.1715926 52.0898913, 13.1716412 52.0898799, 13.1717983 52.089841, 13.1723181 52.0897007)",,,,yes,,
44350412,Haag,secondary,50,False,True,137.34300000000002,"LINESTRING (13.1713396 52.0899551, 13.1714603 52.0900562, 13.1720254 52.0905292, 13.1720575 52.0905556, 13.172534 52.0909486)",2,,,,,
5120657,Puschkinstraße,residential,50,False,False,118.649,"LINESTRING (13.1690658 52.0934461, 13.1690258 52.0934059, 13.1690209 52.0934009, 13.168183 52.0925272)",,,,,,
"[257132937, 5120658, 257132939, 1071097550]",Beelitzer Straße,secondary,50,False,False,375.1770000000001,"LINESTRING (13.1690658 52.0934461, 13.1691997 52.093401, 13.170349 52.0930089, 13.1717223 52.0925145, 13.1721633 52.0923564, 13.1725438 52.0922208, 13.1731406 52.0920053, 13.1734323 52.091899, 13.1735514 52.0918583, 13.1735972 52.0918426, 13.1738332 52.0917725)","['2', '3']",L 73,,,,
23431926,Beelitzer Straße,secondary,50,False,False,137.219,"LINESTRING (13.1690658 52.0934461, 13.1677571 52.0939084, 13.1674867 52.094008, 13.1673553 52.0940869)",2,L 73,,,,
5120677,Salzufler Allee,secondary,50,False,False,19.257,"LINESTRING (13.1746406 52.0911284, 13.174831 52.0910007)",2,L 73,,,,
51678539,Markt,residential,,False,True,91.097,"LINESTRING (13.1746406 52.0911284, 13.1740126 52.0904057)",,,,,,
"[257132938, 284743179, 9705596]",Beelitzer Straße,secondary,50,False,False,72.582,"LINESTRING (13.1746406 52.0911284, 13.1746074 52.09118, 13.174494 52.0913562, 13.1744736 52.0913879, 13.1743468 52.0915306, 13.1742765 52.0915898, 13.1741132 52.0916843)","['2', '3']",L 73,,yes,,
5120674,Kleine Weinbergstraße,residential,30,True,False,105.10300000000001,"LINESTRING (13.1692381 52.0871009, 13.1690787 52.087142, 13.1688642 52.0872211, 13.1686845 52.0872656, 13.168545 52.0872804, 13.1683089 52.0872442, 13.1680791 52.0872025, 13.167923 52.0872144, 13.1677978 52.0872525)",,,,,,
1224019176,Haag,secondary,50,False,True,21.33,"LINESTRING (13.1692381 52.0871009, 13.1694032 52.0871921, 13.1694468 52.0872406)",2,,,,,
284743184,Markt,residential,,False,True,26.583,"LINESTRING (13.1726755 52.0896062, 13.1723181 52.0897007)",,,,,,
"[230410184, 51678538]",Markt,residential,20,True,False,168.85899999999998,"LINESTRING (13.1726755 52.0896062, 13.172888 52.0894936, 13.1732166 52.0894037, 13.1733825 52.0894076, 13.1735648 52.0894836, 13.1743604 52.0902247)",,,,,,
"[232836131, 23414940]",Trebbiner Straße,tertiary,50,False,False,90.387,"LINESTRING (13.175559 52.094345, 13.1754644 52.0942943, 13.1754072 52.0942141, 13.1753874 52.0941498, 13.1751577 52.0935844)",2,K 7216,,,,
8560569,,secondary,50,False,False,47.861999999999995,"LINESTRING (13.1687411 52.0860162, 13.1687616 52.0860782, 13.1686206 52.086435)",2,,,,,
8560569,,secondary,50,False,True,47.861999999999995,"LINESTRING (13.1686206 52.086435, 13.1687616 52.0860782, 13.1687411 52.0860162)",2,,,,,
8560570,Rudolf-Breitscheid-Straße,secondary,50,False,False,61.495000000000005,"LINESTRING (13.1686206 52.086435, 13.1693292 52.0865998, 13.169381 52.0866115, 13.1694628 52.08663)",2,,,,,
8560571,Haag,secondary,50,True,False,54.566,"LINESTRING (13.1694628 52.08663, 13.1692381 52.0871009)",2,,,,,
8560570,Rudolf-Breitscheid-Straße,secondary,50,False,True,61.495000000000005,"LINESTRING (13.1694628 52.08663, 13.169381 52.0866115, 13.1693292 52.0865998, 13.1686206 52.086435)",2,,,,,
"[58296896, 234462177, 234462178, 24805455]","['Rudolf-Breitscheid-Straße', 'Parkstraße']",residential,20,True,False,200.05400000000003,"LINESTRING (13.1694628 52.08663, 13.1704832 52.0868498, 13.1705685 52.0868767, 13.1706888 52.0869217, 13.1708679 52.0870065, 13.1712363 52.0863914, 13.1713855 52.0863126, 13.1714937 52.0862801)",,,,yes,,
1159237494,Haag,secondary,50,False,True,52.954,"LINESTRING (13.1703048 52.0890032, 13.1707211 52.0894049)",2,,,,,
"[55508360, 231860723, 55508363, 55923829]","['Am Herrenhaus', 'Weberweg']",residential,,False,False,372.69300000000004,"LINESTRING (13.1703048 52.0890032, 13.1701222 52.0890617, 13.1697404 52.0891854, 13.1694322 52.0892853, 13.1692482 52.0890876, 13.1690313 52.0888414, 13.1688425 52.0886652, 13.168639 52.0887336, 13.1686147 52.0887105, 13.1684935 52.0885949, 13.1683434 52.0886517, 13.168001 52.0882786, 13.1678599 52.0882228, 13.1676408 52.0882939, 13.167397 52.0883898, 13.1672974 52.0887342, 13.167609 52.0890854)",,,,,,
538566896,Haag,secondary,50,False,False,163.16199999999998,"LINESTRING (13.1703048 52.0890032, 13.1700379 52.0887633, 13.16996 52.0886629, 13.169911 52.088592, 13.1698902 52.0884716, 13.1698554 52.0882547, 13.1698232 52.0880222, 13.169758 52.087852, 13.1696948 52.087734, 13.1696353 52.0876228)",2,,,,,
22979753,Salzufler Allee,secondary,50,True,False,25.290999999999997,"LINESTRING (13.1768518 52.089854, 13.1769577 52.0898251, 13.1771902 52.0897618)",1,L 73,,,,
1217136697,,secondary,50,True,False,9.293,"LINESTRING (13.1768518 52.089854, 13.1769016 52.0898825, 13.1769343 52.0899191)",1,L 73,roundabout,,,
5120675,Kleiner Haag,residential,50,True,False,23.486,"LINESTRING (13.1765451 52.0898998, 13.1764994 52.0898321, 13.1764134 52.0897047)",,,,,,
1216743553,,secondary,50,True,False,10.252,"LINESTRING (13.1765451 52.0898998, 13.1765742 52.0898748, 13.176612 52.0898547, 13.1766563 52.0898404)",1,L 73,roundabout,,,
22980514,Salzufler Allee,secondary,50,True,False,39.794,"LINESTRING (13.1766475 52.0900841, 13.1765304 52.0901255, 13.1761529 52.090273)",1,L 73,,,,
