osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,tunnel,width,junction
25688407,Sudetenstraße,residential,30,False,False,155.10899999999998,"LINESTRING (10.8421536 50.1891591, 10.8418808 50.1894382, 10.8415881 50.1897033, 10.8415007 50.1898435, 10.8414499 50.1899967, 10.8414187 50.1904297)",,,,,,
"[616114272, 11281826]",Coburger Straße,secondary,50,False,False,98.541,"LINESTRING (10.8421536 50.1891591, 10.8422206 50.189176, 10.8422788 50.1891858, 10.8423392 50.1891957, 10.8424106 50.1892034, 10.8425589 50.1892161, 10.8427631 50.1892245, 10.8429334 50.1892259, 10.8431574 50.1892252, 10.8433254 50.1892315, 10.8435248 50.1892439)",2,CO 16,,,,
616114272,Coburger Straße,secondary,50,False,True,51.558,"LINESTRING (10.8421536 50.1891591, 10.84208 50.1891253, 10.8420328 50.1890965, 10.8418786 50.1889793, 10.84168 50.1888113)",2,CO 16,,,,
11281826,Coburger Straße,secondary,50,False,True,13.928,"LINESTRING (10.843709 50.1892861, 10.8435248 50.1892439)",2,CO 16,,,,
11281826,Coburger Straße,secondary,50,False,False,197.29899999999998,"LINESTRING (10.843709 50.1892861, 10.8438528 50.1893358, 10.8439849 50.1893986, 10.8441481 50.189481, 10.8445121 50.189666, 10.8446061 50.1897116, 10.8447024 50.1897558, 10.8450096 50.189899, 10.845488 50.1901063, 10.8459826 50.1902962)",2,CO 16,,,,
"[396553952, 25688406]",,living_street,,False,False,72.07900000000001,"LINESTRING (10.843709 50.1892861, 10.843876 50.1891166, 10.844281 50.1887515)",,,,,,
"[4454051, 42299245, 42299246, 42299249, 42299252, 378323742]",,"['living_street', 'unclassified']",50,False,False,190.94000000000005,"LINESTRING (10.8412542 50.186606, 10.8412071 50.1865824, 10.8411159 50.1865356, 10.8407091 50.1863425, 10.8405632 50.1862676, 10.8401314 50.1860459, 10.8398999 50.1859319, 10.8398184 50.1858995, 10.839669 50.185833, 10.8395408 50.1858094, 10.8390615 50.1857831, 10.8389883 50.1857766)",,,yes,,,
"[11281824, 1126434610, 1126434611, 215822135, 616102458, 679647100]",Flenderstraße,residential,30,False,False,106.588,"LINESTRING (10.8412542 50.186606, 10.8413948 50.1866863, 10.8414512 50.1867198, 10.8414727 50.1867341, 10.8415008 50.1867529, 10.8415495 50.186782, 10.8415667 50.1867939, 10.8416672 50.1868668, 10.8417481 50.1869135, 10.8420601 50.1870935, 10.8423547 50.1872546)",,,yes,,,
"[616117308, 11281829]",Juliusweg,residential,50,False,False,264.366,"LINESTRING (10.8412542 50.186606, 10.8411831 50.1866946, 10.8411365 50.1867661, 10.8411015 50.1868779, 10.8409949 50.1876833, 10.8409852 50.1880227, 10.8409947 50.1882395, 10.8411355 50.1883834, 10.84168 50.1888113)",,,,,,
"[38742371, 616130692, 616130693, 1024654027]",,secondary,100,False,"[False, True]",469.89500000000004,"LINESTRING (10.8489581 50.1914761, 10.848991 50.1914512, 10.8490303 50.1914176, 10.8492981 50.1912039, 10.8493464 50.1911627, 10.849392 50.1911232, 10.8494483 50.1910682, 10.8495033 50.1910064, 10.8495475 50.1909446, 10.8495851 50.1908845, 10.8496106 50.1908347, 10.8496401 50.1907677, 10.8496642 50.1907067, 10.8496776 50.1906612, 10.8496897 50.190608, 10.8497004 50.1905419, 10.8497058 50.1904878, 10.8497098 50.1904328, 10.8497085 50.1903856, 10.8497031 50.190347, 10.8496964 50.1902989, 10.8496897 50.1902714, 10.849683 50.1902431, 10.8496723 50.1902105, 10.8496629 50.1901796, 10.8496535 50.1901504, 10.8496428 50.1901229, 10.8496347 50.1900988, 10.849624 50.1900722, 10.8496119 50.190043, 10.8495958 50.1900121, 10.8495864 50.1899928, 10.8495757 50.1899675, 10.8495636 50.1899366, 10.8494912 50.1897691, 10.8494416 50.1896541, 10.849392 50.1895433, 10.8493732 50.1895004, 10.8493558 50.1894617, 10.8493397 50.1894282, 10.8493276 50.1894016, 10.8493102 50.1893707, 10.849286 50.1893304, 10.8492431 50.1892711, 10.8492029 50.189223, 10.8491693 50.1891844, 10.8491329 50.1891474, 10.8490471 50.1890733, 10.8489564 50.1890036, 10.8488216 50.1889156, 10.8485803 50.1887877, 10.8483479 50.1886868, 10.8479777 50.1885306, 10.8476941 50.1884047, 10.8475835 50.1883528, 10.8474635 50.1882961, 10.8473515 50.1882437, 10.8472582 50.1881995, 10.8471838 50.1881596, 10.8470676 50.1880931)","['2', '3']",CO 25,,,,
