osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,tunnel,access
24714778,Ehrlerstraße,residential,30,False,False,86.598,,,"LINESTRING (10.1268551 48.9656489, 10.1259627 48.9651358)",,,
315279517,Haller Straße,primary,50,False,True,147.828,2,B 290,"LINESTRING (10.1268551 48.9656489, 10.1272835 48.9652563, 10.1275529 48.9649702, 10.1277409 48.964747, 10.1279254 48.9645225)",,,
"[288796008, 149918637]",Südtangente,tertiary,50,False,False,122.682,"['4', '3']",,"LINESTRING (10.1275568 48.9589563, 10.1281394 48.9589795, 10.1284686 48.9589817, 10.1287151 48.958943, 10.128928 48.9588872, 10.1291814 48.9588019)",yes,,
"[315279512, 288679824, 315279511]",Westtangente,primary,50,False,False,210.363,"['2', '3']",B 290,"LINESTRING (10.1275568 48.9589563, 10.1275229 48.9595671, 10.1275238 48.959864, 10.1275464 48.9600536, 10.1276299 48.9603292, 10.1277047 48.9605107, 10.1278492 48.9607433, 10.1278913 48.9608112)",yes,,
"[149584129, 289064931, 149584133, 315279535]",Südtangente,tertiary,50,False,False,347.244,3,,"LINESTRING (10.1311976 48.9584287, 10.1314336 48.9584156, 10.1320944 48.9583868, 10.1325401 48.9583665, 10.1327869 48.9583526, 10.1330879 48.9583711, 10.1333988 48.9584387, 10.1336957 48.9585254, 10.1339706 48.9586606, 10.1343239 48.9589517, 10.1347497 48.9591762, 10.1352275 48.9592838, 10.1354674 48.95932)",,yes,
"[860131838, 315279534]",Dalkinger Straße,tertiary,50,False,True,85.85799999999999,3,,"LINESTRING (10.1311976 48.9584287, 10.1311871 48.9583279, 10.1311892 48.9582604, 10.131208 48.958224, 10.1312604 48.9581895, 10.1313205 48.9581691, 10.1314449 48.9581642, 10.1317067 48.9582026, 10.1318185 48.9581998, 10.1318998 48.9581875, 10.1320173 48.95815)",,,
"[315279536, 315279537, 315279538]",Südtangente,tertiary,50,False,True,156.992,"['4', '3']",,"LINESTRING (10.1311976 48.9584287, 10.1304182 48.958448, 10.1301446 48.9584645, 10.1298921 48.9585281, 10.1295948 48.958655, 10.1294207 48.9587243, 10.1291814 48.9588019)",,,
"[24624427, 815815597]",Freigasse,tertiary,50,False,False,94.39099999999999,3,,"LINESTRING (10.1354674 48.95932, 10.135456 48.9596697, 10.1354868 48.9598777, 10.135533 48.9600293, 10.1355897 48.9601596)",,,
"[149584129, 289064931, 149584133, 315279535]",Südtangente,tertiary,50,False,True,347.244,3,,"LINESTRING (10.1354674 48.95932, 10.1352275 48.9592838, 10.1347497 48.9591762, 10.1343239 48.9589517, 10.1339706 48.9586606, 10.1336957 48.9585254, 10.1333988 48.9584387, 10.1330879 48.9583711, 10.1327869 48.9583526, 10.1325401 48.9583665, 10.1320944 48.9583868, 10.1314336 48.9584156, 10.1311976 48.9584287)",,yes,
24700773,Obere Straße,residential,,False,True,56.684,,,"LINESTRING (10.135654 48.960971, 10.1354676 48.9610346, 10.135165 48.9611478, 10.1349757 48.9612189)",,,
245532441,Sebastiansgraben,tertiary,50,False,True,95.376,2,,"LINESTRING (10.135654 48.960971, 10.1356542 48.9611659, 10.1356127 48.9612862, 10.1355266 48.9614184, 10.1352984 48.9616523, 10.1352399 48.9617638)",,,
"[315279533, 815815598]",Freigasse,tertiary,50,False,True,90.852,3,,"LINESTRING (10.135654 48.960971, 10.1356818 48.9605033, 10.1356598 48.9604137, 10.1355897 48.9601596)",,,
1204140262,Schloßvorstadt,residential,20,False,True,151.204,,,"LINESTRING (10.135654 48.960971, 10.1362797 48.9608994, 10.1370388 48.9607549, 10.1376528 48.960624)",,,
859776097,Obere Brühlstraße,tertiary,50,False,True,130.264,,,"LINESTRING (10.1317918 48.9653797, 10.1318122 48.9652781, 10.1318256 48.9650984, 10.1318372 48.9649578, 10.1318778 48.964465, 10.1318926 48.9642841, 10.1318987 48.9642106)",,,
860791430,Mittelhofstraße,tertiary,,False,False,25.853,,,"LINESTRING (10.1358836 48.9651553, 10.1356685 48.9649706)",,,
24698221,Schönenbergstraße,residential,,False,True,97.827,,,"LINESTRING (10.1358836 48.9651553, 10.1363495 48.965542, 10.1367784 48.9658071)",,,
24881316,Mühlgraben,unclassified,,False,False,31.222,3,,"LINESTRING (10.1280501 48.9610751, 10.128244 48.9610164, 10.1284456 48.960969)",,,
289336262,Westtangente,primary,50,False,True,31.552999999999997,2,B 290,"LINESTRING (10.1280501 48.9610751, 10.1279668 48.9609403, 10.1278913 48.9608112)",,,
"[288679823, 24701097, 815815600, 815815599]","['Westtangente', 'Haller Straße']",primary,50,False,False,185.829,3,B 290,"LINESTRING (10.1280501 48.9610751, 10.1281301 48.9612434, 10.1281505 48.961309, 10.1281947 48.9614509, 10.1282272 48.9616684, 10.1282185 48.9618862, 10.1282091 48.9621238, 10.1282038 48.9623891, 10.1282241 48.9626306, 10.1282397 48.9627319)",yes,,
"[289336261, 219909893, 390585141]",Mühlgraben,unclassified,,False,True,35.384,,,"LINESTRING (10.1288702 48.9608196, 10.1287474 48.9608792, 10.128555 48.9609433, 10.1284456 48.960969)",yes,,
"[708008899, 859776111, 357534804, 33723158, 861046394, 34849018, 861226494]",Bahnhofstraße,"['residential', 'unclassified']",,False,True,164.32,2,,"LINESTRING (10.1302021 48.9627192, 10.1301761 48.9628264, 10.1301795 48.9631158, 10.1301824 48.9631415, 10.130203 48.963326, 10.1302361 48.9633904, 10.1302735 48.9634222, 10.1303118 48.9634862, 10.1303192 48.963558, 10.1303136 48.9635911, 10.1303029 48.9636547, 10.1302868 48.9637917, 10.1302784 48.9638639, 10.1302661 48.9639685, 10.1302582 48.9640761, 10.1302509 48.9641764)",,,
"[390589219, 24701276, 374108189]",Sebastiansgraben,residential,,False,False,145.838,,,"LINESTRING (10.1302021 48.9627192, 10.1303247 48.9626715, 10.1304739 48.9626718, 10.1305909 48.9626787, 10.130822 48.9627344, 10.13133 48.9628551, 10.1313842 48.962868, 10.1316288 48.9629345, 10.1317615 48.9629706, 10.1317986 48.9629809, 10.1318909 48.9629958, 10.1320886 48.9630185)",,,
24700775,Obere Brühlstraße,tertiary,50,False,False,134.38,,,"LINESTRING (10.1320886 48.9630185, 10.1319641 48.9632278, 10.1319389 48.9636071, 10.1319349 48.9637587, 10.1319093 48.9640953, 10.1318987 48.9642106)",,,
