osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel,bridge,width
"[4257400, 1087600839, 47149900, 1087600840]",2,K 8710,Lohmener Straße,tertiary,False,True,307.022,"LINESTRING (14.0336027 50.9583977, 14.0336926 50.9584343, 14.0337391 50.9585082, 14.0337269 50.9585708, 14.0336958 50.9586254, 14.0336244 50.958662, 14.0334667 50.9586734, 14.0331821 50.9586551, 14.0328999 50.958637, 14.0325948 50.9586076, 14.0324615 50.9585784, 14.0319844 50.958366, 14.0318212 50.9583035, 14.0317365 50.9582772, 14.0316513 50.9582565, 14.0315665 50.958243, 14.0314742 50.9582454, 14.0313905 50.958255, 14.0313051 50.9582722, 14.0312111 50.958301, 14.0311215 50.9583425, 14.0310687 50.9583772, 14.0310296 50.9584275, 14.0309925 50.9585135, 14.0309422 50.9587514, 14.0309147 50.9588393, 14.0308681 50.9589262, 14.0307954 50.9590305)",,,,
"[294008154, 47007356, 294008157, 77930167]",2,K 8710,Lohmener Straße,tertiary,False,False,196.826,"LINESTRING (14.0336027 50.9583977, 14.0333633 50.9583521, 14.0327087 50.9582503, 14.0326444 50.9582349, 14.0325697 50.9581863, 14.0325286 50.9581471, 14.0325138 50.9581139, 14.0324612 50.9579269, 14.0324063 50.9577315, 14.0323424 50.9575045, 14.0322333 50.957213, 14.0322351 50.957167, 14.0322432 50.9571364)",30,building_passage,,
"[896607293, 127714542, 127714543]","['2', '1']",,Wehlener Grund,residential,False,True,129.80100000000002,"LINESTRING (14.0336027 50.9583977, 14.0341063 50.9584388, 14.0351375 50.958442, 14.035308 50.9584425, 14.0353294 50.9584298, 14.0354269 50.9583922)",,,yes,
"[896607293, 127714542, 127714543]","['2', '1']",,Wehlener Grund,residential,False,False,129.801,"LINESTRING (14.0354269 50.9583922, 14.0353294 50.9584298, 14.035308 50.9584425, 14.0351375 50.958442, 14.0341063 50.9584388, 14.0336027 50.9583977)",,,yes,
25415641,,,Rosenstraße,residential,True,False,123.52,"LINESTRING (14.0288113 50.9559926, 14.0305097 50.9562916)",,,,3
"[294008154, 47007356, 294008157, 77930167]",2,K 8710,Lohmener Straße,tertiary,False,True,196.82600000000002,"LINESTRING (14.0322432 50.9571364, 14.0322351 50.957167, 14.0322333 50.957213, 14.0323424 50.9575045, 14.0324063 50.9577315, 14.0324612 50.9579269, 14.0325138 50.9581139, 14.0325286 50.9581471, 14.0325697 50.9581863, 14.0326444 50.9582349, 14.0327087 50.9582503, 14.0333633 50.9583521, 14.0336027 50.9583977)",30,building_passage,,
"[30897219, 377779068]",,,Karl-Marx-Platz,tertiary,False,False,41.62,"LINESTRING (14.0322432 50.9571364, 14.0323204 50.9569861, 14.0325225 50.9568112)",,,,
"[147611859, 488514727]",,,Pirnaer Straße,residential,False,False,139.236,"LINESTRING (14.0322432 50.9571364, 14.0321625 50.9571189, 14.0321025 50.9571059, 14.0318202 50.9570479, 14.0315349 50.9569811, 14.0313497 50.9569435, 14.0311745 50.9569078, 14.0303886 50.9566893)",30,,,
897968943,,,Karl-Marx-Platz,tertiary,False,True,20.648,"LINESTRING (14.0327119 50.9566689, 14.0325225 50.9568112)",,,,
"[1156263906, 1099354829, 1204628941, 24349942, 1131140631]",,,Elbufer,residential,False,False,233.76099999999997,"LINESTRING (14.0327119 50.9566689, 14.0326373 50.9566087, 14.0325082 50.9564617, 14.0324795 50.9564369, 14.0324431 50.9564122, 14.0323663 50.9563717, 14.0323387 50.9563573, 14.0323059 50.9563397, 14.0322232 50.9562953, 14.0320443 50.9562019, 14.0318293 50.9560953, 14.0317282 50.9560584, 14.0316022 50.9560119, 14.0315609 50.9559969, 14.0315053 50.9559779, 14.031137 50.9558576, 14.0309745 50.9558069, 14.0307798 50.9557654, 14.0305097 50.9562916)","['50', '30']",,,3.8
