osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,width,junction
328712370,Kleine Straße,residential,False,True,124.53,"LINESTRING (11.4873908 52.8818529, 11.4874185 52.8817947, 11.487902 52.8807763)",,,,,
463758461,Friedensstraße,tertiary,False,False,130.43099999999998,"LINESTRING (11.4873908 52.8818529, 11.488582 52.882032, 11.489123 52.8821291, 11.489268 52.8821561)",30,,,,
463758461,Friedensstraße,tertiary,False,True,93.958,"LINESTRING (11.4873908 52.8818529, 11.4867137 52.8817489, 11.4860363 52.8816388)",30,,,,
5199382,Friedensstraße,secondary,False,False,173.54500000000002,"LINESTRING (11.489268 52.8821561, 11.4899352 52.8823363, 11.4908651 52.8825623, 11.4909058 52.8825731, 11.4914616 52.882718, 11.4916479 52.8827666)",50,2,L 1,,
27574974,Bahnhofstraße,secondary,False,False,114.09599999999998,"LINESTRING (11.489268 52.8821561, 11.4892913 52.8821149, 11.4895785 52.8816058, 11.4896471 52.8813747, 11.4896855 52.8812365, 11.4897035 52.8811675)",50,2,L 1,,
463758461,Friedensstraße,tertiary,False,True,130.431,"LINESTRING (11.489268 52.8821561, 11.489123 52.8821291, 11.488582 52.882032, 11.4873908 52.8818529)",30,,,,
"[1233498228, 37631478, 1233498231]",Töbelmannstraße,secondary,False,True,344.51,"LINESTRING (11.4960605 52.8851608, 11.4959284 52.8851011, 11.4956002 52.8849771, 11.4955428 52.8849545, 11.4950938 52.8847278, 11.4945239 52.8844181, 11.4940932 52.8841728, 11.493764 52.8839715, 11.4932582 52.8836631, 11.4929117 52.8834519, 11.4927381 52.8833439, 11.4924179 52.8831552, 11.492315 52.8830575)",50,2,L 1,,
127433076,Molkereistraße,residential,False,True,39.913,"LINESTRING (11.4960605 52.8851608, 11.4960648 52.8851148, 11.4960472 52.8849936, 11.4959803 52.8848067)",,,,,
37631479,,secondary,True,False,21.945,"LINESTRING (11.4921741 52.882955, 11.492198 52.882935, 11.4922317 52.882921, 11.4922711 52.8829145, 11.4923119 52.8829163, 11.4923493 52.8829262, 11.4923792 52.8829431, 11.492398 52.882965, 11.4924037 52.8829894)",50,1,,2,roundabout
129382964,,secondary,False,True,41.14,"LINESTRING (11.4921741 52.882955, 11.4920179 52.8828889, 11.4918595 52.8828297, 11.4916479 52.8827666)",50,2,L 1,,
37631479,,secondary,True,False,18.58,"LINESTRING (11.492315 52.8830575, 11.4922781 52.8830601, 11.4922417 52.8830558, 11.4922091 52.8830451, 11.4921835 52.8830289, 11.4921672 52.8830088, 11.4921619 52.8829907, 11.4921642 52.8829724, 11.4921741 52.882955)",50,1,,2,roundabout
"[1233498228, 37631478, 1233498231]",Töbelmannstraße,secondary,False,False,344.50999999999993,"LINESTRING (11.492315 52.8830575, 11.4924179 52.8831552, 11.4927381 52.8833439, 11.4929117 52.8834519, 11.4932582 52.8836631, 11.493764 52.8839715, 11.4940932 52.8841728, 11.4945239 52.8844181, 11.4950938 52.8847278, 11.4955428 52.8849545, 11.4956002 52.8849771, 11.4959284 52.8851011, 11.4960605 52.8851608)",50,2,L 1,,
27574974,Bahnhofstraße,secondary,False,True,85.72999999999999,"LINESTRING (11.4901216 52.8789712, 11.4901032 52.8790553, 11.4900275 52.8794425, 11.4899997 52.8795792, 11.4899631 52.8797362)",50,2,L 1,,
37631485,Alte Poststraße,residential,False,False,59.979,"LINESTRING (11.4901216 52.8789712, 11.4896766 52.878931, 11.4893672 52.8788999, 11.4892403 52.8788824)",50,,,,
37631485,Alte Poststraße,residential,False,True,59.979,"LINESTRING (11.4892403 52.8788824, 11.4893672 52.8788999, 11.4896766 52.878931, 11.4901216 52.8789712)",50,,,,
159821975,Feldstraße,residential,False,False,272.613,"LINESTRING (11.4892403 52.8788824, 11.4891629 52.8789429, 11.4890442 52.8790034, 11.4887025 52.8790815, 11.488229 52.8792063, 11.4881328 52.8792497, 11.488062 52.879286, 11.4879121 52.8793857, 11.4875951 52.8795938, 11.4869269 52.8799019, 11.4866451 52.880019, 11.4865184 52.8800935, 11.4864494 52.88018, 11.4863271 52.8804569)",,,,,
"[369182778, 249680780]",Alte Poststraße,residential,False,False,306.773,"LINESTRING (11.4892403 52.8788824, 11.4891336 52.8788525, 11.4881326 52.8785371, 11.4872679 52.8782968, 11.4857566 52.8779102, 11.4850643 52.8777684)",50,,,,
"[369182778, 249680780]",Alte Poststraße,residential,False,True,306.773,"LINESTRING (11.4850643 52.8777684, 11.4857566 52.8779102, 11.4872679 52.8782968, 11.4881326 52.8785371, 11.4891336 52.8788525, 11.4892403 52.8788824)",50,,,,
27574974,Bahnhofstraße,secondary,False,False,160.17000000000002,"LINESTRING (11.4897035 52.8811675, 11.4897154 52.8810686, 11.4897967 52.8804709, 11.4898039 52.8804403, 11.4898262 52.8803275, 11.4899288 52.8798718, 11.4899631 52.8797362)",50,2,L 1,,
27574974,Bahnhofstraße,secondary,False,True,114.09599999999999,"LINESTRING (11.4897035 52.8811675, 11.4896855 52.8812365, 11.4896471 52.8813747, 11.4895785 52.8816058, 11.4892913 52.8821149, 11.489268 52.8821561)",50,2,L 1,,
37631504,Dessauer Worth,residential,False,False,128.597,"LINESTRING (11.4897035 52.8811675, 11.4895807 52.881154, 11.4886838 52.8809517, 11.487902 52.8807763)",50,,,,
37631504,Dessauer Worth,residential,False,False,50.328,"LINESTRING (11.4863271 52.8804569, 11.4856731 52.8803529, 11.4856024 52.8803404)",50,,,,
37631504,Dessauer Worth,residential,False,True,111.512,"LINESTRING (11.4863271 52.8804569, 11.4868566 52.8805598, 11.4875676 52.8806999, 11.4878204 52.880758, 11.487902 52.8807763)",50,,,,
123209055,Am Markt,residential,False,True,133.41299999999998,"LINESTRING (11.4863271 52.8804569, 11.4862838 52.8805655, 11.4862162 52.8807348, 11.4861487 52.8809116, 11.48614 52.8809958, 11.486153 52.88112, 11.4861448 52.8811881, 11.4860536 52.8815763, 11.4860363 52.8816388)",,,,,
159821975,Feldstraße,residential,False,True,272.61300000000006,"LINESTRING (11.4863271 52.8804569, 11.4864494 52.88018, 11.4865184 52.8800935, 11.4866451 52.880019, 11.4869269 52.8799019, 11.4875951 52.8795938, 11.4879121 52.8793857, 11.488062 52.879286, 11.4881328 52.8792497, 11.488229 52.8792063, 11.4887025 52.8790815, 11.4890442 52.8790034, 11.4891629 52.8789429, 11.4892403 52.8788824)",,,,,
37631504,Dessauer Worth,residential,False,True,50.328,"LINESTRING (11.4856024 52.8803404, 11.4856731 52.8803529, 11.4863271 52.8804569)",50,,,,
338013499,Am Markt,residential,False,True,76.726,"LINESTRING (11.4852176 52.8815114, 11.485238 52.8814361, 11.4853456 52.8811013, 11.485442 52.8808349)",,,,,
1233498489,Friedensstraße,tertiary,False,False,56.762,"LINESTRING (11.4852176 52.8815114, 11.4853155 52.8815256, 11.4855611 52.8815611, 11.4856615 52.8815756, 11.4858971 52.8816108, 11.4860363 52.8816388)",30,2,,,
27574974,Bahnhofstraße,secondary,False,False,85.72999999999999,"LINESTRING (11.4899631 52.8797362, 11.4899997 52.8795792, 11.4900275 52.8794425, 11.4901032 52.8790553, 11.4901216 52.8789712)",50,2,L 1,,
27574974,Bahnhofstraße,secondary,False,True,160.17000000000002,"LINESTRING (11.4899631 52.8797362, 11.4899288 52.8798718, 11.4898262 52.8803275, 11.4898039 52.8804403, 11.4897967 52.8804709, 11.4897154 52.8810686, 11.4897035 52.8811675)",50,2,L 1,,
"[1100675083, 1100675084]",Osterburger Straße,residential,False,True,215.90200000000002,"LINESTRING (11.4899631 52.8797362, 11.4904357 52.8797617, 11.4907078 52.8797761, 11.4914019 52.8798133, 11.4917161 52.8798301, 11.4931679 52.8799078)","['50', '30']",,,,
37631479,,secondary,True,False,10.27,"LINESTRING (11.4924037 52.8829894, 11.4923965 52.8830121, 11.4923779 52.8830323, 11.4923498 52.8830479, 11.492315 52.8830575)",50,1,,2,roundabout
"[1233498222, 37637919]",Seehäuser Straße,residential,False,False,214.35000000000002,"LINESTRING (11.4924037 52.8829894, 11.492562 52.8829893, 11.4926754 52.8830037, 11.493208 52.8830898, 11.4934757 52.8831253, 11.4939975 52.8831716, 11.4943696 52.8831901, 11.4946615 52.8831983, 11.4955621 52.8831697)",50,2,,,
127433079,Breitenstein,residential,False,False,73.131,"LINESTRING (11.4972385 52.8832199, 11.497323 52.8825642)",30,,,,
37637919,Seehäuser Straße,residential,False,False,155.62,"LINESTRING (11.4972385 52.8832199, 11.4991033 52.8833506, 11.4995421 52.8833821)",50,2,,,
37637919,Seehäuser Straße,residential,False,True,105.968,"LINESTRING (11.4972385 52.8832199, 11.4967924 52.883195, 11.4963328 52.8831678, 11.4960399 52.8831593, 11.4956638 52.883165)",50,2,,,
37637919,Seehäuser Straße,residential,False,True,155.62,"LINESTRING (11.4995421 52.8833821, 11.4991033 52.8833506, 11.4972385 52.8832199)",50,2,,,
49158431,Am Birkenhain,residential,False,False,152.272,"LINESTRING (11.4995421 52.8833821, 11.4993784 52.8841741, 11.4993411 52.8842836, 11.4992531 52.8844456, 11.4991547 52.8845824, 11.4990624 52.8847107)",30,,,,
1100675084,Osterburger Straße,residential,False,False,233.04500000000002,"LINESTRING (11.4991575 52.8790019, 11.4971985 52.8796336, 11.4969908 52.8796894, 11.4967063 52.8797537, 11.4963922 52.8798049, 11.4960063 52.8798564)",30,,,,
70224164,Horning,residential,False,True,133.20600000000002,"LINESTRING (11.4856685 52.8828125, 11.48577 52.8824623, 11.4858054 52.8824003, 11.485903 52.8822298, 11.485941 52.8820647, 11.4860184 52.8817282, 11.4860363 52.8816388)",,,,3,
127433079,Breitenstein,residential,False,True,110.379,"LINESTRING (11.4960063 52.8798564, 11.49641 52.8808187)",30,,,,
1100675084,Osterburger Straße,residential,False,False,124.05199999999999,"LINESTRING (11.4960063 52.8798564, 11.4956654 52.8798935, 11.4953164 52.8799228, 11.4949882 52.8799323, 11.4941669 52.879931)",30,,,,
1100675084,Osterburger Straße,residential,False,True,233.04500000000002,"LINESTRING (11.4960063 52.8798564, 11.4963922 52.8798049, 11.4967063 52.8797537, 11.4969908 52.8796894, 11.4971985 52.8796336, 11.4991575 52.8790019)",30,,,,
"[127433073, 127433070]","['Hinter den Gärten', 'Südpromenade']",residential,False,False,247.39800000000002,"LINESTRING (11.4931679 52.8799078, 11.4927023 52.8808414, 11.4924706 52.8811536, 11.4926757 52.8812847, 11.4935412 52.8817912)",30,,,2,
"[1100675083, 1100675084]",Osterburger Straße,residential,False,False,215.90200000000002,"LINESTRING (11.4931679 52.8799078, 11.4917161 52.8798301, 11.4914019 52.8798133, 11.4907078 52.8797761, 11.4904357 52.8797617, 11.4899631 52.8797362)","['50', '30']",,,,
1100675084,Osterburger Straße,residential,False,True,67.091,"LINESTRING (11.4931679 52.8799078, 11.4933962 52.8799159, 11.4941669 52.879931)",30,,,,
127433066,Kastanienweg,residential,False,False,143.136,"LINESTRING (11.4941669 52.879931, 11.4942179 52.8800583, 11.494466 52.8804031, 11.4945416 52.880537, 11.4945928 52.8806808, 11.4947032 52.8811681)",30,,,,
1100675084,Osterburger Straße,residential,False,False,67.091,"LINESTRING (11.4941669 52.879931, 11.4933962 52.8799159, 11.4931679 52.8799078)",30,,,,
1100675084,Osterburger Straße,residential,False,True,124.052,"LINESTRING (11.4941669 52.879931, 11.4949882 52.8799323, 11.4953164 52.8799228, 11.4956654 52.8798935, 11.4960063 52.8798564)",30,,,,
127433067,Weinbergweg,residential,False,True,55.099999999999994,"LINESTRING (11.4989704 52.8805745, 11.4986201 52.8806436, 11.4983561 52.8806815, 11.498176 52.8806936)",,,,,
127433068,Amselweg,residential,False,False,204.883,"LINESTRING (11.4972847 52.8806803, 11.4982281 52.8824327)",,,,,
127433067,Weinbergweg,residential,False,False,59.829,"LINESTRING (11.4972847 52.8806803, 11.4976666 52.8806876, 11.498176 52.8806936)",,,,,
127433067,Weinbergweg,residential,False,True,61.157,"LINESTRING (11.4972847 52.8806803, 11.4971342 52.8806813, 11.4969933 52.8806954, 11.49641 52.8808187)",,,,,
127433067,Weinbergweg,residential,False,False,55.1,"LINESTRING (11.498176 52.8806936, 11.4983561 52.8806815, 11.4986201 52.8806436, 11.4989704 52.8805745)",,,,,
