osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,bridge,width
18327393,True,Lange Straße,living_street,False,58.578,"LINESTRING (9.5697852 54.5152861, 9.5694635 54.5157787)",,,,,
193149421,False,Lange Straße,living_street,True,8.329,"LINESTRING (9.5697852 54.5152861, 9.5698647 54.5152271)",,,,,
76565295,False,Königstraße,living_street,True,86.46199999999999,"LINESTRING (9.5697852 54.5152861, 9.5686896 54.5150206, 9.568541 54.5150013)",,,,,
"[17911938, 17911919]",False,Kleiner Baumhofsgang,living_street,False,153.04399999999998,"LINESTRING (9.5693982 54.5166938, 9.5697338 54.5166891, 9.569888 54.5166713, 9.570203 54.5166129, 9.5703426 54.5166098, 9.5707007 54.5166481, 9.5707835 54.5166569, 9.5709843 54.5166782, 9.5712751 54.5167217, 9.5715094 54.5167793, 9.5715027 54.5168957)",,,,,
165882238,True,Lange Straße,living_street,False,40.635999999999996,"LINESTRING (9.5693982 54.5166938, 9.5693382 54.5169464, 9.5692746 54.5170505)",,,,,
538467145,False,Gallberg,residential,True,93.52600000000001,"LINESTRING (9.5692746 54.5170505, 9.569489 54.5173385, 9.5695781 54.5174581, 9.569904 54.5178072)",30,,,,
196997470,False,Kattsund,residential,False,62.602000000000004,"LINESTRING (9.569904 54.5178072, 9.5697534 54.5178757, 9.5692322 54.5179099, 9.5689787 54.5178999)",50,,,,
538467126,False,Gallberg,residential,True,36.792,"LINESTRING (9.569904 54.5178072, 9.5701392 54.517977, 9.5702611 54.5180651)",30,,,,
538467145,False,Gallberg,residential,False,93.52600000000001,"LINESTRING (9.569904 54.5178072, 9.5695781 54.5174581, 9.569489 54.5173385, 9.5692746 54.5170505)",30,,,,
18327331,False,Gallberg,residential,True,72.303,"LINESTRING (9.5702611 54.5180651, 9.5705876 54.5185087, 9.5706587 54.5186714)",30,,,,
538467126,False,Gallberg,residential,False,36.792,"LINESTRING (9.5702611 54.5180651, 9.5701392 54.517977, 9.569904 54.5178072)",30,,,,
