osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,junction
37053382,,,Sandbergweg,residential,30,False,False,30.169999999999998,,"LINESTRING (10.3463558 48.8571714, 10.3462902 48.8571203, 10.3460204 48.8570189)",
37053382,,,Sandbergweg,residential,30,False,True,87.451,,"LINESTRING (10.3463558 48.8571714, 10.3465985 48.8570563, 10.3470932 48.8568216, 10.347247 48.856741, 10.3472962 48.8566917)",
47515269,,,Burgstallweg,residential,20,False,True,191.46899999999997,,"LINESTRING (10.3514988 48.8566625, 10.3517834 48.8566114, 10.3521093 48.856573, 10.3521438 48.8565689, 10.3522874 48.856552, 10.352509 48.8565387, 10.3529405 48.856567, 10.3532267 48.856643, 10.3533563 48.8566912, 10.3534355 48.8567207, 10.3534603 48.8567339, 10.3539068 48.8569707)",
47515270,,,Bahnhofweg,living_street,,False,True,46.774,,"LINESTRING (10.3514988 48.8566625, 10.3515895 48.8569094, 10.3516618 48.8570691)",
408839686,,,Am Stadtgraben,residential,20,False,False,76.102,,"LINESTRING (10.3514988 48.8566625, 10.3514241 48.8566675, 10.3513244 48.8566546, 10.35112 48.856597, 10.351033 48.8565907, 10.3509043 48.8566162, 10.3506986 48.8566958, 10.3505319 48.8567415)",
47515270,,,Bahnhofweg,living_street,,False,False,26.885,,"LINESTRING (10.3516996 48.8573096, 10.3516618 48.8570691)",
47515270,,,Bahnhofweg,living_street,,False,True,8.111,,"LINESTRING (10.3516996 48.8573096, 10.3516717 48.8573802)",
47515271,,,Kirchplatz,living_street,,False,False,25.435,,"LINESTRING (10.3516996 48.8573096, 10.3518071 48.8573216, 10.3520401 48.8573555)",
408250879,,,Bahnhofweg,living_street,,True,False,66.363,,"LINESTRING (10.351456 48.8579383, 10.3514583 48.8576466, 10.3515891 48.8575358, 10.3516717 48.8573802)",
408250881,,,Hauptstraße,living_street,,True,False,88.171,,"LINESTRING (10.351456 48.8579383, 10.3515034 48.8579382, 10.351872 48.8579247, 10.3520265 48.8578968, 10.3525163 48.8578047, 10.3526352 48.8578015)",
134497758,,,Kirchplatz,living_street,,False,False,13.137,,"LINESTRING (10.3520401 48.8573555, 10.3522186 48.8573426)",
254236262,,,Marktplatz,living_street,,False,False,24.511,,"LINESTRING (10.3520401 48.8573555, 10.3520346 48.8575759)",
47515271,,,Kirchplatz,living_street,,False,True,25.435,,"LINESTRING (10.3520401 48.8573555, 10.3518071 48.8573216, 10.3516996 48.8573096)",
"[281257771, 713284142]",,,"['Schmiedgasse', 'Bachgasse']",residential,20,False,"[False, True]",158.381,,"LINESTRING (10.3526352 48.8578015, 10.3525979 48.8578683, 10.3526374 48.858207, 10.3526623 48.8583606, 10.352689 48.8584756, 10.3527056 48.8585456, 10.3527024 48.8586156, 10.3526934 48.8586672, 10.3526705 48.8587416, 10.3526222 48.858823, 10.3525825 48.8588631, 10.3525653 48.8588805, 10.3524769 48.8589602, 10.3523999 48.8590162, 10.3522394 48.8591138)",
"[1108518368, 408250880]",,,Hauptstraße,residential,20,False,False,46.227000000000004,,"LINESTRING (10.3526352 48.8578015, 10.3526894 48.8577737, 10.3528835 48.8577175, 10.3530944 48.857653, 10.3531996 48.8576171)",
47515277,,,Hintere Pfarrgasse,residential,20,True,False,106.919,,"LINESTRING (10.3531996 48.8576171, 10.3530484 48.8573695, 10.3530842 48.857337, 10.3532411 48.8572572, 10.3534311 48.8571897, 10.353453 48.8571796, 10.3536575 48.8570855, 10.3537432 48.8570439, 10.3539068 48.8569707)",
408250880,,,Hauptstraße,residential,20,False,False,85.513,,"LINESTRING (10.3531996 48.8576171, 10.3537307 48.8574346, 10.3540511 48.8573095, 10.3542206 48.8572433)",
"[408250880, 1108518368]",,,Hauptstraße,residential,20,False,True,46.227,,"LINESTRING (10.3531996 48.8576171, 10.3530944 48.857653, 10.3528835 48.8577175, 10.3526894 48.8577737, 10.3526352 48.8578015)",
47515272,,,Hauptstraße,residential,20,True,False,55.119,,"LINESTRING (10.3504677 48.8593734, 10.3503461 48.8588842)",
79399336,,,Hauptstraße,residential,20,False,True,44.19799999999999,,"LINESTRING (10.3504677 48.8593734, 10.3504508 48.859459, 10.3503578 48.8596633, 10.3503584 48.8597612)",
437755642,,,Hauptstraße,residential,20,True,False,53.614000000000004,,"LINESTRING (10.3505668 48.8579907, 10.3506396 48.8579639, 10.3508054 48.857958, 10.3510716 48.8579486, 10.3512881 48.857941)",
79344097,,,Am Stadtgraben,residential,,False,True,157.686,,"LINESTRING (10.3486296 48.8589907, 10.3487593 48.8591591, 10.3488444 48.8592234, 10.3489904 48.8593199, 10.3492094 48.8594244, 10.349436 48.8595026, 10.3498427 48.8596257, 10.350257 48.8597493, 10.3503584 48.8597612)",
