osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,width,geometry,bridge
208687253,3,ANs 2,Schloßstraße,tertiary,50,False,True,8.205,,"LINESTRING (10.5770806 49.3035478, 10.5771203 49.3034787)",
23720532,,,Fischstraße,residential,,False,True,81.828,5.7,"LINESTRING (10.5770806 49.3035478, 10.5768077 49.3035133, 10.5766711 49.303496, 10.5763348 49.3035119, 10.5760415 49.303564, 10.5759757 49.3035801)",
54730285,2,ANs 2,Schloßstraße,tertiary,50,False,True,118.422,,"LINESTRING (10.5770806 49.3035478, 10.5770025 49.3036947, 10.5769707 49.303812, 10.5769868 49.303908, 10.577025 49.3040531, 10.577103 49.3042688, 10.5771334 49.3043568, 10.5772207 49.3045846)",
23681993,,,Alte Poststraße,living_street,,False,False,15.788,,"LINESTRING (10.5726485 49.3007437, 10.5726712 49.3006638, 10.5726882 49.3006041)",
"[315026963, 386687357]",2,,Promenade,tertiary,50,False,False,125.476,,"LINESTRING (10.5726485 49.3007437, 10.573628 49.300903, 10.5741853 49.3010276, 10.5743099 49.3010557)",
"[23646563, 386687358]","['2', '3']",,Promenade,tertiary,50,False,True,87.791,,"LINESTRING (10.5726485 49.3007437, 10.572417 49.3007171, 10.5722912 49.3007043, 10.5719563 49.3006849, 10.5717293 49.3006771, 10.5716641 49.3006755, 10.5714445 49.3006762)",
23720009,2,,Maximilianstraße,tertiary,50,False,True,81.564,,"LINESTRING (10.5715627 49.2999469, 10.571548 49.3000162, 10.5715184 49.3001921, 10.5714618 49.3005156, 10.571457 49.3005513, 10.5714445 49.3006762)",
414619598,,,Endresstraße,residential,20,True,False,145.25900000000001,4,"LINESTRING (10.5715627 49.2999469, 10.5714488 49.2999318, 10.5712447 49.2999028, 10.5709906 49.2998471, 10.570787 49.2997692, 10.5707159 49.299742, 10.5704147 49.2995163, 10.5699354 49.2992469)",
545697009,,,Maximilianstraße,tertiary,50,False,False,18.817,,"LINESTRING (10.5715627 49.2999469, 10.5715735 49.2998934, 10.5715939 49.2997789)",
205850428,,,Schöneckerstraße,residential,,False,False,10.853,,"LINESTRING (10.5689595 49.3048731, 10.5689477 49.3047758)",
23744648,,,Schöneckerstraße,residential,,False,True,312.927,,"LINESTRING (10.5689595 49.3048731, 10.5689656 49.3049705, 10.5689488 49.3050061, 10.5689337 49.3050379, 10.5688441 49.3050628, 10.568648 49.3050799, 10.5679398 49.305151, 10.567746 49.3051825, 10.5676824 49.3051935, 10.5676433 49.3052002, 10.5675612 49.3052341, 10.5674892 49.3052864, 10.5674586 49.3053352, 10.5674449 49.305395, 10.5674609 49.30548, 10.5676545 49.3060573, 10.5676853 49.3061469, 10.5679039 49.3067468, 10.5679254 49.3068063, 10.5679586 49.3068978)",
"[30241964, 129852103]",2,B 13,Residenzstraße,primary,50,True,False,210.347,,"LINESTRING (10.5689595 49.3048731, 10.5679678 49.3049366, 10.5672558 49.3050095, 10.5663676 49.3051606, 10.5663021 49.3051754, 10.5661165 49.305218)",
208687250,4,,Promenade,tertiary,50,False,True,10.697,,"LINESTRING (10.5773526 49.303101, 10.5773518 49.3030048)",
4054333,2,ANs 2,Schloßstraße,tertiary,50,False,False,30.947,,"LINESTRING (10.5773526 49.303101, 10.5772789 49.3032085, 10.5772459 49.3032627, 10.5771899 49.3033582)",
27253489,2,B 13,Residenzstraße,primary,50,True,False,39.456,,"LINESTRING (10.5773526 49.303101, 10.5770836 49.3031505, 10.5768351 49.3032099)",
"[1241665312, 315026961, 315026962, 1241665311]","['2', '3']",,Promenade,tertiary,50,False,False,156.547,,"LINESTRING (10.5743099 49.3010557, 10.5744575 49.3010971, 10.5745588 49.3011287, 10.5750951 49.3013235, 10.5754026 49.3014374, 10.5759367 49.301628, 10.5759917 49.3016481, 10.5762052 49.3017286)",
"[315026963, 386687357]",2,,Promenade,tertiary,50,False,True,125.476,,"LINESTRING (10.5743099 49.3010557, 10.5741853 49.3010276, 10.573628 49.300903, 10.5726485 49.3007437)",
30240200,3,,Promenade,tertiary,50,False,True,122.36099999999999,,"LINESTRING (10.57718 49.3026205, 10.5769637 49.3024038, 10.5767755 49.3022152, 10.5767375 49.3021771, 10.5766196 49.3020616, 10.5764069 49.301853, 10.5763768 49.3018235, 10.5762052 49.3017286)",
202139314,1,,,tertiary_link,50,True,False,60.379,,"LINESTRING (10.57718 49.3026205, 10.5774551 49.3028154, 10.5775077 49.3028507, 10.5776747 49.3029118, 10.577831 49.3029327)",
208687249,4,,Promenade,tertiary,50,False,False,44.681999999999995,,"LINESTRING (10.57718 49.3026205, 10.5772788 49.3027815, 10.5773074 49.3028566, 10.5773189 49.3028868, 10.577333 49.3029361, 10.5773518 49.3030048)",
23167559,2,,Promenade,residential,50,False,False,22.432000000000002,,"LINESTRING (10.5762052 49.3017286, 10.5762827 49.3016909, 10.5763236 49.3016685, 10.5763625 49.3016486, 10.5764542 49.3016092)",
30240200,3,,Promenade,tertiary,50,False,False,122.361,,"LINESTRING (10.5762052 49.3017286, 10.5763768 49.3018235, 10.5764069 49.301853, 10.5766196 49.3020616, 10.5767375 49.3021771, 10.5767755 49.3022152, 10.5769637 49.3024038, 10.57718 49.3026205)",
"[315026960, 199482425, 31768152]",3,,Johann-Sebastian-Bach-Platz,residential,,False,True,116.936,,"LINESTRING (10.5762052 49.3017286, 10.5760197 49.3018052, 10.5759812 49.301823, 10.5757129 49.3019433, 10.5754295 49.3020661, 10.5752266 49.3024142, 10.5751277 49.3024441)",
"[1241665312, 315026961, 315026962, 1241665311]","['2', '3']",,Promenade,tertiary,50,False,True,156.547,,"LINESTRING (10.5762052 49.3017286, 10.5759917 49.3016481, 10.5759367 49.301628, 10.5754026 49.3014374, 10.5750951 49.3013235, 10.5745588 49.3011287, 10.5744575 49.3010971, 10.5743099 49.3010557)",
"[23646563, 386687358]","['2', '3']",,Promenade,tertiary,50,False,False,87.791,,"LINESTRING (10.5714445 49.3006762, 10.5716641 49.3006755, 10.5717293 49.3006771, 10.5719563 49.3006849, 10.5722912 49.3007043, 10.572417 49.3007171, 10.5726485 49.3007437)",
23720009,2,,Maximilianstraße,tertiary,50,False,False,81.564,,"LINESTRING (10.5714445 49.3006762, 10.571457 49.3005513, 10.5714618 49.3005156, 10.5715184 49.3001921, 10.571548 49.3000162, 10.5715627 49.2999469)",
251829384,,,Schalkhäuser Straße,tertiary,50,False,False,196.15599999999998,,"LINESTRING (10.5714445 49.3006762, 10.5712704 49.3006766, 10.5712237 49.3006756, 10.5706044 49.3006435, 10.5705153 49.3006403, 10.570315 49.3006535, 10.5701541 49.3006939, 10.569944 49.300755, 10.5695676 49.3008863, 10.5690228 49.3009077, 10.5688256 49.3009149)",
27253478,2,ANs 2,Schloßstraße,tertiary,50,False,True,76.62,,"LINESTRING (10.5776828 49.3056472, 10.5775764 49.3055417, 10.5774853 49.3053463, 10.5773604 49.3049971)",
1147390417,,ANs 2,Urlasstraße,tertiary,50,False,False,52.761,,"LINESTRING (10.5776828 49.3056472, 10.5778372 49.305735, 10.5779854 49.3057953, 10.5781529 49.3058373, 10.5783198 49.3058533)",
183128360,2,,Maximilianstraße,tertiary,50,False,True,49.216,,"LINESTRING (10.5716882 49.2993415, 10.5716523 49.2994272, 10.5716456 49.2994604, 10.5715939 49.2997789)",
"[536658906, 183128362]","['2', '3']",,Maximilianstraße,tertiary,50,False,False,59.123000000000005,,"LINESTRING (10.5716882 49.2993415, 10.5718294 49.2992294, 10.5718527 49.2991765, 10.5719116 49.2990428, 10.5719988 49.2988589)",
209289195,,,Kasernendamm,primary_link,50,False,True,11.338,,"LINESTRING (10.5661165 49.305218, 10.5660613 49.3051226)",
23646366,,,Kasernendamm,residential,50,False,True,30.892000000000003,,"LINESTRING (10.5654508 49.3034063, 10.5654701 49.303507, 10.5654788 49.3035375, 10.5655224 49.30368)",
23682051,,,Würzburger Straße,residential,50,False,False,101.918,,"LINESTRING (10.5654508 49.3034063, 10.5655715 49.3033926, 10.5656558 49.3033783, 10.5662596 49.3033018, 10.566806 49.3031731)",
23657997,,,Fischstraße,living_street,,False,False,97.82400000000001,6,"LINESTRING (10.5753751 49.3050854, 10.575242 49.304616, 10.5751095 49.3042602, 10.5750975 49.3042248)",
148449857,2,,Brauhausstraße,residential,50,False,True,144.639,,"LINESTRING (10.5753751 49.3050854, 10.5762575 49.3050657, 10.5763179 49.3050643, 10.576897 49.3050513, 10.5771384 49.3050349, 10.5773604 49.3049971)",
