osmid,lanes,name,highway,maxspeed,access,oneway,reversed,length,width,geometry,bridge,ref
178085375,2,Wasserstraße,residential,50,delivery,False,True,25.12,,"LINESTRING (11.2900792 51.3630191, 11.2901699 51.3632378)",,
177301892,,Salzdamm,residential,30,delivery,False,False,84.913,4,"LINESTRING (11.2900792 51.3630191, 11.2901458 51.3630079, 11.2902267 51.3629834, 11.2903102 51.3629547, 11.2903951 51.3629163, 11.2904708 51.3628786, 11.2905117 51.3628583, 11.2908057 51.3627147, 11.2910748 51.3625833)",,
"[177326349, 177326411, 177326341]",2,"['Mühlwerder', 'Wasserstraße']",residential,50,delivery,False,False,70.05199999999999,,"LINESTRING (11.2900792 51.3630191, 11.2900422 51.3629386, 11.2898994 51.3626063, 11.2898168 51.3624108)",yes,
"[177285889, 177285890, 177285895, 177285887]",,"['Saline', 'Glinz']","['residential', 'living_street']",,delivery,False,True,410.43700000000007,4,"LINESTRING (11.2998733 51.3618887, 11.2996739 51.3615062, 11.299646 51.3614703, 11.2996007 51.3614166, 11.2995013 51.3613137, 11.2993731 51.36121, 11.2993045 51.36116, 11.2992211 51.3611077, 11.2986811 51.3608305, 11.2985711 51.3607742, 11.2985231 51.3607312, 11.2985124 51.3607, 11.2985008 51.3605868, 11.2984992 51.3605409, 11.2984875 51.3605164, 11.2981021 51.3602203, 11.2980149 51.3601533, 11.2979767 51.3601224, 11.2979277 51.3600829, 11.2978604 51.3600436, 11.2977683 51.3599965, 11.2976556 51.3599758, 11.2975522 51.3599757, 11.2968709 51.3600414, 11.2962343 51.3601028, 11.2961371 51.3601117, 11.2959541 51.3601305, 11.2958975 51.3601383, 11.2958034 51.3601638, 11.2957071 51.3601914)",,
"[177296067, 177296068]",,Glinz,residential,,delivery,False,False,177.781,,"LINESTRING (11.2998733 51.3618887, 11.2999349 51.3620122, 11.2999754 51.3620934, 11.3000613 51.362295, 11.3000648 51.3623324, 11.300055 51.3623687, 11.3000362 51.3623983, 11.2999759 51.3624572, 11.299889 51.3625069, 11.299783 51.3625479, 11.2996237 51.3625907, 11.2984806 51.3627863)",,
"[177285889, 177285890, 177285887, 177285895]",,"['Saline', 'Glinz']","['living_street', 'residential']",,delivery,False,False,410.43700000000007,4,"LINESTRING (11.2957071 51.3601914, 11.2958034 51.3601638, 11.2958975 51.3601383, 11.2959541 51.3601305, 11.2961371 51.3601117, 11.2962343 51.3601028, 11.2968709 51.3600414, 11.2975522 51.3599757, 11.2976556 51.3599758, 11.2977683 51.3599965, 11.2978604 51.3600436, 11.2979277 51.3600829, 11.2979767 51.3601224, 11.2980149 51.3601533, 11.2981021 51.3602203, 11.2984875 51.3605164, 11.2984992 51.3605409, 11.2985008 51.3605868, 11.2985124 51.3607, 11.2985231 51.3607312, 11.2985711 51.3607742, 11.2986811 51.3608305, 11.2992211 51.3611077, 11.2993045 51.36116, 11.2993731 51.36121, 11.2995013 51.3613137, 11.2996007 51.3614166, 11.299646 51.3614703, 11.2996739 51.3615062, 11.2998733 51.3618887)",,
177301879,,Salzdamm,residential,,delivery,False,True,22.201999999999998,4,"LINESTRING (11.2957071 51.3601914, 11.2956529 51.3602007, 11.2956155 51.3602169, 11.2955357 51.3602779, 11.2954714 51.3603189)",,
"[177316225, 177296137]",,Straße der Jugend,residential,30,delivery,False,True,234.931,"['5.5', '4.5']","LINESTRING (11.2957071 51.3601914, 11.2958521 51.3602153, 11.2959303 51.3602355, 11.2959963 51.3602548, 11.2960682 51.3602832, 11.2961172 51.3603064, 11.2961422 51.3603268, 11.296164 51.3603534, 11.2961757 51.360379, 11.2961924 51.3604278, 11.2962027 51.3604774, 11.2963706 51.3620261, 11.2963796 51.3620737, 11.2963914 51.3621201)",,
"[486416545, 177296125]",,Salinestraße,residential,,delivery,False,True,207.02499999999995,5.5,"LINESTRING (11.2963914 51.3621201, 11.2967804 51.3620629, 11.2974902 51.3619584, 11.2975972 51.3619543, 11.2977172 51.3619625, 11.2978433 51.3619903, 11.2979932 51.3620456, 11.2981279 51.362115, 11.2982049 51.3621829, 11.2982649 51.3622548, 11.2983231 51.3623511, 11.2984245 51.3626294, 11.2984806 51.3627863)",,
"[177296137, 177316225]",,Straße der Jugend,residential,30,delivery,False,False,234.93100000000007,"['4.5', '5.5']","LINESTRING (11.2963914 51.3621201, 11.2963796 51.3620737, 11.2963706 51.3620261, 11.2962027 51.3604774, 11.2961924 51.3604278, 11.2961757 51.360379, 11.296164 51.3603534, 11.2961422 51.3603268, 11.2961172 51.3603064, 11.2960682 51.3602832, 11.2959963 51.3602548, 11.2959303 51.3602355, 11.2958521 51.3602153, 11.2957071 51.3601914)",,
