osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,width
75999898,Mühlenstraße,residential,50,False,True,85.195,"LINESTRING (9.9233495 54.214031, 9.923463 54.2139377, 9.9235741 54.2138172, 9.9239485 54.2133513)",,,,
36156835,Hörn,residential,50,True,False,58.184,"LINESTRING (9.9308512 54.2117912, 9.930719 54.2120446, 9.9305044 54.2122704)",,,,
"[75999960, 75999833, 75999916]",Dorfstraße,secondary,30,False,True,183.661,"LINESTRING (9.9308512 54.2117912, 9.9309561 54.2117923, 9.9315791 54.211799, 9.9319537 54.2118299, 9.9324699 54.2119043, 9.932835 54.2119575, 9.9330289 54.2119896, 9.9331867 54.21202, 9.9333898 54.2120764, 9.9335597 54.212156)",L 298,yes,,
944455881,Dorfstraße,secondary,30,False,False,52.322,"LINESTRING (9.9308512 54.2117912, 9.9304459 54.2117745, 9.9302417 54.211759, 9.9300609 54.2117205)",L 298,,,
25404681,Dorfstraße,residential,50,False,False,159.406,"LINESTRING (9.9335597 54.212156, 9.9343069 54.2122597, 9.9344815 54.2122538, 9.9349621 54.2122377, 9.9352694 54.2122274, 9.9359855 54.2122678)",,,2,
"[75999960, 75999833, 75999916]",Dorfstraße,secondary,30,False,False,183.661,"LINESTRING (9.9335597 54.212156, 9.9333898 54.2120764, 9.9331867 54.21202, 9.9330289 54.2119896, 9.932835 54.2119575, 9.9324699 54.2119043, 9.9319537 54.2118299, 9.9315791 54.211799, 9.9309561 54.2117923, 9.9308512 54.2117912)",L 298,yes,,
"[75999892, 262596231]",Kieler Straße,secondary,"['50', '30']",False,True,173.591,"LINESTRING (9.9335597 54.212156, 9.9336805 54.212256, 9.9337989 54.2123955, 9.9339416 54.2126286, 9.9340396 54.2127599, 9.9341548 54.2128865, 9.9343852 54.2130595, 9.9346552 54.2132005, 9.935105 54.2133788)",L 298,,,
36156825,Uhlenbarg,residential,50,False,False,70.131,"LINESTRING (9.935105 54.2133788, 9.9350827 54.2136183, 9.935036 54.2137319, 9.9348777 54.2138633, 9.9348351 54.2139738)",,,,
"[75999892, 262596231]",Kieler Straße,secondary,"['50', '30']",False,False,173.591,"LINESTRING (9.935105 54.2133788, 9.9346552 54.2132005, 9.9343852 54.2130595, 9.9341548 54.2128865, 9.9340396 54.2127599, 9.9339416 54.2126286, 9.9337989 54.2123955, 9.9336805 54.212256, 9.9335597 54.212156)",L 298,,,
75999892,Kieler Straße,secondary,50,False,True,50.32,"LINESTRING (9.935105 54.2133788, 9.9354413 54.2135136, 9.9357338 54.2136424)",L 298,,,
75999892,Kieler Straße,secondary,50,False,False,50.32,"LINESTRING (9.9357338 54.2136424, 9.9354413 54.2135136, 9.935105 54.2133788)",L 298,,,
75999892,Kieler Straße,secondary,50,False,True,116.03599999999999,"LINESTRING (9.9357338 54.2136424, 9.9361953 54.2138709, 9.9364599 54.2140264, 9.9366953 54.2141954, 9.936802 54.2142841, 9.9368831 54.2143775, 9.9369204 54.2144103)",L 298,,,
944455880,Dorfstraße,secondary,30,False,True,18.612,"LINESTRING (9.929811 54.2116389, 9.9300609 54.2117205)",L 298,,,
"[25021936, 262596245]",Nortorfer Straße,secondary,"['50', '30']",False,False,272.75,"LINESTRING (9.929811 54.2116389, 9.9296643 54.2115794, 9.9295362 54.2115112, 9.9292363 54.2112895, 9.9287942 54.2109627, 9.9287412 54.2109304, 9.9283637 54.2107, 9.9283356 54.2106829, 9.9280998 54.2105389, 9.9279219 54.2104087, 9.9270743 54.2097882)",L 298,,,8
"[34747545, 75999898, 75999939]",Mühlenstraße,residential,50,False,False,396.36799999999994,"LINESTRING (9.929811 54.2116389, 9.9296839 54.211762, 9.9291491 54.211869, 9.9288192 54.2119264, 9.9278149 54.2120811, 9.9266879 54.2122164, 9.926347 54.2122217, 9.9258234 54.2122172, 9.925594 54.2122416, 9.9254728 54.2122547, 9.9254447 54.2122629, 9.9253809 54.2122962, 9.9250949 54.2124574, 9.9247284 54.2126868, 9.9244002 54.2128909)",,yes,,
59366545,An der Mühlenau,residential,30,False,False,129.708,"LINESTRING (9.9267199 54.2095432, 9.9250486 54.2101799)",,,,6
262596245,Nortorfer Straße,secondary,50,False,False,33.125,"LINESTRING (9.9267199 54.2095432, 9.9264025 54.2093102)",L 298,,,8
262596245,Nortorfer Straße,secondary,50,False,True,35.683,"LINESTRING (9.9267199 54.2095432, 9.9270743 54.2097882)",L 298,,,8
386996895,Nortorfer Straße,secondary,50,False,True,52.486,"LINESTRING (9.9245577 54.208005, 9.9250906 54.2083595)",L 298,,,
75999840,Bordesholmer Straße,residential,50,False,False,7.847,"LINESTRING (9.9359855 54.2122678, 9.9360821 54.2123101)",,,,
25404681,Dorfstraße,residential,50,False,True,159.40599999999998,"LINESTRING (9.9359855 54.2122678, 9.9352694 54.2122274, 9.9349621 54.2122377, 9.9344815 54.2122538, 9.9343069 54.2122597, 9.9335597 54.212156)",,,2,
944455880,Dorfstraße,secondary,30,False,False,18.612,"LINESTRING (9.9300609 54.2117205, 9.929811 54.2116389)",L 298,,,
944455881,Dorfstraße,secondary,30,False,True,52.322,"LINESTRING (9.9300609 54.2117205, 9.9302417 54.211759, 9.9304459 54.2117745, 9.9308512 54.2117912)",L 298,,,
36156837,Am Sportplatz,residential,30,False,False,33.082,"LINESTRING (9.9244002 54.2128909, 9.924007 54.2127021)",,,,
75999898,Mühlenstraße,residential,50,False,False,59.021,"LINESTRING (9.9244002 54.2128909, 9.9239485 54.2133513)",,,,
"[34747545, 75999898, 75999939]",Mühlenstraße,residential,50,False,True,396.36800000000005,"LINESTRING (9.9244002 54.2128909, 9.9247284 54.2126868, 9.9250949 54.2124574, 9.9253809 54.2122962, 9.9254447 54.2122629, 9.9254728 54.2122547, 9.925594 54.2122416, 9.9258234 54.2122172, 9.926347 54.2122217, 9.9266879 54.2122164, 9.9278149 54.2120811, 9.9288192 54.2119264, 9.9291491 54.211869, 9.9296839 54.211762, 9.929811 54.2116389)",,yes,,
75999898,Mühlenstraße,residential,50,False,True,59.021,"LINESTRING (9.9239485 54.2133513, 9.9244002 54.2128909)",,,,
