osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,junction,bridge
36130709,Bergstraße,residential,False,False,37.678,"LINESTRING (7.5355651 51.0808368, 7.535432 51.0808216, 7.5353935 51.0808237, 7.5353139 51.0808313, 7.5352276 51.0808623, 7.5350707 51.0809245)",,,,,,
292705216,Hauptstraße,primary,False,False,51.684999999999995,"LINESTRING (7.5355651 51.0808368, 7.5355307 51.0809243, 7.5355161 51.0810551, 7.5355216 51.0811795, 7.5355392 51.0812981)",2,B 256,50,,,
895167841,Hauptstraße,primary,False,True,135.981,"LINESTRING (7.5355651 51.0808368, 7.5356075 51.0807578, 7.5356509 51.0807071, 7.5357185 51.0806314, 7.5358013 51.0805653, 7.5358952 51.0805064, 7.5359897 51.0804603, 7.536105 51.080413, 7.5362538 51.0803655, 7.5364153 51.0803268, 7.536616 51.0802994, 7.5367953 51.0802847, 7.5371293 51.0802778)",2,B 256,50,,,
59848682,Talstraße,residential,False,True,327.9249999999999,"LINESTRING (7.5374232 51.084574, 7.537563 51.085005, 7.5376308 51.085262, 7.5376852 51.0854057, 7.5377703 51.0855397, 7.5379831 51.085883, 7.5381265 51.0861163, 7.5382308 51.0862964, 7.5382464 51.0863759, 7.538246 51.0864267, 7.5382378 51.0864847, 7.5382192 51.0865282, 7.5381832 51.0865913, 7.5381525 51.0866185, 7.5380857 51.0866361, 7.5379953 51.0866316, 7.537877 51.0866235, 7.5378186 51.0866198, 7.5377109 51.0866209, 7.5375764 51.0866433, 7.5374659 51.0866743, 7.5373917 51.0866992, 7.5372679 51.086749, 7.5371765 51.0867934, 7.5371129 51.0868379, 7.5370981 51.0868819, 7.5370921 51.0869261)",,,,3,,
25168428,Leppestraße,secondary,False,True,117.94699999999999,"LINESTRING (7.5293618 51.083092, 7.5296147 51.083147, 7.5301867 51.0832289, 7.5302806 51.0832417, 7.530716 51.0833059, 7.5308613 51.0833313, 7.5309948 51.083358)",2,L 97,50,,,
165231529,Leppestraße,secondary,False,False,49.501999999999995,"LINESTRING (7.5293618 51.083092, 7.529272 51.0830478, 7.5291797 51.0829798, 7.5290619 51.0828946, 7.5289649 51.0827345)",2,L 97,50,,,
895167835,Scharder Straße,tertiary,False,True,39.041,"LINESTRING (7.5293618 51.083092, 7.5292265 51.0832315, 7.5290092 51.0833604)",2,K 18,50,,,
135999793,,primary,True,False,16.58,"LINESTRING (7.5294515 51.0873044, 7.5294927 51.0873192, 7.5295257 51.0873407, 7.529548 51.087367, 7.5295579 51.0873961, 7.5295546 51.0874259)",1,,50,,roundabout,
"[267715610, 310001013, 379953822]",Hauptstraße,primary,False,True,439.787,"LINESTRING (7.5294515 51.0873044, 7.5294804 51.0872152, 7.5295758 51.0870253, 7.529609 51.0869443, 7.5296328 51.0868631, 7.5302937 51.085237, 7.5303336 51.0851387, 7.5304125 51.0849446, 7.5304821 51.0847731, 7.5306346 51.0843978, 7.5306528 51.0843529, 7.530771 51.084076, 7.530856 51.0838767, 7.5308998 51.08377, 7.5310265 51.0835521, 7.5310819 51.0834881)",2,B 256,50,,,
28348626,Am Krüenberg,secondary,False,False,483.071,"LINESTRING (7.5295546 51.0874259, 7.5296844 51.0874632, 7.5297601 51.087485, 7.5299262 51.0875327, 7.5309042 51.0878149, 7.5311306 51.0878802, 7.5312185 51.0879055, 7.5326951 51.088372, 7.5327778 51.0883946, 7.5328659 51.0884137, 7.5329433 51.0884262, 7.5330347 51.0884389, 7.5331101 51.0884465, 7.5331694 51.088451, 7.5332288 51.0884521, 7.5333168 51.0884492, 7.5334198 51.0884388, 7.5335147 51.0884261, 7.5335877 51.0884113, 7.5336571 51.0883937, 7.5337328 51.0883721, 7.5338094 51.0883477, 7.5338824 51.0883188, 7.5339536 51.0882836, 7.5340018 51.0882577, 7.5340481 51.0882273, 7.5341579 51.0881432, 7.5342201 51.088088, 7.5342732 51.0880192, 7.5343097 51.0879697, 7.5343425 51.0879054, 7.534363 51.0878473, 7.5343799 51.087788, 7.5344082 51.0876689, 7.5344374 51.0875806, 7.5344793 51.0875053, 7.5345014 51.0874721, 7.5345352 51.0874316, 7.5345892 51.0873794, 7.534701 51.0872967, 7.5347802 51.0872405, 7.5348498 51.0871988, 7.5349271 51.0871635)",2,,50,6,,
135999793,,primary,True,False,16.674,"LINESTRING (7.5295546 51.0874259, 7.5295383 51.087454, 7.5295101 51.0874783, 7.5294723 51.0874966, 7.5294279 51.0875077, 7.5293804 51.0875106)",1,,50,,roundabout,
135999793,,primary,True,False,23.622999999999998,"LINESTRING (7.5293804 51.0875106, 7.5293253 51.0875032, 7.529277 51.0874849, 7.5292409 51.0874577, 7.5292209 51.0874246, 7.5292192 51.0873892, 7.5292359 51.0873554)",1,,50,,roundabout,
895167834,Jahnstraße,residential,False,False,13.592,"LINESTRING (7.5290092 51.0833604, 7.5291024 51.0834677)",,,30,4,,
260214062,Scharder Straße,tertiary,False,True,82.021,"LINESTRING (7.5290092 51.0833604, 7.5288764 51.0834, 7.5287276 51.0834236, 7.52858 51.0834202, 7.5281308 51.0833309, 7.5280039 51.0833249, 7.5278786 51.0833402)",2,K 18,50,,,
895167835,Scharder Straße,tertiary,False,False,39.041,"LINESTRING (7.5290092 51.0833604, 7.5292265 51.0832315, 7.5293618 51.083092)",2,K 18,50,,,
