osmid,name,highway,oneway,reversed,length,geometry,maxspeed,access,bridge,width,junction
8493898,Füssener Straße,tertiary,False,False,145.034,"LINESTRING (10.9186297 47.7931926, 10.9185449 47.7930703, 10.9183529 47.7928066, 10.9181738 47.7925528, 10.9179917 47.7922882, 10.9177985 47.7920139)",,,,,
8493898,Füssener Straße,tertiary,False,True,174.75400000000002,"LINESTRING (10.9186297 47.7931926, 10.9187081 47.7933068, 10.9189279 47.793629, 10.9191774 47.7939633, 10.9197512 47.7945684)",,,,,
39772263,Kreuzbichlstraße,residential,False,False,301.4090000000001,"LINESTRING (10.9186297 47.7931926, 10.9185423 47.7932285, 10.9182392 47.7933291, 10.9178514 47.7934606, 10.9175634 47.7935397, 10.9174778 47.7935435, 10.9174246 47.7935159, 10.9173811 47.7934537, 10.9173569 47.7934147, 10.9173131 47.793344, 10.9171959 47.7931748, 10.9169865 47.7928102, 10.9168477 47.792578, 10.9167906 47.79245, 10.9167606 47.7923565, 10.9167797 47.792291, 10.9168205 47.7922087, 10.9168831 47.7921283, 10.9169329 47.7920794, 10.9170736 47.7920222, 10.9172594 47.7919344)",,,,,
8493898,Füssener Straße,tertiary,False,False,42.393,"LINESTRING (10.9202865 47.7952008, 10.9202112 47.7951155, 10.920017 47.7948654)",,,,,
8493899,Meierstraße,residential,False,True,137.339,"LINESTRING (10.9202865 47.7952008, 10.9204445 47.7951547, 10.9207099 47.7951064, 10.9209616 47.7950505, 10.9212357 47.7949919, 10.9213243 47.7949729, 10.9216303 47.7949214, 10.9220546 47.794874)",30,,,,
27711738,Obere Straße,tertiary,False,False,91.024,"LINESTRING (10.9202865 47.7952008, 10.9203887 47.7953326, 10.9204862 47.7954226, 10.9206735 47.7955856, 10.920763 47.7956788, 10.9208864 47.7958566, 10.9208916 47.7958628, 10.920916 47.7958977)",50,,,,
8493907,Schongauer Straße,secondary,False,True,5.801,"LINESTRING (10.9217019 47.7972817, 10.9216783 47.7973314)",50,,,,
27711738,Obere Straße,tertiary,False,True,51.37799999999999,"LINESTRING (10.9217019 47.7972817, 10.9215636 47.7971147, 10.9214689 47.7969892, 10.9214268 47.7969327, 10.9213822 47.7968727)",50,,,,
184056530,Schongauer Straße,secondary,False,False,93.01100000000001,"LINESTRING (10.9217019 47.7972817, 10.9217934 47.7972065, 10.9219443 47.7971317, 10.9226461 47.7968594, 10.9227126 47.7968069)",20,,,,
12477440,Poststraße,residential,False,False,124.293,"LINESTRING (10.9227126 47.7968069, 10.9232722 47.7966486, 10.9234965 47.7965738, 10.9236651 47.7965338, 10.9238469 47.796501, 10.9240774 47.7964593, 10.9241731 47.7964593, 10.9242765 47.7964712)",50,,,,
