osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref
689905808,2,Straße des Friedens,secondary,50,False,True,169.459,"LINESTRING (14.0008201 53.0128677, 14.0009314 53.0130567, 14.0012006 53.0135137, 14.0012292 53.0135617, 14.0013387 53.0137453, 14.0013844 53.0138706, 14.0013861 53.0139307, 14.0013876 53.0139852, 14.0013514 53.0141195, 14.0013018 53.0142055, 14.0011861 53.0143064)",,
177944037,2,Berliner Straße,residential,50,False,True,56.55800000000001,"LINESTRING (14.0001165 53.0159082, 13.9999953 53.0157008, 13.9998049 53.0154357)",,
438862768,2,Berliner Straße,residential,30,False,False,124.036,"LINESTRING (14.0001165 53.0159082, 14.0001789 53.0160271, 14.0004478 53.0165423, 14.0006846 53.01697)",,
"[1161164736, 169636832]",2,Klosterstraße,residential,30,False,True,182.43300000000002,"LINESTRING (14.0001165 53.0159082, 14.0003653 53.0158594, 14.0005636 53.0158371, 14.0006458 53.0158317, 14.0007731 53.0158234, 14.0014347 53.0158092, 14.0019064 53.0158175, 14.0021303 53.0158302, 14.0023618 53.0158494, 14.0025881 53.0158708, 14.0028152 53.0158976)",,
4750080,,Rosenstraße,residential,30,False,False,175.073,"LINESTRING (14.0006846 53.01697, 14.0024162 53.017147, 14.0032615 53.0172449)",,
438862768,2,Berliner Straße,residential,30,False,True,124.036,"LINESTRING (14.0006846 53.01697, 14.0004478 53.0165423, 14.0001789 53.0160271, 14.0001165 53.0159082)",,
"[1221508897, 1221508898, 296475478]",2,Berliner Straße,residential,30,False,False,233.12100000000004,"LINESTRING (14.0006846 53.01697, 14.000868 53.0174052, 14.0009128 53.0175114, 14.0012331 53.0182712, 14.0013311 53.0185223, 14.001415 53.0187589, 14.0014309 53.0188227, 14.0014395 53.0188468, 14.0014443 53.0188844, 14.0014679 53.019011)",,
4750089,,Kirchgasse,residential,30,False,False,151.506,"LINESTRING (14.0014679 53.019011, 14.0021256 53.0189389, 14.0027053 53.0188585, 14.0035303 53.0187334, 14.0036782 53.0187158)",,
"[1221508897, 1221508898, 296475478]",2,Berliner Straße,residential,30,False,True,233.12099999999998,"LINESTRING (14.0014679 53.019011, 14.0014443 53.0188844, 14.0014395 53.0188468, 14.0014309 53.0188227, 14.001415 53.0187589, 14.0013311 53.0185223, 14.0012331 53.0182712, 14.0009128 53.0175114, 14.000868 53.0174052, 14.0006846 53.01697)",,
"[438862769, 1220957783]",2,Berliner Straße,residential,30,False,False,151.321,"LINESTRING (14.0014679 53.019011, 14.0015235 53.0194173, 14.0016119 53.0198426, 14.0017344 53.0202268, 14.0017416 53.020248, 14.0017489 53.020269, 14.0017553 53.0203212, 14.0017429 53.0203584)",,
"[626461016, 1220015166, 1220015165, 4750094]","['2', '3']",Gartenstraße,tertiary,50,False,False,455.55699999999996,"LINESTRING (14.0004369 53.020573, 14.0004207 53.0204892, 14.0003925 53.0204379, 14.0003641 53.0203934, 14.0003392 53.020349, 14.0002571 53.0202025, 14.0001644 53.0200371, 14.0001388 53.0199914, 14.0001322 53.0199795, 13.9999872 53.019717, 13.9998986 53.0195567, 13.9998868 53.0195316, 13.9998323 53.0194153, 13.9997296 53.0191965, 13.9996331 53.0189383, 13.999567 53.0187616, 13.9995469 53.0187212, 13.9994438 53.0184325, 13.9993388 53.0181414, 13.9992918 53.0180113, 13.9992398 53.0178699, 13.9991528 53.0176341, 13.9991487 53.0176229, 13.9991416 53.0176036, 13.9989944 53.0171572, 13.9988429 53.0166981, 13.9988108 53.0166007)",,
"[244656115, 285659797, 285659798]",3,Prenzlauer Straße,residential,30,False,"[False, True]",91.86600000000001,"LINESTRING (14.0004369 53.020573, 14.0005624 53.0205581, 14.0006607 53.0205485, 14.0008706 53.0205084, 14.000978 53.0204878, 14.001586 53.020425, 14.0016748 53.0204019, 14.0017429 53.0203584)",,
377712877,2,Berliner Straße,secondary,50,False,False,24.513,"LINESTRING (13.9981366 53.0143836, 13.9984142 53.0145275)",,
485836695,,Bahnhofsplatz,residential,,False,True,33.234,"LINESTRING (13.9981366 53.0143836, 13.9979606 53.0146631)",,
"[833565018, 833565019, 4750077]",2,Berliner Straße,secondary,50,False,True,115.06899999999999,"LINESTRING (13.9981366 53.0143836, 13.9976922 53.0140727, 13.9972558 53.0137709, 13.9970106 53.0136013)",,
132093549,2,Berliner Straße,secondary,50,False,False,16.826,"LINESTRING (13.9984142 53.0145275, 13.9986015 53.0146285)",,
377712877,2,Berliner Straße,secondary,50,False,True,24.513,"LINESTRING (13.9984142 53.0145275, 13.9981366 53.0143836)",,
4750092,,Fischerstraße,residential,30,False,True,145.212,"LINESTRING (14.003861 53.019793, 14.0037444 53.0198248, 14.003533 53.0198892, 14.003339 53.019975, 14.0028332 53.0201978, 14.0023728 53.0204195, 14.0023162 53.0204482, 14.0021806 53.0204799, 14.0020518 53.0204752)",,
205112049,,Hoher Steinweg,residential,30,False,True,101.549,"LINESTRING (14.003861 53.019793, 14.003846 53.0197443, 14.0038424 53.0197324, 14.0037977 53.0195868, 14.0037059 53.0193108, 14.0036501 53.0189875, 14.0036502 53.0189749, 14.0036503 53.0189405, 14.0036864 53.0188954)",,
"[1220015160, 1042703061]",,Fischerstraße,residential,30,False,False,105.242,"LINESTRING (14.003861 53.019793, 14.0044232 53.0197045, 14.0046332 53.0196714, 14.0053831 53.0195533)",,
708520260,,Jägerstraße,residential,30,False,False,15.281,"LINESTRING (14.0056057 53.0195224, 14.0053831 53.0195533)",,
25685620,,Wasserstraße,residential,30,False,True,95.318,"LINESTRING (14.0056057 53.0195224, 14.0055725 53.0194654, 14.005422 53.0192067, 14.0053137 53.0190205, 14.0051693 53.0187722, 14.005135 53.0187133)",,
