osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,maxspeed,tunnel,ref,width,bridge
15041010,1,tertiary,roundabout,True,False,11.367,"LINESTRING (8.7168756 48.5474297, 8.7168231 48.5474034, 8.7167954 48.5473805, 8.7167765 48.547354)",,,,,,
49679338,1,tertiary,roundabout,True,False,27.723,"LINESTRING (8.7220895 48.5490269, 8.7220998 48.5490524, 8.7221007 48.549097, 8.7220807 48.5491396, 8.7220418 48.549176, 8.7219878 48.5492026, 8.7219241 48.549217)",,,,,,
4931552,2,tertiary,,False,False,72.13799999999999,"LINESTRING (8.725311 48.548242, 8.7254896 48.5482651, 8.7257518 48.5483093, 8.7260179 48.5483541, 8.7261419 48.5483743, 8.726265 48.5483894)",Grafenwiesenstraße,30,,,,
49679339,,tertiary,roundabout,True,False,28.374,"LINESTRING (8.725311 48.548242, 8.7252995 48.5482838, 8.7252693 48.5483214, 8.7252233 48.5483511, 8.7251659 48.5483701, 8.7251024 48.5483767, 8.7250389 48.5483702)",,30,,,,
"[23591488, 618799681, 156813068, 1057720989]",,"['residential', 'living_street']",,False,True,333.154,"LINESTRING (8.7274151 48.548844, 8.7272254 48.5489601, 8.7271808 48.548986, 8.7268055 48.5492039, 8.7265879 48.5493201, 8.726095 48.5495784, 8.7258448 48.5497102, 8.7258199 48.5497233, 8.7256567 48.5498094, 8.7251192 48.5500527, 8.724581 48.5502908, 8.7243038 48.5504559, 8.7241384 48.550546, 8.7239381 48.550651, 8.7238437 48.5506722)","['Haiterbacher Straße', 'Marktstraße']",30,,,,
172225835,1,primary,roundabout,True,False,25.262999999999998,"LINESTRING (8.7274151 48.548844, 8.727379 48.5488221, 8.7273525 48.5487948, 8.7273373 48.5487639, 8.7273345 48.5487315, 8.7273441 48.5486997, 8.7273656 48.5486705, 8.7273976 48.5486459)",,50,,,,
"[23456508, 23348620, 884027311]",2,primary,,False,False,273.326,"LINESTRING (8.7288609 48.5510796, 8.7284553 48.5508141, 8.7281692 48.5504161, 8.7280257 48.5500851, 8.7280527 48.5496387, 8.7279571 48.5493133, 8.7277665 48.5489901, 8.7277224 48.548927, 8.7276358 48.5488443)",Wolfsbergtunnel,,yes,B 463,,
23364740,1,primary,,True,False,20.119,"LINESTRING (8.7288609 48.5510796, 8.7289549 48.5511314, 8.729073 48.5511937)",,50,,B 463,,
64009910,1,primary,roundabout,True,False,13.356,"LINESTRING (8.7289791 48.5514391, 8.7289349 48.5514118, 8.7289046 48.5513771, 8.7288911 48.5513381)",,50,,,,
64009910,1,primary,roundabout,True,False,11.461,"LINESTRING (8.7291279 48.5514608, 8.729076 48.5514621, 8.7290253 48.5514547, 8.7289791 48.5514391)",,50,,,,
"[1061169784, 618593645]",1,primary,,True,False,20.201999999999998,"LINESTRING (8.7291279 48.5514608, 8.7290795 48.5515185, 8.7290328 48.551554, 8.7289529 48.5515977)",,,,B 463,,
618593647,1,primary,,True,False,28.435000000000002,"LINESTRING (8.7295193 48.551131, 8.7293968 48.5512258, 8.7292973 48.551339)",Herrenberger Straße,50,,L 362a,,
64009910,1,primary,roundabout,True,False,4.314,"LINESTRING (8.7291491 48.5511979, 8.7292027 48.5512136)",,50,,,,
"[23793908, 165759625, 708999252]",,residential,,False,False,172.303,"LINESTRING (8.7291491 48.5511979, 8.7291716 48.5511343, 8.7293935 48.5510065, 8.729479 48.5509573, 8.7296446 48.5508441, 8.7297639 48.5507489, 8.7298002 48.5506571, 8.7297866 48.5505517, 8.729707 48.5504193, 8.729541 48.5502416, 8.7294728 48.5501558, 8.7294455 48.55007, 8.7294705 48.5499857, 8.7295637 48.5498939)",Vogelsangweg,30,,,,
64009910,1,primary,roundabout,True,False,19.73,"LINESTRING (8.7292973 48.551339, 8.7292808 48.551382, 8.7292441 48.5514192, 8.7291912 48.5514464, 8.7291279 48.5514608)",,50,,,,
172225835,1,primary,roundabout,True,False,18.259999999999998,"LINESTRING (8.7277068 48.5486985, 8.7277153 48.5487213, 8.7277174 48.5487447, 8.7277129 48.548768, 8.7277021 48.5487903, 8.7276852 48.5488109, 8.7276628 48.5488291, 8.7276358 48.5488443)",,50,,,,
883819127,,primary,,False,False,14.239999999999998,"LINESTRING (8.7277068 48.5486985, 8.7277784 48.5486731, 8.7278774 48.5486381)",Haiterbacher Straße,30,,B 463,,
23591415,,living_street,,True,False,11.742,"LINESTRING (8.7219241 48.549217, 8.7218742 48.5493173)",Freudenstädter Straße,,,,,
49679338,1,tertiary,roundabout,True,False,8.522,"LINESTRING (8.7219241 48.549217, 8.7218662 48.5492183, 8.7218099 48.5492095)",,,,,,
160531444,,tertiary,,True,False,24.61,"LINESTRING (8.7217026 48.5490035, 8.7215535 48.5488054)",Freudenstädter Straße,30,,,,
49679338,1,tertiary,roundabout,True,False,8.615,"LINESTRING (8.7217026 48.5490035, 8.7217391 48.5489732, 8.7217866 48.5489506)",,,,,,
"[11969483, 618515355]",3,residential,,False,False,55.105999999999995,"LINESTRING (8.7267112 48.5540188, 8.7268172 48.5542106, 8.7268929 48.5543392, 8.7269128 48.5543575, 8.7269837 48.5544225, 8.7270571 48.5544367)",Bahnhofstraße,50,,,,
57865606,,residential,,False,True,54.660000000000004,"LINESTRING (8.7267112 48.5540188, 8.7266525 48.5539337, 8.7263278 48.5535987)",Bahnhofstraße,30,,,,
"[328130155, 328130156]",3,primary,,False,True,135.372,"LINESTRING (8.7267112 48.5540188, 8.726616 48.5540337, 8.7259987 48.5541306, 8.7255958 48.5541862, 8.7252715 48.554231, 8.7249146 48.5542789)",Lange Straße,30,,B 463,,
"[15799522, 5176627, 328130158]","['3', '1']",primary,,False,False,252.138,"LINESTRING (8.7267112 48.5540188, 8.7268717 48.5539767, 8.7270343 48.5539204, 8.7271961 48.5538235, 8.7272935 48.5536957, 8.727465 48.5532215, 8.7275726 48.5530779, 8.7278271 48.5528704, 8.7280765 48.5526671, 8.7283601 48.5523376, 8.7284824 48.552168)","['Eisbergtunnel', 'Lange Straße']",50,yes,B 463,,
23585474,3,primary,,False,False,70.067,"LINESTRING (8.7239741 48.5543765, 8.7249146 48.5542789)",Lange Straße,30,,B 463,,
5231528,,residential,,False,False,177.72000000000003,"LINESTRING (8.7239741 48.5543765, 8.7238907 48.5541246, 8.72373 48.5536396, 8.7237002 48.5535497, 8.7236252 48.5532838, 8.7236174 48.5532561, 8.7235988 48.5531833, 8.7235573 48.5530211, 8.7235525 48.5530025, 8.7235031 48.5528093)",Calwer Straße,30,,,,
"[329525984, 329525986]",,residential,,False,True,59.309,"LINESTRING (8.7239741 48.5543765, 8.7235407 48.5544406, 8.7233499 48.5544688, 8.7231878 48.5544932)",Lange Straße,30,,,,
27352114,,living_street,,False,False,34.638,"LINESTRING (8.7235031 48.5528093, 8.7230445 48.5528792)",Burgstraße,,,,,
5231528,,residential,,False,True,177.72000000000003,"LINESTRING (8.7235031 48.5528093, 8.7235525 48.5530025, 8.7235573 48.5530211, 8.7235988 48.5531833, 8.7236174 48.5532561, 8.7236252 48.5532838, 8.7237002 48.5535497, 8.72373 48.5536396, 8.7238907 48.5541246, 8.7239741 48.5543765)",Calwer Straße,30,,,,
23591489,,living_street,,False,False,40.544,"LINESTRING (8.7235031 48.5528093, 8.7234342 48.5526353, 8.7233676 48.5524559)",Marktstraße,,,,,
"[11003264, 463936140, 23591527]",,"['living_street', 'residential']",,False,True,120.08,"LINESTRING (8.7235031 48.5528093, 8.7240873 48.5527225, 8.7243502 48.552687, 8.7244445 48.5526698, 8.724553 48.5526538, 8.724825 48.5526041, 8.7249193 48.5526145, 8.7249619 48.5526353, 8.7250112 48.5526595, 8.7250474 48.5526939)","['Burgstraße', 'Gerichtsplatz']",30,,,5.5,
23794896,,residential,,False,False,76.278,"LINESTRING (8.7221784 48.5546487, 8.7231878 48.5544932)",Lange Straße,30,,,,
688935617,,residential,,False,True,91.151,"LINESTRING (8.7221784 48.5546487, 8.7219659 48.5546568, 8.7219494 48.5545658, 8.7217314 48.5539966)",Unterm Wehr,30,,,,
974497128,2,secondary,,False,True,12.501,"LINESTRING (8.7299331 48.5476122, 8.7299091 48.5477235)",,70,,L 362,,
974497127,,residential,,True,False,17.437,"LINESTRING (8.7301163 48.547648, 8.7300194 48.5476838, 8.7299622 48.5477008, 8.7299091 48.5477235)",Vollmaringer Weg,30,,,,
23585474,3,primary,,False,True,70.067,"LINESTRING (8.7249146 48.5542789, 8.7239741 48.5543765)",Lange Straße,30,,B 463,,
15799416,,residential,,False,True,177.644,"LINESTRING (8.7249146 48.5542789, 8.724872 48.5540082, 8.7248643 48.5534886, 8.7249118 48.5530987, 8.7250474 48.5526939)",Emminger Straße,30,,,,
"[328130155, 328130156]",3,primary,,False,False,135.372,"LINESTRING (8.7249146 48.5542789, 8.7252715 48.554231, 8.7255958 48.5541862, 8.7259987 48.5541306, 8.726616 48.5540337, 8.7267112 48.5540188)",Lange Straße,30,,B 463,,
"[11003264, 463936140, 23591527]",,"['living_street', 'residential']",,False,False,120.08,"LINESTRING (8.7250474 48.5526939, 8.7250112 48.5526595, 8.7249619 48.5526353, 8.7249193 48.5526145, 8.724825 48.5526041, 8.724553 48.5526538, 8.7244445 48.5526698, 8.7243502 48.552687, 8.7240873 48.5527225, 8.7235031 48.5528093)","['Burgstraße', 'Gerichtsplatz']",30,,,5.5,
11003264,,living_street,,False,True,23.195,"LINESTRING (8.7250474 48.5526939, 8.7251803 48.552717, 8.7252608 48.5527083, 8.7253487 48.5526825)",Gerichtsplatz,,,,5.5,
