osmid,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,bridge
24014883,secondary,roundabout,True,False,21.865000000000002,"LINESTRING (7.6559407 49.7850887, 7.6558918 49.7850975, 7.6558411 49.7850953, 7.6557944 49.7850826, 7.6557568 49.7850606, 7.6557324 49.7850318, 7.6557241 49.7849995)",,,,,
26172508,secondary,,False,False,65.203,"LINESTRING (7.6559407 49.7850887, 7.6560181 49.7851658, 7.6561121 49.7852484, 7.6562292 49.7853745, 7.6563771 49.7856001)",L 233,Steinhardter Straße,50,,
52520320,secondary,,True,False,22.162,"LINESTRING (7.6557241 49.7849995, 7.6556793 49.7849672, 7.6556389 49.7849482, 7.655559 49.7849176, 7.6554973 49.7848679)",L 232,Poststraße,40,,
619171529,secondary,roundabout,True,False,12.466000000000001,"LINESTRING (7.6557241 49.7849995, 7.6557359 49.7849621, 7.6557645 49.7849332, 7.6558144 49.7849101)",,,,,
102147307,secondary,roundabout,True,False,18.695,"LINESTRING (7.6560027 49.7849453, 7.6560237 49.784976, 7.6560275 49.7850096, 7.6560135 49.785042, 7.6559834 49.7850694, 7.6559407 49.7850887)",,,,,
863553318,secondary,,False,True,86.16199999999999,"LINESTRING (7.6560027 49.7849453, 7.6560735 49.7849313, 7.6561307 49.7849254, 7.6561883 49.7849282, 7.6563442 49.7849447, 7.656759 49.7850067, 7.6569968 49.7850263, 7.6570816 49.7850246, 7.6571811 49.7850099)",L 232,Staudernheimer Straße,50,,
516474158,residential,,False,True,33.048,"LINESTRING (7.6564857 49.7809258, 7.6564172 49.7812197)",,Felkestraße,,,
516474158,residential,,False,False,107.241,"LINESTRING (7.6564857 49.7809258, 7.6566151 49.7801046, 7.6565994 49.7800347, 7.6566336 49.77997)",,Felkestraße,,,
335241188,residential,,False,True,86.715,"LINESTRING (7.6566336 49.77997, 7.656445 49.7799913, 7.6554308 49.780033)",,Louvresstraße,,,
516474158,residential,,False,True,107.241,"LINESTRING (7.6566336 49.77997, 7.6565994 49.7800347, 7.6566151 49.7801046, 7.6564857 49.7809258)",,Felkestraße,,,
24015173,residential,,False,False,62.825,"LINESTRING (7.6525373 49.7805066, 7.6524014 49.780771, 7.6522953 49.7810491)",,Nahestraße,,,
