osmid,oneway,name,highway,maxspeed,width,reversed,length,geometry,lanes,ref,bridge,tunnel,junction
8021016,True,Seilerbahn,residential,30,5,False,128.868,"LINESTRING (8.0657375 50.3920062, 8.0658618 50.3919913, 8.0661684 50.3919284, 8.067445 50.3916127)",,,,,
61010158,False,Westerwaldstraße,tertiary,50,,True,63.215,"LINESTRING (8.0657375 50.3920062, 8.0657035 50.3919649, 8.065648 50.3918773, 8.0656327 50.3918482, 8.0655607 50.3917383, 8.065457 50.3915802, 8.0653853 50.3914843)",2,K 470,,,
"[801222283, 8032996]",True,Frankfurter Straße,primary,40,,False,129.512,"LINESTRING (8.0690681 50.3845217, 8.0689378 50.3846245, 8.0688285 50.3846958, 8.0687181 50.3847569, 8.0686006 50.3848126, 8.068477 50.3848624, 8.0683478 50.3849062, 8.0682138 50.3849437, 8.0680757 50.3849746, 8.0679344 50.3849988, 8.0677907 50.3850161, 8.0676453 50.3850265, 8.0674991 50.3850299)","['2', '3']",B 8;B 417,,,
8090174,True,Frankfurter Straße,secondary,50,,False,29.14,"LINESTRING (8.0674991 50.3850299, 8.0674008 50.385049, 8.0673072 50.385076, 8.0672198 50.3851105, 8.0671401 50.3851518)",,,,,
51998157,True,,primary,40,,False,33.777,"LINESTRING (8.0674991 50.3850299, 8.0673403 50.3850308, 8.0671819 50.385024, 8.0670247 50.3850095)",2,B 8;B 417,,,
"[553951352, 51939372]",True,,primary,40,,False,102.37100000000001,"LINESTRING (8.0603069 50.3859847, 8.0600506 50.3861959, 8.0598561 50.386359, 8.0597245 50.386463, 8.0595733 50.3865651, 8.0595272 50.3865963, 8.0593963 50.3866983)","['4', '3']",B 8;B 417,,,
"[26214268, 536115414]",True,Schiede,primary,40,,False,86.984,"LINESTRING (8.0593113 50.3883047, 8.0594185 50.388545, 8.0594827 50.3886512, 8.0596217 50.3888811, 8.0596547 50.3889357, 8.0597189 50.3890418)","['2', '3']",B 8;B 54,,,
"[566441974, 566441975]",True,Josef-Ludwig-Straße,residential,30,,False,80.059,"LINESTRING (8.0593113 50.3883047, 8.05943 50.3883125, 8.0595086 50.3883109, 8.0595876 50.3883018, 8.0598195 50.3882508, 8.059899 50.3882327, 8.0603914 50.3881236)",,,,,
51997646,True,Schiede,primary,40,,False,144.376,"LINESTRING (8.0592107 50.3883737, 8.059153 50.3881713, 8.0591485 50.3881554, 8.0590422 50.3877104, 8.0590031 50.3874334, 8.0590139 50.3870852)",2,B 8;B 54,,,
23564433,True,Im Hahlgarten,residential,30,,False,41.524,"LINESTRING (8.0590139 50.3870852, 8.0584397 50.3870116)",1,,,,
51997646,True,Schiede,primary,40,,False,14.384,"LINESTRING (8.0590139 50.3870852, 8.0590385 50.3869568)",2,B 8;B 54,,,
8090159,False,Diezer Straße,primary,,,True,13.825,"LINESTRING (8.059237 50.3866266, 8.0593963 50.3866983)",4,B 417,,,
26214276,True,,primary,40,,False,92.915,"LINESTRING (8.059237 50.3866266, 8.0592732 50.3865977, 8.0593907 50.3865188, 8.0595931 50.3863898, 8.0597623 50.3862796, 8.0600089 50.386104, 8.0601281 50.3860145)",2,B 8;B 417,,,
155240592,False,Diezer Straße,primary,50,,False,24.445,"LINESTRING (8.059237 50.3866266, 8.0591313 50.3865843, 8.0590499 50.3865371, 8.0589686 50.3864899)",4,B 417,,,
34239687,True,Weiersteinstraße,residential,50,,False,30.299000000000003,"LINESTRING (8.0601281 50.3860145, 8.060153 50.385934, 8.0601587 50.3858909, 8.0601573 50.3858608, 8.0601424 50.3858037, 8.060138 50.3857674, 8.0601408 50.3857447)",,,,,
248046983,True,,primary,40,,False,27.126,"LINESTRING (8.0601281 50.3860145, 8.0602542 50.3859152, 8.0603774 50.3858296)",2,B 8;B 417,,,
232364311,True,Im Schlenkert,residential,50,,False,44.454,"LINESTRING (8.0675694 50.3849581, 8.0676273 50.3849443, 8.0676807 50.3849267, 8.0677266 50.3849021, 8.0677628 50.3848716, 8.0677875 50.3848367, 8.0677994 50.3847992, 8.0677979 50.3847609, 8.0677832 50.3847238, 8.0677621 50.3846961, 8.0677337 50.3846712, 8.0676987 50.3846499)",1,,,,
