osmid,lanes,highway,oneway,reversed,length,geometry,ref,maxspeed,name
150550842,2,tertiary,False,True,18.333,"LINESTRING (11.7025231 50.4936378, 11.7024339 50.4937926)",,,
150550800,2,tertiary,False,True,38.902,"LINESTRING (11.7025231 50.4936378, 11.7028718 50.4938371, 11.7028933 50.4938869)",,,
150550842,2,tertiary,False,False,18.333,"LINESTRING (11.7024339 50.4937926, 11.7025231 50.4936378)",,,
508044109,2,secondary,False,True,34.147,"LINESTRING (11.7024339 50.4937926, 11.7028933 50.4938869)",L 1095,70,
508044109,2,secondary,False,False,34.147,"LINESTRING (11.7028933 50.4938869, 11.7024339 50.4937926)",L 1095,70,
"[150550763, 150550759]",2,secondary,False,True,299.67099999999994,"LINESTRING (11.7028933 50.4938869, 11.7030863 50.4939432, 11.703402 50.4940451, 11.7036646 50.4941482, 11.7039788 50.4942777, 11.7056335 50.4950147, 11.7057838 50.4950761, 11.7060299 50.4951658, 11.7062303 50.4952296, 11.7064918 50.4952947)",L 1095,"['100', '70']",
150550800,2,tertiary,False,False,38.902,"LINESTRING (11.7028933 50.4938869, 11.7028718 50.4938371, 11.7025231 50.4936378)",,,
"[150550763, 150550759]",2,secondary,False,False,299.67100000000005,"LINESTRING (11.7064918 50.4952947, 11.7062303 50.4952296, 11.7060299 50.4951658, 11.7057838 50.4950761, 11.7056335 50.4950147, 11.7039788 50.4942777, 11.7036646 50.4941482, 11.703402 50.4940451, 11.7030863 50.4939432, 11.7028933 50.4938869)",L 1095,"['100', '70']",
150550759,2,secondary,False,True,321.319,"LINESTRING (11.7064918 50.4952947, 11.7066885 50.4953308, 11.7070162 50.4953801, 11.707339 50.4954203, 11.7076997 50.4954676, 11.708166 50.495538, 11.7085123 50.4955992, 11.7088086 50.4956525, 11.7091109 50.4957127, 11.7097525 50.4958406, 11.7105356 50.4960038, 11.7108604 50.4960761)",L 1095,100,
150550885,,residential,False,False,779.5939999999999,"LINESTRING (11.7064918 50.4952947, 11.7066623 50.4949971, 11.7073496 50.4940864, 11.7078386 50.4935272, 11.7081122 50.4932939, 11.7083509 50.4931235, 11.708834 50.4928717, 11.7089563 50.4928383, 11.7091018 50.4928272, 11.7092765 50.4928532, 11.709533 50.4929347, 11.7099285 50.4930605, 11.7102987 50.4932002, 11.7103185 50.4932198, 11.7104233 50.4933013, 11.7108482 50.4938271, 11.7110287 50.4941938, 11.7112965 50.4947233, 11.7114129 50.4951418, 11.7114129 50.4953122, 11.7112965 50.4955084, 11.7110023 50.4958582, 11.7108604 50.4960761)",,,
150550759,2,secondary,False,False,321.319,"LINESTRING (11.7108604 50.4960761, 11.7105356 50.4960038, 11.7097525 50.4958406, 11.7091109 50.4957127, 11.7088086 50.4956525, 11.7085123 50.4955992, 11.708166 50.495538, 11.7076997 50.4954676, 11.707339 50.4954203, 11.7070162 50.4953801, 11.7066885 50.4953308, 11.7064918 50.4952947)",L 1095,100,
150550885,,residential,False,True,779.5939999999999,"LINESTRING (11.7108604 50.4960761, 11.7110023 50.4958582, 11.7112965 50.4955084, 11.7114129 50.4953122, 11.7114129 50.4951418, 11.7112965 50.4947233, 11.7110287 50.4941938, 11.7108482 50.4938271, 11.7104233 50.4933013, 11.7103185 50.4932198, 11.7102987 50.4932002, 11.7099285 50.4930605, 11.709533 50.4929347, 11.7092765 50.4928532, 11.7091018 50.4928272, 11.7089563 50.4928383, 11.708834 50.4928717, 11.7083509 50.4931235, 11.7081122 50.4932939, 11.7078386 50.4935272, 11.7073496 50.4940864, 11.7066623 50.4949971, 11.7064918 50.4952947)",,,
"[156781556, 150550759]",2,secondary,False,"[False, True]",251.765,"LINESTRING (11.7108604 50.4960761, 11.7111426 50.4961517, 11.7113966 50.4962317, 11.7117085 50.496343, 11.7121716 50.4965055, 11.7128404 50.496694, 11.7140173 50.4971169)",L 1095,"['50', '100']",Pöritzsch
"[156781556, 150550759]",2,secondary,False,"[False, True]",251.765,"LINESTRING (11.7140173 50.4971169, 11.7128404 50.496694, 11.7121716 50.4965055, 11.7117085 50.496343, 11.7113966 50.4962317, 11.7111426 50.4961517, 11.7108604 50.4960761)",L 1095,"['50', '100']",Pöritzsch
