osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,width,access,ref,tunnel,bridge,junction
30138362,Große Wasserstraße,residential,30,False,False,13.708,,"LINESTRING (12.1435457 54.0873383, 12.1437011 54.0872553)",,,,,,
22415527,Beginenberg,residential,30,True,False,63.06699999999999,1,"LINESTRING (12.1435457 54.0873383, 12.1434351 54.0873129, 12.143358 54.0873001, 12.1432415 54.0872875, 12.1430763 54.0872761, 12.1429598 54.0872684, 12.1427897 54.0872465, 12.1426039 54.0872184)",,,,,,
28508898,Große Wasserstraße,residential,30,False,True,80.302,,"LINESTRING (12.1435457 54.0873383, 12.1434712 54.0873931, 12.1433964 54.0874577, 12.1433557 54.0875019, 12.1433101 54.0875661, 12.1431737 54.0877582, 12.1430894 54.0878778, 12.1430153 54.0879861)",,,,,,
"[423619367, 423619368, 1206588171, 24965083, 1206588222, 1206588223]",Universitätsplatz,residential,20,False,False,172.607,,"LINESTRING (12.1349316 54.0880715, 12.1348686 54.0880444, 12.1346441 54.0879483, 12.1341957 54.0877562, 12.1338835 54.0876257, 12.1337671 54.0875771, 12.1336839 54.0876412, 12.1336212 54.0878283, 12.1335979 54.0878979, 12.1335503 54.0881078, 12.1335193 54.0882619)",9.5,,,,,
22415555,Lohgerberstraße,residential,30,True,False,53.481,,"LINESTRING (12.1474254 54.0884027, 12.1471508 54.0879495)",,,,,,
1103427753,Wollenweberstraße,residential,30,True,False,80.627,1,"LINESTRING (12.1457861 54.0903514, 12.145873 54.0904696, 12.1461216 54.0908101, 12.1462135 54.090925, 12.146293 54.0910124)",,,,,,
"[1103428899, 293176486, 526464711, 1103428949, 28385465]",Steinstraße,residential,30,False,True,200.15800000000002,2,"LINESTRING (12.1406332 54.0882215, 12.1405808 54.0881998, 12.1405276 54.0881687, 12.1404972 54.088121, 12.1405106 54.0880761, 12.1405293 54.0880134, 12.1405947 54.0878167, 12.1407834 54.087249, 12.1408091 54.0871717, 12.1408199 54.0871175, 12.1408137 54.0870589, 12.1407773 54.0869828, 12.1407569 54.0869563, 12.1406596 54.0868256, 12.1406448 54.0868004, 12.140631 54.0867536, 12.1406287 54.0865908, 12.1406295 54.0864911)",,,,,,
"[526464712, 1103428594, 4500274]",Große Wasserstraße,residential,"['50', '30']",False,False,81.57900000000001,,"LINESTRING (12.1406332 54.0882215, 12.1406728 54.0882332, 12.1407181 54.088239, 12.1407603 54.0882455, 12.1409327 54.0882499, 12.1411706 54.0882473, 12.1414704 54.0882437, 12.1418749 54.0882226)",,,,,,
1135048054,,unclassified,,False,True,272.09999999999997,,"LINESTRING (12.1406332 54.0882215, 12.1406944 54.0879744, 12.1408388 54.0875242, 12.1410312 54.0869667, 12.1410618 54.0868466, 12.1410745 54.08663, 12.1410832 54.0864987, 12.1410888 54.0863557, 12.1410988 54.0861571, 12.1411073 54.0859885, 12.1411169 54.0857981)",,no,,,,
157236054,Krämerstraße,residential,30,False,True,14.261,2,"LINESTRING (12.1414007 54.0901777, 12.1412209 54.0901047)",,,,,,
"[1103113656, 157236054]",Krämerstraße,residential,30,False,False,93.157,2,"LINESTRING (12.1414007 54.0901777, 12.1415175 54.0902248, 12.1425777 54.0906524)",,,,,,
"[57366633, 1076415502, 1101751119]",Lange Straße,residential,30,True,False,102.14399999999999,1,"LINESTRING (12.1397094 54.0898856, 12.1394998 54.0899448, 12.1392558 54.0899937, 12.1390662 54.0900199, 12.1388759 54.0900349, 12.1386027 54.0900397, 12.1385109 54.0900402, 12.1381871 54.0900418)",,,,,,
4577435,Hermannstraße,secondary,50,False,True,9.663,2,"LINESTRING (12.1362752 54.0852934, 12.1362747 54.0853803)",,,,,,
370192779,August-Bebel-Straße,secondary,50,True,False,21.973,1,"LINESTRING (12.1362752 54.0852934, 12.1364701 54.0852971, 12.1366117 54.0853023)",,,,,,
10103042,August-Bebel-Straße,secondary,50,False,False,10.385,,"LINESTRING (12.1409659 54.0856625, 12.141071 54.0856727, 12.141123 54.0856777)",7.0,,,,,
"[436232162, 666972145, 44376539, 719026398, 719026399]",Richard-Wagner-Straße,tertiary,50,True,False,87.447,2,"LINESTRING (12.1409659 54.0856625, 12.1409761 54.0856211, 12.1409891 54.0855272, 12.1410051 54.0854342, 12.1410165 54.0853677, 12.1411003 54.0848801)",,,,,,
10227025,Bei der Jakobikirche,residential,20,False,False,44.405,2,"LINESTRING (12.1331998 54.0893821, 12.1331259 54.0893804, 12.132973 54.0893806, 12.1327058 54.0893792, 12.132519 54.0893783)",,,,,,
"[10227411, 494872524, 1155231683]",Pädagogienstraße,residential,"['20', '30']",False,False,48.847,,"LINESTRING (12.1331998 54.0893821, 12.1331741 54.0895231, 12.1331679 54.0896902, 12.1331624 54.0897473, 12.1331574 54.0898204)",,,,,,
10227411,Pädagogienstraße,residential,20,False,True,77.44200000000001,,"LINESTRING (12.1331998 54.0893821, 12.1332424 54.0892513, 12.1332505 54.0891977, 12.133288 54.0889396, 12.1332934 54.0889027, 12.1333253 54.0886901)",,,,,,
1065690149,Lange Straße,residential,30,True,False,268.955,,"LINESTRING (12.1331574 54.0898204, 12.1339964 54.089835, 12.1344115 54.0898423, 12.1345369 54.0898445, 12.1371439 54.089905, 12.1372786 54.0899081)",,,,,,
"[1155231683, 494872524, 10227411]",Pädagogienstraße,residential,"['20', '30']",False,True,48.847,,"LINESTRING (12.1331574 54.0898204, 12.1331624 54.0897473, 12.1331679 54.0896902, 12.1331741 54.0895231, 12.1331998 54.0893821)",,,,,,
"[462176197, 22661540, 308433677]",Augustenstraße,residential,30,True,False,66.807,,"LINESTRING (12.1411003 54.0848801, 12.1410227 54.0848621, 12.1406829 54.0847832, 12.1402834 54.0846811, 12.140155 54.084649)",,,,,,
"[184874237, 997240062]",Richard-Wagner-Straße,tertiary,50,True,False,30.686999999999998,2,"LINESTRING (12.1411003 54.0848801, 12.1411194 54.0847892, 12.1411579 54.0846062)",,,,,,
