osmid,ref,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,width,tunnel
80850361,L 121,Hauptstraße,secondary,False,False,24.49,,,"LINESTRING (7.456787 50.4162441, 7.4570869 50.4161346)",,
"[23393072, 1128195837]",,Gartenstraße,residential,False,False,139.185,"['2', '3']",30,"LINESTRING (7.456787 50.4162441, 7.4567401 50.416189, 7.4566887 50.4161346, 7.4566342 50.4160782, 7.4566243 50.4160679, 7.4562175 50.4156465, 7.4562087 50.4156374, 7.4560256 50.4154478, 7.4558324 50.4152502, 7.4557342 50.4151907)",,
598473103,L 121,Hauptstraße,secondary,False,True,152.065,,,"LINESTRING (7.456787 50.4162441, 7.4565358 50.4163505, 7.4564363 50.4163926, 7.4555498 50.4167679, 7.455473 50.4167997, 7.4550145 50.4169894, 7.4549956 50.4169972)",,
23400285,,Lindenstraße,residential,False,False,129.746,2,30,"LINESTRING (7.4557342 50.4151907, 7.4555867 50.4151591, 7.4554087 50.4151641, 7.4550921 50.4152109, 7.4548769 50.4152123, 7.4547683 50.4151951, 7.454683 50.4151815, 7.453981 50.4150005)",,
"[23393072, 1128195837]",,Gartenstraße,residential,False,True,139.185,"['2', '3']",30,"LINESTRING (7.4557342 50.4151907, 7.4558324 50.4152502, 7.4560256 50.4154478, 7.4562087 50.4156374, 7.4562175 50.4156465, 7.4566243 50.4160679, 7.4566342 50.4160782, 7.4566887 50.4161346, 7.4567401 50.416189, 7.456787 50.4162441)",,
28344625,,Brückenstraße,residential,False,False,179.378,2,50,"LINESTRING (7.450987 50.4137271, 7.4508659 50.413753, 7.4489202 50.4146525)",,
28344625,,Brückenstraße,residential,False,True,232.46800000000002,2,50,"LINESTRING (7.450987 50.4137271, 7.4511011 50.4137311, 7.4523376 50.4143377, 7.4527544 50.4145422, 7.4530961 50.4147107, 7.4536581 50.4149162)",,
28866217,,Saffiger Straße,residential,False,True,159.70800000000003,,,"LINESTRING (7.450987 50.4137271, 7.4509844 50.4136157, 7.4509754 50.4134572, 7.4509337 50.4133337, 7.4508031 50.4131081, 7.4507145 50.4128851, 7.4507 50.4127241, 7.450761 50.4125371, 7.4508525 50.4123279)",,
23424940,,Grabenstraße,residential,False,False,22.835,,,"LINESTRING (7.4490899 50.4183408, 7.4492349 50.4185242)",,
470513555,,Bahnhofstraße,living_street,False,False,20.179,,,"LINESTRING (7.4592764 50.415738, 7.4594806 50.4156115)",,
"[1262621285, 74287551]",,"['Bahnhofstraße', 'Rheinufer']",living_street,False,True,91.452,,,"LINESTRING (7.4592764 50.415738, 7.4594858 50.4157668, 7.4596542 50.4158283, 7.4597989 50.4158197, 7.459868 50.4157863, 7.4599544 50.4157388, 7.4603669 50.4155205)",,
239861715,,Bahnhofstraße,residential,False,False,498.20500000000004,,30,"LINESTRING (7.4592764 50.415738, 7.4591341 50.4158093, 7.4589079 50.4159382, 7.4585602 50.4161433, 7.4575848 50.4167077, 7.4564824 50.4174611, 7.4554404 50.4182192, 7.4551093 50.4184551, 7.4544021 50.418959)",,
28344625,,Brückenstraße,residential,False,False,24.725,2,50,"LINESTRING (7.453981 50.4150005, 7.4536581 50.4149162)",,
23400285,,Lindenstraße,residential,False,True,129.746,2,30,"LINESTRING (7.453981 50.4150005, 7.454683 50.4151815, 7.4547683 50.4151951, 7.4548769 50.4152123, 7.4550921 50.4152109, 7.4554087 50.4151641, 7.4555867 50.4151591, 7.4557342 50.4151907)",,
23424967,,Lindenstraße,residential,False,False,81.899,,30,"LINESTRING (7.453981 50.4150005, 7.4538506 50.4151322, 7.453225 50.4155546)",3,
23424974,,Brückenstraße,residential,False,False,69.312,,,"LINESTRING (7.453981 50.4150005, 7.4541025 50.4148594, 7.4544515 50.414454)",,
23496196,,Saffiger Straße,residential,False,False,17.026,,,"LINESTRING (7.4553261 50.4133453, 7.4551483 50.4132423)",,
909999821,,Brückenstraße,residential,False,False,60.941,,,"LINESTRING (7.4553261 50.4133453, 7.4557551 50.4128703)",,
23424974,,Brückenstraße,residential,False,True,137.982,,,"LINESTRING (7.4553261 50.4133453, 7.4547677 50.4140531, 7.4544515 50.414454)",,
23496198,,Tulpenstraße,residential,False,False,56.875,,,"LINESTRING (7.455641 50.4114376, 7.4548396 50.4114093)",,
23496385,,Lilienstraße,residential,False,False,76.392,,,"LINESTRING (7.455641 50.4114376, 7.4567152 50.4113796)",,
30535774,,Rosenstraße,residential,False,False,85.916,,,"LINESTRING (7.455641 50.4114376, 7.4555109 50.4106694)",,
941716635,,Rosenstraße,residential,False,True,141.481,,,"LINESTRING (7.455641 50.4114376, 7.4557876 50.4119086, 7.45597 50.4124248, 7.4559668 50.4125585, 7.4559355 50.4126863)",,
23496196,,Saffiger Straße,residential,False,False,41.88,,,"LINESTRING (7.4530366 50.4122457, 7.4524529 50.4121866)",,
23496196,,Saffiger Straße,residential,False,True,83.696,,,"LINESTRING (7.4530366 50.4122457, 7.4540337 50.4126492)",,
23496197,,Grüner Weg,residential,False,False,50.246,,,"LINESTRING (7.4530366 50.4122457, 7.4533885 50.4118534)",,
30529553,,Saffiger Straße,residential,False,True,115.75999999999999,,,"LINESTRING (7.4530366 50.4122457, 7.4530534 50.4118342, 7.4530006 50.4117772, 7.4527106 50.4117143, 7.4527044 50.4117041, 7.4526648 50.4116389, 7.4527066 50.411418, 7.4527187 50.4113538)",,
23496197,,Grüner Weg,residential,False,True,50.246,,,"LINESTRING (7.4533885 50.4118534, 7.4530366 50.4122457)",,
941716636,,Grüner Weg,residential,False,False,56.35,,,"LINESTRING (7.4533885 50.4118534, 7.4537125 50.4113906)",,
28344867,,Auf der Ley,residential,False,False,203.16799999999998,,,"LINESTRING (7.4533885 50.4118534, 7.4543581 50.41224, 7.4546714 50.4123292, 7.4550381 50.4124758, 7.4554262 50.4126827, 7.4557551 50.4128703)",,
909999821,,Brückenstraße,residential,False,False,24.125,,,"LINESTRING (7.4557551 50.4128703, 7.4559355 50.4126863)",,
909999821,,Brückenstraße,residential,False,True,60.941,,,"LINESTRING (7.4557551 50.4128703, 7.4553261 50.4133453)",,
