osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,bridge,junction
"[1217849328, 281796531]",False,2,Waldheimer Straße,unclassified,50,False,56.644999999999996,"LINESTRING (12.9809859 50.9867638, 12.9810068 50.9866767, 12.9810144 50.9866592, 12.9810323 50.9866181, 12.9810958 50.9865202, 12.981169 50.9864396, 12.9813073 50.986303)",,,,
"[1217849472, 413083082, 25902654]",False,"['2', '3']",Zimmerstraße,secondary,50,True,236.575,"LINESTRING (12.9809859 50.9867638, 12.9807687 50.9867456, 12.9805644 50.9867353, 12.9800456 50.9867472, 12.9798279 50.9867503, 12.9796231 50.9867411, 12.9792106 50.9867084, 12.9790581 50.9866975, 12.9789917 50.9866931, 12.9788588 50.986685, 12.9786686 50.9866768, 12.9784025 50.9866734, 12.978334 50.9866734, 12.9781674 50.9866787, 12.9780638 50.986689, 12.9779341 50.9867194, 12.9777802 50.9867607, 12.9776485 50.9867928)",S 247,,,
"[380665960, 380665961, 25902799, 733405552, 1217849525, 1217849589]",False,2,Frankenberger Straße,secondary,50,True,369.167,"LINESTRING (12.9809859 50.9867638, 12.9812244 50.9868079, 12.9816714 50.9868577, 12.9819353 50.9868854, 12.9820676 50.9868967, 12.9821732 50.9868974, 12.9822617 50.9868834, 12.9823529 50.9868635, 12.9824284 50.9868403, 12.9826113 50.9867519, 12.9829423 50.986592, 12.9830543 50.9865419, 12.9831365 50.9865054, 12.9833231 50.9864361, 12.9835309 50.9863719, 12.983597 50.9863509, 12.9836458 50.9863355, 12.9837785 50.9862943, 12.9839365 50.9862356, 12.9840807 50.9861727, 12.9842178 50.986093, 12.9843341 50.9860185, 12.9844417 50.9859371, 12.984667 50.9857194, 12.9850093 50.9853703, 12.9851412 50.9852453)",S 247,6.5,yes,
"[655044005, 1217849527]",False,2,Waldheimer Straße,tertiary,50,True,78.567,"LINESTRING (12.9809859 50.9867638, 12.9810171 50.9868967, 12.981039 50.9869898, 12.9811315 50.9873089, 12.9811807 50.9874595)",K 8212,5.0,,
25030114,False,,Markt,residential,20,False,53.773,"LINESTRING (12.9814656 50.9857286, 12.9807008 50.985774)",,,,
733987055,False,2,Markt,unclassified,20,True,6.08,"LINESTRING (12.9814656 50.9857286, 12.9814568 50.9856742)",,5,,
14371431,False,2,Lutherstraße,residential,50,True,95.67999999999999,"LINESTRING (12.9753262 50.9882686, 12.9753575 50.9882191, 12.9753826 50.9881593, 12.9754005 50.9880676, 12.9754665 50.9877803, 12.9755187 50.9875468, 12.9755627 50.987423)",,,,
24754948,False,2,Lutherstraße,residential,50,False,76.05799999999999,"LINESTRING (12.9753262 50.9882686, 12.9752961 50.9882985, 12.9752247 50.9883409, 12.9751399 50.9883829, 12.9747971 50.9885319, 12.9744674 50.9886829)",,,,
25904104,False,,Albert-Schweitzer-Straße,unclassified,30,False,17.264,"LINESTRING (12.9753262 50.9882686, 12.9753994 50.9882771, 12.9755715 50.9882732)",,,,
281796527,False,2,Waldheimer Straße,tertiary,50,False,96.457,"LINESTRING (12.9819354 50.9891666, 12.9818669 50.9891175, 12.9817297 50.9889718, 12.9816542 50.9888248, 12.9816265 50.9886968, 12.9816198 50.988666, 12.9816049 50.9885616, 12.9816117 50.9884481, 12.9816453 50.9883508)",K 8212,5.0,,
943955452,False,,Gottesaubachweg,residential,,False,247.214,"LINESTRING (12.9819354 50.9891666, 12.9821125 50.9891017, 12.9821757 50.9890825, 12.9822797 50.9890509, 12.982378 50.9890269, 12.9824946 50.9890223, 12.9827986 50.9890762, 12.9838558 50.9893451, 12.9842322 50.989533, 12.9845272 50.989645, 12.9848945 50.9897722, 12.9851058 50.9898082)",,,,
14371431,False,2,Lutherstraße,residential,50,False,95.68,"LINESTRING (12.9755627 50.987423, 12.9755187 50.9875468, 12.9754665 50.9877803, 12.9754005 50.9880676, 12.9753826 50.9881593, 12.9753575 50.9882191, 12.9753262 50.9882686)",,,,
25904286,False,2,Tzschirnerplatz,residential,50,False,65.581,"LINESTRING (12.9755627 50.987423, 12.9755942 50.9873611, 12.9756121 50.9873015, 12.9756402 50.9871486, 12.9756518 50.9870318, 12.9756649 50.9868388)",,,,
526186755,False,1,Tzschirnerplatz,residential,,True,44.668000000000006,"LINESTRING (12.9755627 50.987423, 12.9758424 50.9874325, 12.9761993 50.9874505)",,,,
25485173,False,,Frongasse,residential,,True,151.65300000000002,"LINESTRING (12.9799748 50.9858475, 12.9799623 50.9858192, 12.9799338 50.9857546, 12.9798992 50.9856624, 12.9798777 50.985582, 12.97988 50.9855174, 12.9799022 50.9854322, 12.9799363 50.9853479, 12.9799979 50.9852256, 12.9800385 50.9851553, 12.9800523 50.9851228, 12.9800954 50.9849811, 12.9801032 50.9849004, 12.9801242 50.9848601, 12.9801842 50.9848195, 12.9802981 50.9847583, 12.9805237 50.9846186)",,,,
86536972,False,,Rochlitzer Straße,residential,20,True,51.491,"LINESTRING (12.9799748 50.9858475, 12.9800734 50.9858354, 12.9801975 50.9858199, 12.9804203 50.9857983, 12.9805609 50.9857877, 12.9807008 50.985774)",,,,
447293983,False,,Rochlitzer Straße,residential,20,False,47.878,"LINESTRING (12.9799748 50.9858475, 12.9796066 50.9859263, 12.9793243 50.9859804)",,5.2,,
733397718,True,,Poststraße,residential,50,False,148.355,"LINESTRING (12.9755103 50.9847049, 12.9754486 50.9844332, 12.9753594 50.984062, 12.9752054 50.9833846)",,,,
25481395,True,,Rochlitzer Straße,residential,30,False,100.929,"LINESTRING (12.9771155 50.9863247, 12.9769237 50.9863309, 12.9763018 50.9863379, 12.975754 50.9863492, 12.9756743 50.9863508)",,,,
447293983,False,,Rochlitzer Straße,residential,20,True,47.878,"LINESTRING (12.9793243 50.9859804, 12.9796066 50.9859263, 12.9799748 50.9858475)",,5.2,,
"[25481395, 878761500]",True,,Rochlitzer Straße,residential,"['20', '30']",False,159.866,"LINESTRING (12.9793243 50.9859804, 12.9791806 50.9860147, 12.9791015 50.9860347, 12.978805 50.9861069, 12.9787805 50.9861119, 12.9786537 50.9861362, 12.9786442 50.9861379, 12.9783308 50.9861929, 12.977988 50.9862363, 12.9775431 50.9862856, 12.9771155 50.9863247)",,,,
"[249685699, 25903572]",False,,Plan,residential,,"[False, True]",232.18100000000004,"LINESTRING (12.9854363 50.985029, 12.9853805 50.9849848, 12.9852797 50.9848621, 12.9852211 50.9847981, 12.9851469 50.9847277, 12.9850393 50.9846407, 12.9848956 50.9845078, 12.984826 50.9844657, 12.9848927 50.9844021, 12.9849545 50.9843713, 12.9850622 50.9843513, 12.9851657 50.9843479, 12.9853092 50.9843748, 12.9854099 50.9843913, 12.9854955 50.9843896, 12.9855672 50.9843748, 12.9856321 50.984347, 12.9856638 50.9842992, 12.9856569 50.9842523, 12.9856224 50.9842063, 12.9854706 50.9840873, 12.985432 50.9840456, 12.9854306 50.9840056, 12.9854665 50.9839682, 12.9857535 50.9838103, 12.9858604 50.9837429, 12.9859253 50.9836971)",,,,
"[249685698, 25902759]",False,"['2', '3']",Steinweg,secondary,50,True,131.526,"LINESTRING (12.9854363 50.985029, 12.9856477 50.9849546, 12.9859283 50.9848745, 12.9865819 50.9846991, 12.9867543 50.9846444, 12.9868569 50.9845863, 12.9869106 50.9845428, 12.9869517 50.9844938, 12.9869954 50.9844292)",S 247,,,
733987054,False,2,Frankenberger Straße,secondary,50,False,31.801000000000002,"LINESTRING (12.9854363 50.985029, 12.9853347 50.985089, 12.9852397 50.9851598, 12.9851412 50.9852453)",S 247,6.5,,
