osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,geometry
"[184399513, 669383725]",False,2,D 34,secondary,100,False,502.509,Rue de Rimling,"LINESTRING (7.3095654 49.1086697, 7.3097673 49.1087255, 7.3099696 49.108804, 7.3102056 49.1089247, 7.3103286 49.1090211, 7.3106192 49.1093148, 7.3108243 49.1094963, 7.3109392 49.1095872, 7.3129126 49.1105208, 7.3149138 49.1114612)"
89460893,False,,,residential,,True,256.75600000000003,Rue des Prés,"LINESTRING (7.3149138 49.1114612, 7.3149836 49.1113596, 7.3150491 49.1110883, 7.3151242 49.1107301, 7.314858 49.1101877, 7.3140798 49.1093368)"
184399513,False,,D 34,secondary,,False,75.69,Rue de Rimling,"LINESTRING (7.3149138 49.1114612, 7.3153672 49.1116655, 7.315814 49.1117963)"
"[184399513, 669383725]",False,2,D 34,secondary,100,True,502.509,Rue de Rimling,"LINESTRING (7.3149138 49.1114612, 7.3129126 49.1105208, 7.3109392 49.1095872, 7.3108243 49.1094963, 7.3106192 49.1093148, 7.3103286 49.1090211, 7.3102056 49.1089247, 7.3099696 49.108804, 7.3097673 49.1087255, 7.3095654 49.1086697)"
184399513,False,,D 34,secondary,,False,85.165,Rue de Rimling,"LINESTRING (7.3164882 49.1119318, 7.3176314 49.112095)"
184399513,False,,D 34,secondary,,True,51.334,Rue de Rimling,"LINESTRING (7.3164882 49.1119318, 7.315814 49.1117963)"
51423876,False,,D 34b,tertiary,,False,73.486,Rue d'Ormersviller,"LINESTRING (7.3164882 49.1119318, 7.3164157 49.112212, 7.3163685 49.1125024, 7.3163644 49.112587)"
138335183,False,,,tertiary,,True,170.46699999999998,Rue d'Urbach,"LINESTRING (7.3164882 49.1119318, 7.3166981 49.1113544, 7.3169444 49.1110661, 7.3175842 49.1106237)"
184399513,False,,D 34,secondary,,False,51.334,Rue de Rimling,"LINESTRING (7.315814 49.1117963, 7.3164882 49.1119318)"
89460879,False,,,residential,,True,111.719,Rue du Ruisseau,"LINESTRING (7.315814 49.1117963, 7.3154472 49.1125229, 7.3154111 49.1127612)"
