osmid,oneway,lanes,ref,name,highway,reversed,length,maxspeed,geometry,bridge,access
22951397,True,2,B 16;St 2055,Josef-Landes-Straße,primary,False,12.254,,"LINESTRING (10.6244462 47.881172, 10.6243014 47.8812241)",,
24471765,True,1,,Neugablonzer Straße,tertiary,False,42.067,50,"LINESTRING (10.6244462 47.881172, 10.6244803 47.8812756, 10.6245365 47.8815452)",,
22951401,False,,B 16,An der Schnelle,primary,False,6.44,,"LINESTRING (10.6193007 47.8822041, 10.619303 47.882262)",,
88438816,True,2,B 16;St 2055,Josef-Landes-Straße,primary,False,114.076,50,"LINESTRING (10.6193007 47.8822041, 10.6194116 47.8822017, 10.6195811 47.8821982, 10.6199188 47.8821844, 10.6203715 47.8821603, 10.6206303 47.8821472, 10.6208272 47.8821402)",,
"[1206850276, 1206850277, 1206850278, 24522959]",False,"['4', '2', '3']",,Espachstraße,residential,False,196.39499999999998,50,"LINESTRING (10.6187955 47.8832258, 10.6189904 47.8832818, 10.6192765 47.8833715, 10.6194371 47.8834151, 10.6198155 47.8835178, 10.6200358 47.8835779, 10.6202971 47.8836448, 10.6204731 47.8836767, 10.6207331 47.8837246, 10.621017 47.8837678, 10.6211968 47.8837851, 10.6212781 47.8837928)",,
"[1206850280, 240986796, 1206850279]",False,"['5', '3']",B 16,An der Schnelle,primary,True,114.39699999999999,50,"LINESTRING (10.6187955 47.8832258, 10.6189165 47.8830802, 10.618954 47.883015, 10.6191306 47.8827143, 10.6192668 47.8824358, 10.6192924 47.8823558, 10.6193009 47.8823018, 10.619303 47.882262)",,
"[1206850281, 1206850282]",False,3,B 16,An der Schnelle,primary,False,149.72299999999998,50,"LINESTRING (10.6187955 47.8832258, 10.6186879 47.8833308, 10.6183944 47.8836205, 10.6181233 47.8838881, 10.6180323 47.8839779, 10.6176749 47.884343)",,
"[558922705, 24367018, 558922706, 24367070]",False,,,"['Tänzelfestweg', 'Bleicherweg']",residential,"[False, True]",320.264,30,"LINESTRING (10.6249838 47.8827939, 10.6250538 47.8827842, 10.6261085 47.8828251, 10.627105 47.8828699, 10.627092 47.882154, 10.6270656 47.8816992, 10.6270623 47.8815816, 10.6270634 47.8815532, 10.6270751 47.8814904, 10.6270943 47.881418)",,
"[881130464, 881130466]",False,3,,Neugablonzer Straße,tertiary,False,107.679,50,"LINESTRING (10.6249838 47.8827939, 10.6250719 47.8830256, 10.6251034 47.8831243, 10.6252319 47.8835251, 10.6252468 47.88358, 10.6252834 47.8837407)",,
"[88438826, 881130467]",False,"['4', '2']",,Neugablonzer Straße,tertiary,True,142.808,50,"LINESTRING (10.6249838 47.8827939, 10.6247905 47.8822719, 10.6246559 47.8819043, 10.6245365 47.8815452)",,
24509564,True,,,Bismarckstraße,residential,False,86.696,30,"LINESTRING (10.6241844 47.8782446, 10.6241638 47.8782292, 10.6241336 47.8782062, 10.623493 47.8776181)",,
"[1203271594, 1203271595]",False,3,B 16,Ganghoferstraße,primary,False,47.434000000000005,50,"LINESTRING (10.6241844 47.8782446, 10.6243891 47.8781095, 10.6245397 47.8780132, 10.6245719 47.8779926, 10.6246429 47.877949)",,
"[1222060768, 1222060766, 1222060767]",False,3,B 16,Ganghoferstraße,primary,True,41.254,50,"LINESTRING (10.6241844 47.8782446, 10.6239534 47.8783782, 10.6239012 47.8784153, 10.6238524 47.8784625, 10.62384 47.8784784, 10.6238148 47.8785147)",,
23444653,False,,,Johannes-Haag-Straße,residential,False,149.677,50,"LINESTRING (10.6246429 47.877949, 10.624715 47.8779874, 10.6247851 47.8780272, 10.6251306 47.8782123, 10.6255669 47.8784262, 10.6259895 47.878643, 10.6262444 47.8787594)",,
"[1203271593, 23444506]",False,"['2', '3']",B 16,Ganghoferstraße,primary,False,90.709,50,"LINESTRING (10.6246429 47.877949, 10.6247685 47.8778358, 10.6249569 47.8775398, 10.6250331 47.8771907)",,
"[1203271594, 1203271595]",False,3,B 16,Ganghoferstraße,primary,True,47.434,50,"LINESTRING (10.6246429 47.877949, 10.6245719 47.8779926, 10.6245397 47.8780132, 10.6243891 47.8781095, 10.6241844 47.8782446)",,
24366574,False,4,St 2055,Augsburger Straße,secondary,False,18.345,50,"LINESTRING (10.6281995 47.8815762, 10.6279646 47.8815272)",,
23444653,False,,,Johannes-Haag-Straße,residential,False,32.358000000000004,50,"LINESTRING (10.6276689 47.8794456, 10.6278478 47.8795972, 10.6279285 47.8796785)",,
23444653,False,,,Johannes-Haag-Straße,residential,True,130.894,50,"LINESTRING (10.6276689 47.8794456, 10.6274617 47.8793275, 10.6272117 47.8792026, 10.6265088 47.8788794, 10.6262444 47.8787594)",,
24367157,True,,,Adolph-Kolping-Straße,residential,False,63.069,,"LINESTRING (10.6276689 47.8794456, 10.6278646 47.8795194, 10.628429 47.8796934)",,
"[87292120, 52247563, 24366574]",False,4,St 2055,"['Augsburger Straße', 'Gutenbergstraße']",secondary,True,66.04599999999999,50,"LINESTRING (10.6270943 47.881418, 10.6271767 47.8814301, 10.6271954 47.8814314, 10.6278653 47.8815116, 10.6279646 47.8815272)",yes,
88438842,False,3,St 2055,Gutenbergstraße,secondary,False,101.74700000000001,50,"LINESTRING (10.6270943 47.881418, 10.6270053 47.8814113, 10.6269173 47.8814018, 10.6257468 47.881275)",,
104784626,False,,,Johannes-Haag-Straße,residential,True,211.80700000000002,,"LINESTRING (10.6270943 47.881418, 10.6271245 47.8813128, 10.6271335 47.8812586, 10.6271489 47.8811661, 10.6271903 47.8810286, 10.6272211 47.8809623, 10.6273454 47.8807687, 10.6274632 47.8806051, 10.6275789 47.8804952, 10.6277722 47.8803767, 10.6278916 47.8802997, 10.6279326 47.8802211, 10.6279509 47.8800451, 10.6279327 47.8797923, 10.6279285 47.8796785)",,
"[24367018, 558922705, 558922706, 24367070]",False,,,"['Tänzelfestweg', 'Bleicherweg']",residential,"[False, True]",320.264,30,"LINESTRING (10.6270943 47.881418, 10.6270751 47.8814904, 10.6270634 47.8815532, 10.6270623 47.8815816, 10.6270656 47.8816992, 10.627092 47.882154, 10.627105 47.8828699, 10.6261085 47.8828251, 10.6250538 47.8827842, 10.6249838 47.8827939)",,
192278819,False,3,B 16,An der Schnelle,primary,True,16.869,,"LINESTRING (10.617553 47.8844708, 10.6176749 47.884343)",,
"[24471299, 626115462]",True,,,Mindelheimer Straße,residential,False,59.62299999999999,50,"LINESTRING (10.617553 47.8844708, 10.6174823 47.8844132, 10.617344 47.8843088, 10.6173149 47.8842164, 10.6172972 47.8839892)",,
"[131665105, 51228935]",False,,St 2055,Kemptener Tor,secondary,False,88.283,50,"LINESTRING (10.6165799 47.881888, 10.6169936 47.8818601, 10.6172762 47.8818551, 10.6175264 47.8818769, 10.6177442 47.8819325)",,
"[93654129, 219943102]",False,,,Mindelheimer Straße,residential,True,239.788,50,"LINESTRING (10.6165799 47.881888, 10.6165903 47.8819192, 10.6168125 47.8825373, 10.616824 47.8825702, 10.6170112 47.883107, 10.6170219 47.8831338, 10.6172228 47.8836751, 10.6172539 47.8837973, 10.6172972 47.8839892)",,
23444653,False,,,Johannes-Haag-Straße,residential,False,130.894,50,"LINESTRING (10.6262444 47.8787594, 10.6265088 47.8788794, 10.6272117 47.8792026, 10.6274617 47.8793275, 10.6276689 47.8794456)",,
23444653,False,,,Johannes-Haag-Straße,residential,True,149.67700000000002,50,"LINESTRING (10.6262444 47.8787594, 10.6259895 47.878643, 10.6255669 47.8784262, 10.6251306 47.8782123, 10.6247851 47.8780272, 10.624715 47.8779874, 10.6246429 47.877949)",,
578919309,False,,,Am Mühlbach,residential,False,46.414,,"LINESTRING (10.6262444 47.8787594, 10.6260184 47.8790095, 10.6259681 47.8790587, 10.6258909 47.8790985)",,
578919309,False,,,Am Mühlbach,residential,True,46.414,,"LINESTRING (10.6258909 47.8790985, 10.6259681 47.8790587, 10.6260184 47.8790095, 10.6262444 47.8787594)",,
24366359,False,,,Heinzelmannstraße,residential,True,68.032,30,"LINESTRING (10.6227369 47.8768935, 10.623149 47.8763857, 10.6231684 47.8763618, 10.6231732 47.8763562)",,
28388041,True,,,Heinzelmannstraße,residential,False,64.354,,"LINESTRING (10.6227369 47.8768935, 10.6225178 47.8771242, 10.6222804 47.8773846)",,
28388054,False,,,Bismarckstraße,residential,False,159.001,,"LINESTRING (10.6227369 47.8768935, 10.6220888 47.8765626, 10.6217502 47.8764174, 10.6211588 47.876155, 10.6209795 47.8760864)",,
24509706,False,,,Innere Buchleuthenstraße,residential,True,21.443,50,"LINESTRING (10.6209795 47.8760864, 10.6211141 47.875916)",,
24509706,False,,,Innere Buchleuthenstraße,residential,False,175.93900000000002,50,"LINESTRING (10.6209795 47.8760864, 10.62074 47.8765032, 10.6206533 47.8766384, 10.6205331 47.8768067, 10.6203246 47.8770555, 10.6200369 47.8773603, 10.6199775 47.8774405, 10.6199635 47.8775059)",,
28388054,False,,,Bismarckstraße,residential,True,159.001,,"LINESTRING (10.6209795 47.8760864, 10.6211588 47.876155, 10.6217502 47.8764174, 10.6220888 47.8765626, 10.6227369 47.8768935)",,
24509564,True,,,Bismarckstraße,residential,False,98.345,30,"LINESTRING (10.623493 47.8776181, 10.6227369 47.8768935)",,
24509708,False,,,Hauberrisserstraße,residential,False,66.833,,"LINESTRING (10.623493 47.8776181, 10.6227868 47.8779881)",,
24509708,False,,,Hauberrisserstraße,residential,True,66.833,,"LINESTRING (10.6227868 47.8779881, 10.623493 47.8776181)",,
55701364,False,,,Schraderstraße,residential,False,36.861,,"LINESTRING (10.6217135 47.8781828, 10.6219986 47.8782452, 10.6221796 47.8782927)",,
"[24509706, 24665979, 55701364]",False,,,"['Schraderstraße', 'Innere Buchleuthenstraße']",residential,True,158.652,50,"LINESTRING (10.6217135 47.8781828, 10.6214326 47.8781276, 10.6212321 47.8780839, 10.6210648 47.8780345, 10.620996 47.878, 10.620846 47.8778693, 10.6207243 47.8777976, 10.6206372 47.8777639, 10.6204978 47.8777328, 10.6202681 47.8777081, 10.6201798 47.8776951, 10.6200958 47.8776609, 10.620018 47.8776127, 10.6199697 47.8775567, 10.6199635 47.8775059)",,
24522959,False,2,,Espachstraße,residential,False,63.11,50,"LINESTRING (10.6234595 47.8835256, 10.6238856 47.8835434, 10.6242976 47.8835959)",,
24522959,False,2,,Espachstraße,residential,True,61.762,50,"LINESTRING (10.6234595 47.8835256, 10.6231089 47.8835437, 10.6229082 47.8835696, 10.6227743 47.8835969, 10.6226478 47.8836228)",,
24522959,False,2,,Espachstraße,residential,False,75.46100000000001,50,"LINESTRING (10.6242976 47.8835959, 10.624656 47.8836625, 10.6248485 47.8836938, 10.6250582 47.8837269, 10.6251621 47.8837376, 10.6252834 47.8837407)",,
24522959,False,2,,Espachstraße,residential,True,63.11,50,"LINESTRING (10.6242976 47.8835959, 10.6238856 47.8835434, 10.6234595 47.8835256)",,
"[24522962, 24522963]",False,,,Färberweg,residential,False,106.939,,"LINESTRING (10.6242976 47.8835959, 10.6243096 47.883541, 10.6243847 47.8833475, 10.6245056 47.8830475, 10.6246511 47.8826642)",,destination
"[24522960, 897731658, 84749918, 84749911]",False,2,,Alte Weberei,residential,False,211.864,50,"LINESTRING (10.6221401 47.8821742, 10.6221606 47.8822204, 10.6221949 47.8822964, 10.6222211 47.8823237, 10.6222914 47.8823829, 10.6223498 47.8824273, 10.6223951 47.8824531, 10.6224966 47.8824979, 10.6228211 47.8825998, 10.6228463 47.8826067, 10.6230117 47.882652, 10.6231345 47.8826934, 10.6226346 47.8833677, 10.6225901 47.8834666, 10.6225929 47.8835075, 10.6226188 47.8835721, 10.6226478 47.8836228)",yes,
"[78319361, 1206850275]",True,"['2', '3']",B 16;St 2055,Josef-Landes-Straße,primary,False,98.519,50,"LINESTRING (10.6221401 47.8821742, 10.6218731 47.8822197, 10.6216267 47.8822382, 10.6213694 47.8822417, 10.6210542 47.8822404, 10.6208292 47.8822357)",,
