osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,bridge,junction
"[671200712, 41948774]","['2', '3']",Sindelfinger Straße,secondary,50,False,False,168.098,"LINESTRING (9.0103398 48.6890343, 9.0104711 48.6889286, 9.0107551 48.6886949, 9.0109509 48.6885231, 9.0110469 48.6884218, 9.0111816 48.6882717, 9.0114392 48.6879183, 9.0115008 48.6878281, 9.0115217 48.6877992, 9.01155 48.6877601)",,,,
"[434916224, 24239138]",,Landhausstraße,residential,30,False,True,87.07300000000001,"LINESTRING (9.0103398 48.6890343, 9.0104439 48.6890349, 9.010505 48.6890415, 9.0106763 48.6890645, 9.0115079 48.6891648)",8,,,
4761850,1,Elbenplatz,primary,30,True,False,17.264,"LINESTRING (9.0095577 48.6854448, 9.009576 48.6854041, 9.0095964 48.6853673, 9.0096455 48.6853012)",,L 1185,,
"[524165831, 26567058, 162095096, 995986841, 555680863]","['2', '3', '1']",Herrenberger Straße,primary,"['50', '30']",True,False,187.655,"LINESTRING (9.0095577 48.6854448, 9.009525 48.6853446, 9.0095153 48.6853204, 9.009499 48.6852904, 9.0094789 48.6852637, 9.0094581 48.68524, 9.009443 48.6852249, 9.0093849 48.6851759, 9.0093148 48.6851309, 9.0092399 48.6850908, 9.0091673 48.6850627, 9.0091029 48.6850388, 9.0089681 48.6850012, 9.0087819 48.6849567, 9.0085611 48.6849055, 9.0084917 48.6848885, 9.0076666 48.6846966, 9.007558 48.6846715, 9.0074507 48.6846504)",9.5,K 1077,,
"[9109640, 6114764, 6114767, 38085656, 38085657, 364635099]",,Tübinger Straße,"['residential', 'living_street']",,False,False,276.99399999999997,"LINESTRING (9.0105084 48.6822318, 9.0106489 48.6822905, 9.011242 48.6826259, 9.0115252 48.6827806, 9.0117683 48.6829374, 9.0121488 48.6832663, 9.0123648 48.6834571, 9.0123737 48.6834646, 9.0124525 48.6835385, 9.0125959 48.6836486, 9.0126392 48.6836842, 9.0129758 48.6839524, 9.0130323 48.6840077, 9.0130563 48.6840453)","['5.5', '5.7', '7.6']",,yes,
28310496,3,Tübinger Straße,secondary,50,False,False,62.501000000000005,"LINESTRING (9.0105084 48.6822318, 9.0105674 48.6820962, 9.0107042 48.681685)",,,,
180332366,2,Parkstraße,secondary,50,True,False,120.02699999999999,"LINESTRING (9.0105084 48.6822318, 9.0103992 48.682412, 9.0102656 48.6825473, 9.0100931 48.6826911, 9.0097948 48.6828804, 9.0095484 48.6830186, 9.0094841 48.6830516)",,,,
36927815,2,Parkstraße,secondary,50,True,False,40.748000000000005,"LINESTRING (9.0076368 48.6842026, 9.0075555 48.6843333, 9.0075064 48.6844295, 9.0074961 48.6844678, 9.0074868 48.6845085, 9.0074769 48.6845516)",,,,
84219877,2,Parkstraße,secondary_link,50,True,False,51.996,"LINESTRING (9.0076368 48.6842026, 9.0076336 48.6843441, 9.0076365 48.6844054, 9.0076436 48.6844513, 9.0076646 48.6844874, 9.0077417 48.6845738, 9.0077459 48.6845773, 9.0078097 48.6846396)",,,,
41948042,,Klaffensteinstraße,secondary,30,False,False,46.209999999999994,"LINESTRING (9.0150866 48.6826132, 9.015028 48.6827368, 9.0149425 48.6828466, 9.0148284 48.6829907)",8.1,L 1185,,
149053386,,Herrschaftsgartenstraße,residential,50,False,False,144.10599999999997,"LINESTRING (9.0150866 48.6826132, 9.0151861 48.6826521, 9.0154272 48.6827464, 9.0159954 48.6829685, 9.0160055 48.6829725, 9.0166627 48.6832321, 9.016719 48.6832525, 9.0167764 48.6832725)",6,,,
"[31127120, 836816195]",,Klaffensteinstraße,secondary,50,False,True,80.464,"LINESTRING (9.0150866 48.6826132, 9.0151003 48.6825565, 9.0151248 48.6824085, 9.015139 48.6822977, 9.0151513 48.6821466, 9.0151385 48.6820244, 9.0151135 48.6818931)","['8.6', '8.3']",L 1185,,
31127157,1,Poststraße,secondary,30,True,False,23.222,"LINESTRING (9.0140178 48.6839523, 9.0139966 48.6840024, 9.0139862 48.6840164, 9.0139374 48.6840595, 9.0139039 48.6840949, 9.0138886 48.68411, 9.0138677 48.6841338)",4.3,,,
"[836816192, 836816196]",2,Klaffensteinstraße,secondary,30,False,True,56.823,"LINESTRING (9.0140178 48.6839523, 9.0141326 48.6838057, 9.0142418 48.6836663, 9.0143774 48.6834998)",,L 1185,,
41948617,,Poststraße,secondary,30,True,False,51.068000000000005,"LINESTRING (9.0138677 48.6841338, 9.0138691 48.6842206, 9.0138694 48.6842435, 9.0138697 48.6842589, 9.0138732 48.6844812, 9.0138741 48.6845361, 9.0138776 48.684593)",4.7,,,
4962831,1,Sindelfinger Straße,secondary,30,True,False,121.46000000000001,"LINESTRING (9.0151643 48.6857069, 9.014557 48.685894, 9.0141501 48.6860377, 9.0139843 48.6861065, 9.0137067 48.6862207)",5,,,
4962830,,Sindelfinger Straße,secondary,50,False,False,15.196000000000002,"LINESTRING (9.0130877 48.6863704, 9.0130965 48.686442, 9.0130791 48.6865058)",10,,,
5038048,1,Stadtgrabenstraße,secondary,50,True,False,138.642,"LINESTRING (9.0130877 48.6863704, 9.0128978 48.6863633, 9.0124228 48.6863438, 9.012054 48.686297, 9.0116791 48.686237, 9.0114966 48.6861994, 9.0112388 48.6861464)",9.2,,,
385682160,,Turmstraße,residential,30,False,False,52.402,"LINESTRING (9.0130877 48.6863704, 9.0130089 48.686165, 9.0129805 48.6861258, 9.0129587 48.6861029, 9.0128008 48.6859454)",3.5,,,
41948775,4,Friedrich-List-Straße,secondary,50,False,False,56.85,"LINESTRING (9.01155 48.6877601, 9.0114404 48.6877228, 9.0113398 48.6876847, 9.0111923 48.6876272, 9.0110245 48.6875397, 9.010908 48.6874773)",,K 1055,,
"[218178275, 708462299, 4962830]",3,Sindelfinger Straße,secondary,50,False,True,71.86,"LINESTRING (9.01155 48.6877601, 9.0116134 48.6876975, 9.0116393 48.6876725, 9.0116711 48.6876413, 9.012001 48.6873235, 9.0121085 48.6872295)",10,,,
