osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,ref,width,lanes,junction
4272873,Burgstraße,residential,False,False,184.80999999999997,"LINESTRING (9.8520243 52.234871, 9.8520582 52.2351062, 9.8520828 52.2351505, 9.8520942 52.2351625, 9.852121 52.2351906, 9.8521702 52.2352157, 9.8522194 52.2352299, 9.8523136 52.2352508, 9.8523955 52.2352651, 9.8524788 52.2352809, 9.8525416 52.2353019, 9.8525853 52.2353295, 9.8526194 52.2353746, 9.8526268 52.2353991, 9.8526331 52.2354198, 9.8526375 52.2355589, 9.8526376 52.235628, 9.8526481 52.2356673, 9.852671 52.2357037, 9.8527451 52.2357676, 9.8532799 52.2362093)",,,,,,
440940213,Burgstraße,residential,False,True,89.746,"LINESTRING (9.8520243 52.234871, 9.8519938 52.2347544, 9.8519403 52.2345503, 9.8519395 52.2344404, 9.8519354 52.234068)",30,,,,,
"[4272653, 4272654, 4289746, 4289748, 4289750, 143885560, 1011282302]","['Hahnenstein', 'Eulenstraße', 'Vor der Kirche', 'Lappenberg']",residential,True,False,566.709,"LINESTRING (9.8521223 52.2340637, 9.8521508 52.234028, 9.8522178 52.2337551, 9.8522732 52.2336379, 9.8523516 52.2334721, 9.8525188 52.2330621, 9.8526336 52.2325583, 9.852652 52.2325054, 9.8526858 52.232464, 9.8527329 52.2324444, 9.8527862 52.2324368, 9.8528492 52.2324444, 9.8539531 52.23265, 9.8545059 52.2327462, 9.8548376 52.2328271, 9.8549963 52.2328757, 9.8550939 52.2329123, 9.8551206 52.2329437, 9.8551023 52.2330137, 9.8550606 52.2330902, 9.8549343 52.2332322, 9.8548264 52.2333158, 9.8545752 52.2334741, 9.8544507 52.2335611, 9.8544339 52.2335828, 9.8544313 52.2336296, 9.8544589 52.233771, 9.8545385 52.2338973, 9.8546794 52.2340013, 9.8547171 52.2340266, 9.8549016 52.2341504, 9.8551425 52.2342664, 9.8553619 52.2343423, 9.8554676 52.2343726)",30,,,,,
289798135,Steinstraße,residential,False,True,12.963,"LINESTRING (9.8521223 52.2340637, 9.8520617 52.2340753, 9.8519354 52.234068)",30,,,,,
289798135,Steinstraße,residential,False,False,12.963,"LINESTRING (9.8519354 52.234068, 9.8520617 52.2340753, 9.8521223 52.2340637)",30,,,,,
440940213,Burgstraße,residential,False,False,89.746,"LINESTRING (9.8519354 52.234068, 9.8519395 52.2344404, 9.8519403 52.2345503, 9.8519938 52.2347544, 9.8520243 52.234871)",30,,,,,
"[4349322, 35352675, 35352676, 440940221]","['Holztorstraße', 'Steinstraße']",residential,False,True,124.739,"LINESTRING (9.8519354 52.234068, 9.8516483 52.2340431, 9.8515229 52.2340204, 9.8514472 52.2340064, 9.8510955 52.2339413, 9.8510746 52.2339375, 9.850742 52.2338699, 9.8504741 52.2338181, 9.8501695 52.2337788)",30,yes,,,,
4275894,Friedrich-Ludwig-Jahn-Straße,residential,False,False,56.043,"LINESTRING (9.8501695 52.2337788, 9.8498862 52.234252)",30,,,,,
"[4349322, 35352675, 35352676, 440940221]","['Steinstraße', 'Holztorstraße']",residential,False,False,124.739,"LINESTRING (9.8501695 52.2337788, 9.8504741 52.2338181, 9.850742 52.2338699, 9.8510746 52.2339375, 9.8510955 52.2339413, 9.8514472 52.2340064, 9.8515229 52.2340204, 9.8516483 52.2340431, 9.8519354 52.234068)",30,yes,,,,
143885528,Friedrich-Ludwig-Jahn-Straße,residential,False,True,124.152,"LINESTRING (9.8472607 52.2364874, 9.848312 52.2355752)",,,,,,
