osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,tunnel
4565889,2,B 28;B 462,Stuttgarter Straße,primary,50,False,False,36.476,"LINESTRING (8.4113063 48.4638416, 8.411374 48.4638615, 8.4114178 48.4638747, 8.4114491 48.4638838, 8.4117562 48.463978)",,,
4565894,3,B 462,Martin-Luther-Straße,primary,30,False,True,26.655,"LINESTRING (8.4113063 48.4638416, 8.4112388 48.463934, 8.4112072 48.4639809, 8.4111521 48.4640584)",,,
24666261,2,B 28,Loßburger Straße,primary,50,False,False,35.519,"LINESTRING (8.4113063 48.4638416, 8.4113798 48.4637314, 8.4114236 48.4636736, 8.4115119 48.4635528)",,,
27777366,,,Hofstraße,living_street,,False,True,118.733,"LINESTRING (8.4139185 48.4645895, 8.413225 48.4655532)",,,
297796162,2,B 28;B 462,Stuttgarter Straße,primary,30,False,False,17.930999999999997,"LINESTRING (8.4139185 48.4645895, 8.4140299 48.4645971, 8.414161 48.4646007)",,,
616924749,3,B 28;B 462,Stuttgarter Straße,primary,30,False,True,25.053,"LINESTRING (8.4139185 48.4645895, 8.4137638 48.4645586, 8.4135966 48.4645177)",,,
1021526286,2,B 28;B 462,Stuttgarter Straße,primary,30,False,True,21.083,"LINESTRING (8.4144431 48.4645697, 8.414161 48.4646007)",,,
28855029,2,B 28;B 462,Stuttgarter Straße,primary,30,False,False,37.184,"LINESTRING (8.4144431 48.4645697, 8.4145908 48.4645367, 8.414921 48.4644629)",,,
"[26752716, 42376268]",,,Musbacher Straße,residential,,True,False,122.671,"LINESTRING (8.416298 48.4643265, 8.4162059 48.4643975, 8.4161824 48.4644336, 8.4161324 48.4645344, 8.416123 48.464589, 8.4161308 48.4646687, 8.41616 48.464737, 8.4161993 48.4648163, 8.4163351 48.4650659, 8.416428 48.4652213, 8.4165044 48.4653543)",,,
297796163,3,B 28;B 462,Stuttgarter Straße,primary,30,False,True,103.613,"LINESTRING (8.416298 48.4643265, 8.4159512 48.4643168, 8.4154867 48.4643503, 8.4152095 48.4643991, 8.414921 48.4644629)",,,
437261430,3,,Bahnhofstraße,tertiary,,False,False,87.918,"LINESTRING (8.416298 48.4643265, 8.4164486 48.4641186, 8.4168143 48.4636138)",,,
27514488,,,Reichsstraße,living_street,,False,False,23.919,"LINESTRING (8.4123853 48.4623032, 8.4120891 48.4622155)",,,
297796156,2,B 28,Loßburger Straße,primary,30,False,False,24.062,"LINESTRING (8.4123853 48.4623032, 8.4125156 48.4621048)",,,
