osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width
37495520,2,Osnabrücker Straße,tertiary,30,False,False,38.199,"LINESTRING (8.162739 52.1141193, 8.1626789 52.113976, 8.1626035 52.113786)",,
"[37495520, 950034496]",2,Osnabrücker Straße,tertiary,"['50', '30']",False,True,137.017,"LINESTRING (8.162739 52.1141193, 8.1628757 52.1144723, 8.163075 52.114983, 8.1632032 52.1153181)",,
"[30090852, 1267361089, 1267357284]",,Amselweg,residential,30,False,False,264.454,"LINESTRING (8.162739 52.1141193, 8.163003 52.1140823, 8.1641559 52.1139261, 8.1650155 52.113807, 8.1656296 52.1137185, 8.1657917 52.1136961, 8.1658826 52.1136876, 8.166098 52.1136929, 8.166271 52.1136927, 8.1665292 52.1136628)",,
26402491,,Salinenstraße,tertiary,30,True,False,19.871,"LINESTRING (8.1642598 52.108956, 8.1643025 52.1089702, 8.1643364 52.1089915, 8.1643585 52.109018, 8.164367 52.1090473, 8.1643609 52.1090768, 8.164341 52.109104)",roundabout,
26402491,,Salinenstraße,tertiary,30,True,False,20.055999999999997,"LINESTRING (8.164341 52.109104, 8.1643085 52.1091265, 8.1642666 52.109142, 8.1642191 52.1091492, 8.1641702 52.1091473, 8.1641245 52.1091366, 8.164086 52.109118)",roundabout,
"[26402497, 73347075, 1087820268, 1087820269, 50374614]",,Bahnhofstraße,tertiary,30,False,False,143.47099999999998,"LINESTRING (8.164341 52.109104, 8.1644552 52.1091409, 8.1645326 52.1091642, 8.1647476 52.109216, 8.1651405 52.1093021, 8.1655321 52.1093724, 8.1659343 52.1094358, 8.1661322 52.1094622, 8.1663416 52.1094816)",,
26402491,,Salinenstraße,tertiary,30,True,False,29.502,"LINESTRING (8.164086 52.109118, 8.1640561 52.1090904, 8.1640426 52.1090583, 8.164047 52.1090252, 8.1640688 52.1089949, 8.1641056 52.1089706, 8.1641533 52.1089551, 8.1642067 52.10895, 8.1642598 52.108956)",roundabout,
"[201313905, 1267357286]",2,Salinenstraße,tertiary,20,False,True,77.532,"LINESTRING (8.164086 52.109118, 8.163885 52.1092127, 8.1637153 52.1092708, 8.163454 52.1093528, 8.1630893 52.1094448)",,
30090850,,Nordstraße,residential,30,True,False,112.5,"LINESTRING (8.1594047 52.1122453, 8.1594476 52.1122729, 8.1595925 52.112322, 8.1603229 52.112512, 8.1608947 52.1126694)",,
231338914,,Parkstraße,residential,30,False,True,191.48199999999997,"LINESTRING (8.1594047 52.1122453, 8.160202 52.111696, 8.1607026 52.1113846, 8.1611186 52.1111261, 8.1612333 52.111081, 8.1613295 52.111063, 8.1613939 52.111059)",,
"[49974882, 1267357275]",,Parkstraße,residential,30,False,False,120.31099999999999,"LINESTRING (8.1594047 52.1122453, 8.1593611 52.1122717, 8.1592632 52.1122949, 8.1592069 52.1123069, 8.1587285 52.112409, 8.1584894 52.11246, 8.1579586 52.1125659, 8.1577562 52.1126163)",,
29994235,,Alte Salzstraße,residential,30,False,False,69.65,"LINESTRING (8.155811 52.1132596, 8.1558392 52.1133322, 8.1559097 52.1135578, 8.1559335 52.1138795)",,
49974877,,Parkstraße,residential,30,False,True,151.712,"LINESTRING (8.155811 52.1132596, 8.1558687 52.1132264, 8.1559523 52.113175, 8.1562968 52.1130602, 8.1566117 52.1129786, 8.1572904 52.1127938, 8.1577562 52.1126163)",,
