osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,lanes,width,junction
28362776,Bassenheimer Straße,residential,30,False,False,81.235,,"LINESTRING (7.492864 50.3830922, 7.4939045 50.3827864)",,,
28215051,Bassenheimer Straße,tertiary,,False,True,73.632,K 88,"LINESTRING (7.492864 50.3830922, 7.493018 50.3832085, 7.4935634 50.3835815)",,,
27757197,Kurfürstenstraße,residential,,False,True,136.747,,"LINESTRING (7.4977106 50.3881943, 7.4958047 50.3883834)",,,
25819350,Kurfürstenstraße,tertiary,,False,False,159.46800000000002,K 65,"LINESTRING (7.4977106 50.3881943, 7.4986827 50.3882688, 7.4987602 50.3882711, 7.498805 50.3882768, 7.4999297 50.3884202)",,,
"[923824648, 28230539, 923824646]",Poststraße,tertiary,,False,False,150.44300000000004,K 88,"LINESTRING (7.4977106 50.3881943, 7.4976049 50.3876666, 7.4975177 50.3872312, 7.4975083 50.3871671, 7.4974948 50.3870743, 7.4974627 50.3869058, 7.4974568 50.3868512)",2,,
"[404033121, 404033122]",Poststraße,residential,"['50', '30']",False,True,232.67600000000004,,"LINESTRING (7.4977106 50.3881943, 7.4979506 50.3893593, 7.4979833 50.3895179, 7.4979749 50.3895773, 7.4979677 50.3896277, 7.4976743 50.390062, 7.4975687 50.3902229)",2,,
272444628,Bahnhofstraße,secondary,50,False,True,152.51800000000003,L 125,"LINESTRING (7.5034032 50.3883512, 7.5033063 50.3881868, 7.5032186 50.3880498, 7.5030856 50.3878737, 7.5029272 50.3877124, 7.5022802 50.3871943)",,,
"[923824644, 923824645, 485524270]",Ringstraße,tertiary,,False,True,257.868,K 65,"LINESTRING (7.5034032 50.3883512, 7.5033441 50.3883678, 7.503227 50.3884002, 7.5021711 50.3886056, 7.5021226 50.3886159, 7.5020764 50.3886258, 7.5016754 50.3887118, 7.5015331 50.3887141, 7.5014549 50.3887153, 7.5007959 50.3886015, 7.5000211 50.3884557, 7.4999297 50.3884202)",2,,
359657199,Winninger Straße,secondary,50,False,False,56.661,L 125,"LINESTRING (7.5007087 50.383757, 7.5010972 50.3842023)",2,,
25922743,Karthäuserstraße,living_street,,True,False,122.26700000000001,,"LINESTRING (7.5007087 50.383757, 7.5006385 50.3837712, 7.500569 50.3837665, 7.5003742 50.3836821, 7.5000295 50.3835584, 7.499232 50.3833295, 7.4991663 50.3833061)",,4,
359657199,Winninger Straße,secondary,50,False,True,117.632,L 125,"LINESTRING (7.501735 50.3851789, 7.5010972 50.3842023)",2,,
516538272,Antoniusstraße,residential,,False,False,59.431,,"LINESTRING (7.501735 50.3851789, 7.5025717 50.3852112)",,,
28341121,Antoniusstraße,living_street,,False,True,87.17,,"LINESTRING (7.501735 50.3851789, 7.5015481 50.3852155, 7.5006214 50.3855079)",,,
359657199,Winninger Straße,secondary,50,False,False,63.998999999999995,L 125,"LINESTRING (7.501735 50.3851789, 7.5018886 50.3854881, 7.5019514 50.3856328, 7.5019755 50.3857327)",2,,
25922744,Rübenacher Straße,residential,,False,True,71.506,,"LINESTRING (7.4991663 50.3833061, 7.4991248 50.3833586, 7.4986825 50.3838703)",,3,
25922744,Rübenacher Straße,residential,,False,False,26.451,,"LINESTRING (7.4983813 50.3841783, 7.4985823 50.3839779)",,3,
25922748,Bachstraße,residential,,False,True,89.521,,"LINESTRING (7.4983813 50.3841783, 7.4979559 50.3839764, 7.4978423 50.3839533, 7.4976489 50.3839702, 7.4974676 50.3840149, 7.4972863 50.3840982)",,,
404034003,Rübenacher Straße,residential,,True,False,108.19,,"LINESTRING (7.4983813 50.3841783, 7.4986206 50.3843186, 7.4987765 50.3844279, 7.4989177 50.3846086, 7.4993149 50.3849387)",,,
25922748,Bachstraße,residential,,False,False,89.521,,"LINESTRING (7.4972863 50.3840982, 7.4974676 50.3840149, 7.4976489 50.3839702, 7.4978423 50.3839533, 7.4979559 50.3839764, 7.4983813 50.3841783)",,,
28320506,Bachstraße,residential,,False,False,163.908,,"LINESTRING (7.4972863 50.3840982, 7.4977649 50.3843355, 7.4979383 50.3845218, 7.498076 50.3847343, 7.4981036 50.3848322, 7.4982727 50.385263, 7.4983101 50.3853574)",,,
1064637423,Hoorweiherstraße,residential,,False,False,170.83,,"LINESTRING (7.4972863 50.3840982, 7.4969919 50.3837422, 7.4959373 50.3828293)",,4,
25922747,Hoorweiherstraße,residential,,False,False,42.377,,"LINESTRING (7.4959373 50.3828293, 7.4956211 50.3825059)",,4,
28320060,Mühlenstraße,living_street,,False,False,42.732,,"LINESTRING (7.4959373 50.3828293, 7.4957672 50.3829163, 7.4956401 50.3829471, 7.4954073 50.3830028)",,,
495005038,Mühlenstraße,residential,,False,True,62.833,,"LINESTRING (7.4959373 50.3828293, 7.4962927 50.3826653, 7.4966282 50.3824765)",,,
1064637423,Hoorweiherstraße,residential,,False,True,170.83,,"LINESTRING (7.4959373 50.3828293, 7.4969919 50.3837422, 7.4972863 50.3840982)",,4,
25922747,Hoorweiherstraße,residential,,False,True,42.377,,"LINESTRING (7.4956211 50.3825059, 7.4959373 50.3828293)",,4,
"[28213153, 28214388]","['Mülheimer Straße', 'Kärlicher Straße']",residential,,False,False,218.18200000000002,,"LINESTRING (7.4917142 50.3868211, 7.4923252 50.3868216, 7.4929091 50.386828, 7.4933539 50.3868095, 7.4943677 50.3867895, 7.4947892 50.3868068)",,,
28214388,Mülheimer Straße,residential,,False,True,87.617,,"LINESTRING (7.4917142 50.3868211, 7.4913967 50.3868122, 7.490956 50.3868346, 7.4904833 50.3868698)",,,
28215781,Im Pfaffenacker,living_street,,False,False,252.524,,"LINESTRING (7.4917142 50.3868211, 7.4917029 50.386263, 7.4916926 50.3862118, 7.4916715 50.3861073, 7.4910608 50.3852275, 7.4908317 50.3849192, 7.4906067 50.3847113)",,,
28213153,Kärlicher Straße,residential,,False,True,137.018,,"LINESTRING (7.4974568 50.3868512, 7.4972743 50.3868509, 7.4972518 50.3868509, 7.4961507 50.3868672, 7.4955257 50.3868424)",,,
28320888,Kapellenstraße,residential,,True,False,114.008,,"LINESTRING (7.4974568 50.3868512, 7.4979762 50.3867793, 7.4980566 50.3867554, 7.4986289 50.3865894, 7.4989558 50.3864946)",,,
824962552,Bassenheimer Straße,tertiary,,False,False,67.01,K 88,"LINESTRING (7.4974568 50.3868512, 7.4972564 50.3863275, 7.4971824 50.3862849)",,,
"[923824648, 28230539, 923824646]",Poststraße,tertiary,,False,True,150.443,K 88,"LINESTRING (7.4974568 50.3868512, 7.4974627 50.3869058, 7.4974948 50.3870743, 7.4975083 50.3871671, 7.4975177 50.3872312, 7.4976049 50.3876666, 7.4977106 50.3881943)",2,,
28213153,Kärlicher Straße,residential,,False,False,52.399,,"LINESTRING (7.4947892 50.3868068, 7.4952587 50.3868376, 7.4955257 50.3868424)",,,
"[28213153, 28214388]","['Mülheimer Straße', 'Kärlicher Straße']",residential,,False,True,218.18200000000002,,"LINESTRING (7.4947892 50.3868068, 7.4943677 50.3867895, 7.4933539 50.3868095, 7.4929091 50.386828, 7.4923252 50.3868216, 7.4917142 50.3868211)",,,
28214890,Brunnenstraße,living_street,,False,True,156.102,,"LINESTRING (7.4947892 50.3868068, 7.4948113 50.3868954, 7.4949391 50.3874086, 7.4948534 50.3874547, 7.4948454 50.3874668, 7.4948027 50.3875315, 7.4947531 50.3875642, 7.4946775 50.3875943, 7.4938559 50.3877142)",,,
28322768,Bergpflege,living_street,,False,True,12.902,,"LINESTRING (7.4921671 50.387961, 7.4922084 50.388074)",,,
495033170,Bergpflege,living_street,,False,False,73.914,,"LINESTRING (7.4921671 50.387961, 7.4931823 50.3878097)",,,
28322768,Bergpflege,living_street,,False,False,39.337,,"LINESTRING (7.4921671 50.387961, 7.4921048 50.3878503, 7.4920772 50.3876148)",,,
28213153,Kärlicher Straße,residential,,False,False,137.018,,"LINESTRING (7.4955257 50.3868424, 7.4961507 50.3868672, 7.4972518 50.3868509, 7.4972743 50.3868509, 7.4974568 50.3868512)",,,
28213153,Kärlicher Straße,residential,,False,True,52.399,,"LINESTRING (7.4955257 50.3868424, 7.4952587 50.3868376, 7.4947892 50.3868068)",,,
28214891,Gartenstraße,residential,30,False,False,64.47,,"LINESTRING (7.4955257 50.3868424, 7.4955536 50.3869953, 7.4956309 50.3874183)",,,
27757197,Kurfürstenstraße,residential,,False,False,136.747,,"LINESTRING (7.4958047 50.3883834, 7.4977106 50.3881943)",,,
27757197,Kurfürstenstraße,residential,,False,True,4.637,,"LINESTRING (7.4958047 50.3883834, 7.4957397 50.388388)",,,
28214891,Gartenstraße,residential,30,False,True,108.02,,"LINESTRING (7.4958047 50.3883834, 7.4957922 50.3883142, 7.4956309 50.3874183)",,,
28214388,Mülheimer Straße,residential,,False,False,87.617,,"LINESTRING (7.4904833 50.3868698, 7.490956 50.3868346, 7.4913967 50.3868122, 7.4917142 50.3868211)",,,
501259053,Auf dem Nippes,living_street,,False,False,45.267,,"LINESTRING (7.4910943 50.3844485, 7.4906067 50.3847113)",,,
279382005,Auf dem Nippes,living_street,,False,True,32.68,,"LINESTRING (7.4910943 50.3844485, 7.4912298 50.3844423, 7.4913925 50.3844534, 7.4915513 50.3844719)",,,
28215051,Bassenheimer Straße,tertiary,,False,False,179.088,K 88,"LINESTRING (7.4952509 50.3847799, 7.4935634 50.3835815)",,,
28215666,Luisenstraße,living_street,,False,False,82.105,,"LINESTRING (7.4952509 50.3847799, 7.4946447 50.3848182, 7.494097 50.3848408)",,,
824962552,Bassenheimer Straße,tertiary,,False,True,97.43100000000001,K 88,"LINESTRING (7.4952509 50.3847799, 7.495491 50.3849537, 7.4957023 50.3851066, 7.4961924 50.3854175)",,,
28215666,Luisenstraße,living_street,,False,False,186.036,,"LINESTRING (7.494097 50.3848408, 7.4935904 50.3848115, 7.4930888 50.3847646, 7.4926609 50.3847115, 7.4922697 50.3846386, 7.4919386 50.3845683, 7.4915513 50.3844719)",,,
28215666,Luisenstraße,living_street,,False,True,82.105,,"LINESTRING (7.494097 50.3848408, 7.4946447 50.3848182, 7.4952509 50.3847799)",,,
