osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,bridge,geometry,width
5005301,True,2,Ludwigstraße,residential,20,False,52.75,,,"LINESTRING (11.0244563 49.3289268, 11.0237314 49.3289699)",
144223459,False,2,Ludwigstraße,secondary,50,True,14.727,B 2,,"LINESTRING (11.0244563 49.3289268, 11.0246548 49.3288984)",
"[38527683, 144223460, 38527686, 583517519, 5003191]",False,"['2', '3']",Nördliche Ringstraße,primary,50,False,201.66099999999997,B 2,yes,"LINESTRING (11.0244563 49.3289268, 11.0245027 49.3292584, 11.0245663 49.3299959, 11.0245703 49.3300399, 11.0245791 49.3301377, 11.0246003 49.3303674, 11.0246085 49.3305492, 11.0246156 49.3306208, 11.0246273 49.3307367)",
37370208,False,2,Südliche Ringstraße,primary,50,True,102.642,B 466,,"LINESTRING (11.0244563 49.3289268, 11.0243819 49.3287722, 11.0242653 49.328641, 11.0241524 49.3285139, 11.0239514 49.3282586, 11.0237792 49.3281235)",
5005305,True,1,Neutorstraße,residential,20,False,45.707,,,"LINESTRING (11.0246273 49.3307367, 11.0244487 49.3306801, 11.0240214 49.330638)",
5013115,True,1,Limbacher Straße,secondary,50,False,134.785,,,"LINESTRING (11.0246273 49.3307367, 11.0254987 49.3308595, 11.0255807 49.330871, 11.0257056 49.3308886, 11.0259618 49.3309326, 11.0261252 49.33098, 11.0263716 49.3311058)",
"[38527683, 144223460, 38527686, 583517519, 5003191]",False,"['2', '3']",Nördliche Ringstraße,primary,50,True,201.66100000000003,B 2,yes,"LINESTRING (11.0246273 49.3307367, 11.0246156 49.3306208, 11.0246085 49.3305492, 11.0246003 49.3303674, 11.0245791 49.3301377, 11.0245703 49.3300399, 11.0245663 49.3299959, 11.0245027 49.3292584, 11.0244563 49.3289268)",
"[583517520, 583517521]",False,"['2', '3']",Nördliche Ringstraße,primary,50,False,180.75,B 2,,"LINESTRING (11.0246273 49.3307367, 11.0245866 49.3308134, 11.024533 49.3308969, 11.0242891 49.3310998, 11.024093 49.3312439, 11.0230713 49.3319947)",
112978441,False,2,Nördliche Ringstraße,primary,50,True,24.253,B 2,,"LINESTRING (11.0228435 49.3321545, 11.0230713 49.3319947)",
112978439,False,2,Nördliche Ringstraße,primary,50,False,69.97800000000001,B 2,,"LINESTRING (11.0228435 49.3321545, 11.0225181 49.332352, 11.0222773 49.3324479, 11.02207 49.3325252)",
5005361,False,2,Nürnberger Straße,primary,50,False,12.188,B 2,,"LINESTRING (11.02207 49.3325252, 11.0219221 49.3325774)",
112978439,False,2,Nördliche Ringstraße,primary,50,True,69.97800000000001,B 2,,"LINESTRING (11.02207 49.3325252, 11.0222773 49.3324479, 11.0225181 49.332352, 11.0228435 49.3321545)",
37370208,False,2,Südliche Ringstraße,primary,50,False,102.642,B 466,,"LINESTRING (11.0237792 49.3281235, 11.0239514 49.3282586, 11.0241524 49.3285139, 11.0242653 49.328641, 11.0243819 49.3287722, 11.0244563 49.3289268)",
149788913,False,,Eisentrautstraße,tertiary,50,False,73.53699999999999,,,"LINESTRING (11.0237792 49.3281235, 11.0238414 49.3280763, 11.0243766 49.3279574, 11.0247216 49.3279062)",7.3
329456037,False,2,Südliche Ringstraße,primary,50,True,68.991,B 466,,"LINESTRING (11.0237792 49.3281235, 11.0235512 49.3280122, 11.0232427 49.3278902, 11.0229808 49.3277867)",
5005329,False,3,Schillerstraße,tertiary,50,False,28.155,,,"LINESTRING (11.0218072 49.327387, 11.0217984 49.3273015, 11.0218077 49.3271341)",
5005331,False,3,Rathausgasse,residential,20,False,52.995,,,"LINESTRING (11.0218072 49.327387, 11.0217869 49.327554, 11.0217494 49.3278621)",
31361861,False,3,Südliche Ringstraße,primary,50,False,96.083,B 466,,"LINESTRING (11.0218072 49.327387, 11.0220216 49.3274526, 11.0223951 49.327563, 11.0229808 49.3277867)",
58913894,False,3,Südliche Ringstraße,primary,50,True,30.652,B 466,,"LINESTRING (11.0218072 49.327387, 11.0216566 49.3273792, 11.0213866 49.3274001)",
"[329456041, 5003210, 583517522, 58913894]",False,"['2', '3']",Südliche Ringstraße,primary,50,False,312.22,B 466,,"LINESTRING (11.0172768 49.3281324, 11.0175542 49.3281358, 11.0178484 49.328131, 11.0181246 49.3280581, 11.0184301 49.3279631, 11.0190157 49.3277932, 11.0196298 49.3276447, 11.0200327 49.3275575, 11.0202292 49.3275109, 11.020643 49.3274593, 11.0210001 49.3274309, 11.0210597 49.3274261, 11.0213866 49.3274001)",
47006347,False,2,Zöllnertorstraße,residential,20,True,71.457,,,"LINESTRING (11.0172768 49.3281324, 11.0172784 49.3285253, 11.0174097 49.3287599)",
95661985,False,2,Reichswaisenhausstraße,secondary,50,True,194.108,St 2239,,"LINESTRING (11.0172768 49.3281324, 11.0170896 49.3281339, 11.0161535 49.3282647, 11.0157834 49.3283164, 11.0156883 49.3283297, 11.0146399 49.3284231)",
