osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
15908349,Hauptstraße,residential,50,False,False,27.536,"LINESTRING (9.5908235 49.8940283, 9.5907316 49.8940008, 9.5906764 49.8939744, 9.5906057 49.8939268, 9.5905586 49.8938613)",,
15908349,Hauptstraße,residential,50,False,True,27.536,"LINESTRING (9.5905586 49.8938613, 9.5906057 49.8939268, 9.5906764 49.8939744, 9.5907316 49.8940008, 9.5908235 49.8940283)",,
"[606446634, 386838325]",Hauptstraße,residential,"['50', '30']",False,False,42.11,"LINESTRING (9.5905586 49.8938613, 9.5905459 49.8937951, 9.5905686 49.8937006, 9.5907082 49.8935038)",,
606446625,Mainstraße,residential,,False,True,24.747,"LINESTRING (9.5907082 49.8935038, 9.5909232 49.8935394, 9.5910465 49.8935352)",,
"[606446634, 386838326]",Hauptstraße,residential,30,False,False,193.47299999999998,"LINESTRING (9.5907082 49.8935038, 9.5908713 49.8933041, 9.591181 49.8929608, 9.5912848 49.8927754, 9.5914103 49.8925431, 9.5914987 49.892402, 9.5916037 49.8922548, 9.5916785 49.8921835, 9.5919154 49.891956)",,
"[606446634, 386838325]",Hauptstraße,residential,"['50', '30']",False,True,42.11,"LINESTRING (9.5907082 49.8935038, 9.5905686 49.8937006, 9.5905459 49.8937951, 9.5905586 49.8938613)",,
60202909,Mainstraße,residential,,False,False,27.962,"LINESTRING (9.5923112 49.8916507, 9.5926648 49.8917572)",,
606446628,Hauptstraße,residential,,False,True,16.114,"LINESTRING (9.5923112 49.8916507, 9.5921607 49.8917584)",,
"[606446628, 15908351]",Hauptstraße,residential,,False,False,516.451,"LINESTRING (9.5923112 49.8916507, 9.5924422 49.8912062, 9.5925975 49.8909223, 9.5926299 49.8908942, 9.5927693 49.8907731, 9.5929234 49.8906263, 9.5932777 49.8903442, 9.5935708 49.8901256, 9.5941429 49.8896619, 9.5943095 49.8894956, 9.5944565 49.8892767, 9.5947224 49.8886934, 9.5949517 49.8882503, 9.5950645 49.8880159, 9.5950821 49.8879228, 9.595077 49.887833, 9.595057 49.8877461, 9.5950128 49.8876749, 9.5949167 49.8876058, 9.5948037 49.8875597)",,
"[606446628, 15908351]",Hauptstraße,residential,,False,True,516.451,"LINESTRING (9.5948037 49.8875597, 9.5949167 49.8876058, 9.5950128 49.8876749, 9.595057 49.8877461, 9.595077 49.887833, 9.5950821 49.8879228, 9.5950645 49.8880159, 9.5949517 49.8882503, 9.5947224 49.8886934, 9.5944565 49.8892767, 9.5943095 49.8894956, 9.5941429 49.8896619, 9.5935708 49.8901256, 9.5932777 49.8903442, 9.5929234 49.8906263, 9.5927693 49.8907731, 9.5926299 49.8908942, 9.5925975 49.8909223, 9.5924422 49.8912062, 9.5923112 49.8916507)",,
"[15912736, 15912738, 64972261, 64972264, 387025021, 955451838]","['Am Schnössert', 'Bergrothenfelser Straße']","['unclassified', 'tertiary']",50,False,False,743.4959999999999,"LINESTRING (9.5948037 49.8875597, 9.5944747 49.8880389, 9.5939449 49.8886901, 9.5936449 49.8889598, 9.5933471 49.8891815, 9.5926167 49.8897027, 9.5921211 49.8900595, 9.5916823 49.8903522, 9.5914709 49.8904648, 9.5903337 49.8907819, 9.5896563 49.8909239, 9.5888845 49.8911384, 9.588684 49.8911955, 9.5885097 49.8912442, 9.5880507 49.8913884, 9.5878461 49.8914527, 9.5876919 49.8915011, 9.5871537 49.8916774)",MSP 25,
"[15912736, 15912738, 64972261, 64972264, 387025021, 955451838]","['Am Schnössert', 'Bergrothenfelser Straße']","['unclassified', 'tertiary']",50,False,True,743.496,"LINESTRING (9.5871537 49.8916774, 9.5876919 49.8915011, 9.5878461 49.8914527, 9.5880507 49.8913884, 9.5885097 49.8912442, 9.588684 49.8911955, 9.5888845 49.8911384, 9.5896563 49.8909239, 9.5903337 49.8907819, 9.5914709 49.8904648, 9.5916823 49.8903522, 9.5921211 49.8900595, 9.5926167 49.8897027, 9.5933471 49.8891815, 9.5936449 49.8889598, 9.5939449 49.8886901, 9.5944747 49.8880389, 9.5948037 49.8875597)",MSP 25,
"[18795576, 1067282323, 18795573, 18795574]","['An der Steige', 'Bergrothenfelser Straße']",residential,50,False,True,230.64199999999997,"LINESTRING (9.5871537 49.8916774, 9.5872248 49.8917211, 9.5873688 49.891821, 9.5876463 49.8920312, 9.5877054 49.8921096, 9.5877108 49.8922298, 9.5877044 49.8925234, 9.5876884 49.8925718, 9.5876515 49.8926104, 9.5875122 49.8926988, 9.587243 49.8927163, 9.5869014 49.8927492, 9.5863856 49.8928269, 9.5861841 49.8928759)",,yes
387501807,Marquard-von-Grumbach-Straße,residential,30,False,True,59.946,"LINESTRING (9.5865505 49.8933747, 9.5857966 49.8936087)",,
28998718,Marquard-von-Grumbach-Straße,residential,30,False,False,67.01599999999999,"LINESTRING (9.5865505 49.8933747, 9.5865416 49.8933401, 9.5865928 49.8932956, 9.5865938 49.8932567, 9.5865305 49.8931339, 9.5864097 49.8930108, 9.5861841 49.8928759)",,
