osmid,oneway,name,highway,reversed,length,geometry,maxspeed,width,lanes,ref,junction,access
113311210,True,Gartenstraße,living_street,False,60.225,"LINESTRING (12.876821 52.6048079, 12.8769582 52.6049765, 12.8769894 52.6049986, 12.877083 52.605004, 12.8775228 52.6050154)",,,,,,
135968591,False,Berliner Straße,tertiary,False,124.394,"LINESTRING (12.876821 52.6048079, 12.8772179 52.6046756, 12.877577 52.6045559, 12.877777 52.6044556, 12.8778862 52.6043959, 12.8779834 52.6043351, 12.878034 52.6043025, 12.8781173 52.6042572, 12.8781999 52.6042333, 12.8783516 52.6042094)",30,,,,,
135968591,False,Berliner Straße,tertiary,True,37.007000000000005,"LINESTRING (12.876821 52.6048079, 12.8765513 52.6048843, 12.8764642 52.6049089, 12.8763243 52.6049485)",30,,,,,
22757289,True,Mittelstraße,residential,False,41.787,"LINESTRING (12.8763243 52.6049485, 12.8763796 52.6050488, 12.8764482 52.6053156)",20,,,,,
135968591,False,Berliner Straße,tertiary,False,37.007000000000005,"LINESTRING (12.8763243 52.6049485, 12.8764642 52.6049089, 12.8765513 52.6048843, 12.876821 52.6048079)",30,,,,,
443059265,False,Berliner Straße,tertiary,True,141.005,"LINESTRING (12.8763243 52.6049485, 12.8760684 52.6049796, 12.8743791 52.6051246, 12.8742593 52.6051349)",30,,,,,
6631140,False,Heinrich-Heine-Straße,residential,False,157.986,"LINESTRING (12.8705441 52.6072587, 12.8704777 52.6071975, 12.8704398 52.6071348, 12.8702259 52.6064086, 12.8700684 52.6058741)",50,,,,,
35608496,False,Hamburger Straße,tertiary,True,149.54399999999998,"LINESTRING (12.8705441 52.6072587, 12.870856 52.6071183, 12.8710197 52.6070324, 12.8712116 52.6069318, 12.8715152 52.6067511, 12.8721755 52.6063522)",50,,,,,
5032147,False,Otto-Heese-Straße,residential,False,52.801,"LINESTRING (12.8769034 52.6098303, 12.8765452 52.6094082)",30,,,,,
23036959,False,Sankt-Georgen-Straße,residential,False,89.84100000000001,"LINESTRING (12.8769034 52.6098303, 12.8769726 52.6098045, 12.8780724 52.6094446)",30,,,,,
5032147,False,Otto-Heese-Straße,residential,True,52.801,"LINESTRING (12.8765452 52.6094082, 12.8769034 52.6098303)",30,,,,,
5032152,False,Goethestraße,residential,False,55.18,"LINESTRING (12.8765452 52.6094082, 12.8762232 52.6089521)",30,,,,,
1124833143,False,Parkstraße,residential,False,145.186,"LINESTRING (12.8765452 52.6094082, 12.8757233 52.6094679, 12.8744142 52.6093542)",30,,,,,
"[1124806103, 1124833143]",False,Parkstraße,residential,True,182.929,"LINESTRING (12.8765452 52.6094082, 12.8766623 52.6093945, 12.877954 52.6089904, 12.8781235 52.6089304, 12.8789978 52.6087197)",30,,,,,
5032145,False,Scheunenweg,residential,True,110.362,"LINESTRING (12.8740583 52.6093027, 12.873986 52.609253, 12.873935 52.6091731, 12.8738922 52.6090956, 12.8737801 52.6088926, 12.873495 52.6083762)",30,6,,,,
1124833143,False,Parkstraße,residential,True,24.859,"LINESTRING (12.8740583 52.6093027, 12.8741911 52.6093344, 12.8744142 52.6093542)",30,,,,,
5032152,False,Goethestraße,residential,False,3.703,"LINESTRING (12.8760687 52.6087433, 12.8760449 52.6087133)",30,,,,,
5032152,False,Goethestraße,residential,True,25.454,"LINESTRING (12.8760687 52.6087433, 12.8762232 52.6089521)",30,,,,,
44060116,False,Kreuztaler Straße,residential,False,6.769,"LINESTRING (12.8815008 52.6071393, 12.8815683 52.6070943)",30,,,,,
23814300,True,Gartenstraße,primary,False,160.77700000000002,"LINESTRING (12.8815008 52.6071393, 12.8813841 52.6069417, 12.8811499 52.6065451, 12.8810898 52.6064646, 12.8810281 52.6063771, 12.8808396 52.606177, 12.880698 52.6060367, 12.8804627 52.6058489)",50,,1,B 273,,
