osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,maxspeed,junction
43829172,NEA 43,Rothenburger Straße,tertiary,False,True,43.906,"LINESTRING (10.3211893 49.4537723, 10.3205965 49.4536862)",,,
73198142,,Am Unteren Bahnhof,residential,False,False,88.63400000000001,"LINESTRING (10.3211893 49.4537723, 10.3206504 49.4541191, 10.3206422 49.4541233, 10.3205663 49.454161, 10.3204633 49.4541883, 10.320335 49.4541897, 10.3202138 49.4541787)",,,
73198144,NEA 43,Rothenburger Straße,tertiary,False,False,17.808,"LINESTRING (10.3211893 49.4537723, 10.3213155 49.453758, 10.3213227 49.4537552, 10.3214229 49.4537259)",,,
27940211,,Hochbacher Straße,unclassified,False,False,25.429000000000002,"LINESTRING (10.3214229 49.4537259, 10.3214943 49.4538156, 10.3215148 49.4539426)",,,
"[34701848, 59428654]",NEA 43,Rothenburger Straße,tertiary,False,False,76.35,"LINESTRING (10.3214229 49.4537259, 10.3215376 49.4536602, 10.321905 49.4532726, 10.3219316 49.4532427, 10.3220086 49.4531591)",,,
73198144,NEA 43,Rothenburger Straße,tertiary,False,True,17.808,"LINESTRING (10.3214229 49.4537259, 10.3213227 49.4537552, 10.3213155 49.453758, 10.3211893 49.4537723)",,,
34746756,NEA 52,Friedenseicheplatz,tertiary,False,True,36.248,"LINESTRING (10.3244994 49.4504069, 10.3243614 49.4500935)",,,
34701502,NEA 43,Windsheimer Straße,tertiary,False,True,46.114999999999995,"LINESTRING (10.3244994 49.4504069, 10.3243849 49.4504549, 10.3243294 49.4505854, 10.3243017 49.4507753)",,,
48116815,NEA 43,Windsheimer Straße,tertiary,False,False,32.889,"LINESTRING (10.3244994 49.4504069, 10.3247512 49.4503681, 10.3249346 49.4503228)",,,
25975435,NEA 43,Schloßgasse,tertiary,False,False,54.417,"LINESTRING (10.3249346 49.4503228, 10.3250774 49.4502125, 10.3252391 49.4499927, 10.3253053 49.4499007)",,,
25975436,NEA 52,Windsheimer Straße,tertiary,False,False,167.57999999999998,"LINESTRING (10.3249346 49.4503228, 10.3251053 49.4503615, 10.3266911 49.4507798, 10.3268883 49.4508616, 10.3270319 49.4509446)",,,
48116815,NEA 43,Windsheimer Straße,tertiary,False,True,32.889,"LINESTRING (10.3249346 49.4503228, 10.3247512 49.4503681, 10.3244994 49.4504069)",,,
43789742,NEA 43,Bergeler Straße,tertiary,False,False,28.806,"LINESTRING (10.3255141 49.4490153, 10.3256757 49.4487785)",,,
25975435,NEA 43,Schloßgasse,tertiary,False,True,100.27,"LINESTRING (10.3255141 49.4490153, 10.3254673 49.4492625, 10.325449 49.449602, 10.3253053 49.4499007)",,,
"[34746754, 43789718]",,"['Friedenseicheplatz', 'Bergeler Straße']",residential,False,True,119.061,"LINESTRING (10.3255141 49.4490153, 10.32511 49.449141, 10.3246728 49.4493326, 10.3244678 49.4495408, 10.324257 49.4496717)",,,
43789742,NEA 43,Bergeler Straße,tertiary,False,True,28.806,"LINESTRING (10.3256757 49.4487785, 10.3255141 49.4490153)",,,
34746954,,Wassergasse,residential,False,True,195.25900000000001,"LINESTRING (10.3256757 49.4487785, 10.3254896 49.4487371, 10.3252705 49.4486689, 10.3251453 49.4485865, 10.3249189 49.4483132, 10.324787 49.448109, 10.3246348 49.4479108, 10.3245189 49.4477709, 10.324402 49.4476773, 10.3243349 49.4476278, 10.3239987 49.4474955)",,,
