osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,junction,tunnel
177842836,Bismarckstraße,residential,30,False,False,6.444,"LINESTRING (9.4799437 47.6537289, 9.4800263 47.6537451)",,,,
"[57391098, 8041711]","['Katharinenstraße', 'Bismarckstraße']",residential,30,False,"[False, True]",218.065,"LINESTRING (9.4799437 47.6537289, 9.4794948 47.6536378, 9.4785235 47.6534517, 9.4784995 47.6535097, 9.4784386 47.6536564, 9.4783211 47.6539398, 9.4782701 47.6540627, 9.4782104 47.6542128, 9.478143 47.6543821)",,,,
"[539029114, 643712780, 14611166]","['Löwenunterführung', 'Ailinger Straße']",secondary,50,True,False,75.61000000000001,"LINESTRING (9.4817627 47.6541723, 9.4817914 47.6540957, 9.4819415 47.6537352, 9.4819979 47.6536047, 9.4820218 47.6535553, 9.4820577 47.6535251)","['2', '1']",L 328a,,
177842840,Bismarckstraße,residential,30,True,False,140.00099999999998,"LINESTRING (9.4817627 47.6541723, 9.4817162 47.6541207, 9.4811064 47.6539852, 9.4800263 47.6537451)",,,,
14611174,Paulinenstraße,primary,50,True,False,19.427,"LINESTRING (9.4821923 47.6535147, 9.4823504 47.6536532)",1,B 30,,
14611175,Paulinenstraße,secondary,50,True,False,8.951,"LINESTRING (9.4821923 47.6535147, 9.4821701 47.6535938)",1,,,
14611176,Paulinenstraße,secondary,50,False,False,10.148,"LINESTRING (9.4821923 47.6535147, 9.4820577 47.6535251)",,,,
4484366,Kleinebergstraße,residential,30,False,False,92.03399999999999,"LINESTRING (9.4834507 47.6541137, 9.4834728 47.6540484, 9.4835305 47.6537719, 9.48363 47.6532951)",,,,
"[54150936, 1061197254]",Paulinenstraße,primary,50,False,False,97.206,"LINESTRING (9.4834507 47.6541137, 9.4830278 47.6539669, 9.4824109 47.6536812, 9.4823504 47.6536532)","['2', '3']",B 30,,
4272859,Montfortstraße,secondary,50,True,False,114.30300000000001,"LINESTRING (9.4831224 47.652704, 9.483083 47.6527682, 9.4830286 47.6528274, 9.4828645 47.6529521, 9.4826686 47.6531166, 9.482447 47.6533028, 9.4823094 47.6534184, 9.4822484 47.6534697, 9.4821923 47.6535147)",2,B 30,,
