osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access
27077178,,Sandstraße,residential,,False,True,10.669,"LINESTRING (8.0430471 52.1550697, 8.0429103 52.1550232)",,
25556186,2,Bielefelder Straße,tertiary,50,False,False,63.444,"LINESTRING (8.0429103 52.1550232, 8.0434901 52.1545771)",,
25556186,2,Bielefelder Straße,tertiary,50,False,True,42.707,"LINESTRING (8.0429103 52.1550232, 8.0425571 52.1553403)",,
27077178,,Sandstraße,residential,,False,False,10.669,"LINESTRING (8.0429103 52.1550232, 8.0430471 52.1550697)",,
29496277,,Arkadenstraße,residential,20,False,True,134.18200000000002,"LINESTRING (8.0445696 52.1584809, 8.0448288 52.1584844, 8.0452596 52.1584882, 8.0455194 52.1584904, 8.0457378 52.1584923, 8.0457501 52.1584939, 8.0463202 52.1585773, 8.0465035 52.1586264)",,
583049979,,Beckerteichpforte,residential,20,True,False,98.481,"LINESTRING (8.0445696 52.1584809, 8.0446132 52.1583406, 8.0447781 52.1578872, 8.0448514 52.1576844, 8.0448929 52.1576186)",,
301403836,,Sandstraße,residential,30,False,True,53.404999999999994,"LINESTRING (8.0496638 52.1541883, 8.0495009 52.154019, 8.0493049 52.1538658, 8.04916 52.1538676)",,
1123314881,,Schloßstraße,residential,20,False,True,25.94,"LINESTRING (8.0435201 52.1573451, 8.0436919 52.1573444, 8.0438875 52.1573886)",,
30252627,,Osningweg,unclassified,,False,True,160.951,"LINESTRING (8.0397557 52.1535935, 8.040168 52.1535458, 8.0417218 52.1535568, 8.0421074 52.1535624)",,
30411863,2,Münsterstraße,primary,50,False,False,164.809,"LINESTRING (8.0397557 52.1535935, 8.0403417 52.1541987, 8.0404871 52.1543289, 8.0405272 52.1543647, 8.0407962 52.1545591, 8.0411967 52.1547671)",B 51,
"[585675126, 30411862, 30411863]",2,Münsterstraße,primary,50,False,True,218.082,"LINESTRING (8.0397557 52.1535935, 8.039433 52.1533309, 8.0391141 52.1531356, 8.0389939 52.1530693, 8.0385438 52.1528243, 8.0384246 52.1527602, 8.0380303 52.1524421, 8.0378885 52.1522469, 8.0377921 52.1520801)",B 51,
585675126,2,Münsterstraße,primary,50,False,False,68.32300000000001,"LINESTRING (8.0375879 52.1514789, 8.0377062 52.1518737, 8.0377921 52.1520801)",B 51,
31989838,,Rottstraße,residential,,False,True,39.953,"LINESTRING (8.0386463 52.1545574, 8.0388594 52.1546267, 8.0391887 52.1546887)",,
184378470,,Hagenberg,residential,30,False,False,130.099,"LINESTRING (8.0485416 52.1580839, 8.0504292 52.158251)",,
"[38233914, 26578317]",,Hagenberg,residential,"['20', '30']",False,True,101.96300000000001,"LINESTRING (8.0485416 52.1580839, 8.0481436 52.1580311, 8.0476833 52.157931, 8.0474415 52.1578711, 8.0474147 52.1578645, 8.0473019 52.1578395, 8.0472124 52.1578284, 8.0471142 52.1578275)",,yes
32909400,,Arndtstraße,residential,30,False,False,127.70000000000002,"LINESTRING (8.0485416 52.1580839, 8.0487123 52.1581889, 8.0491087 52.1583426, 8.0492796 52.1584194, 8.0495752 52.1585523, 8.0500395 52.1587686)",,yes
31989838,,Rottstraße,residential,,False,False,39.953,"LINESTRING (8.0391887 52.1546887, 8.0388594 52.1546267, 8.0386463 52.1545574)",,
