osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref,bridge,tunnel,width
10260176,1,secondary,50,roundabout,True,False,14.086,"LINESTRING (10.2607737 51.5158363, 10.2607958 51.5158078, 10.2608313 51.5157851, 10.2608766 51.5157706, 10.2609269 51.5157659)",,,,,
10260176,1,secondary,50,roundabout,True,False,14.735,"LINESTRING (10.2609269 51.5157659, 10.2609793 51.5157719, 10.2610254 51.5157884, 10.2610601 51.5158135, 10.2610794 51.5158444)",,,,,
25762404,,residential,30,,False,False,80.486,"LINESTRING (10.2609269 51.5157659, 10.260935 51.5157189, 10.2609523 51.5156603, 10.2610209 51.5150448)",Neutorstraße,,,,
334134288,1,secondary,50,,True,False,57.277,"LINESTRING (10.2599481 51.515871, 10.2606357 51.515847, 10.2607008 51.5158419, 10.2607737 51.5158363)",,L 530,,,
"[503409784, 39269339]",3,secondary,50,,False,True,123.341,"LINESTRING (10.2682581 51.5148611, 10.2681514 51.5149397, 10.268074 51.514977, 10.267938 51.5150123, 10.2678029 51.5150354, 10.2665974 51.5151928)",Ebertring,L 531,,,
"[810218121, 503409801, 544240853, 503282246]","['2', '3']",primary,50,,False,False,129.369,"LINESTRING (10.2563148 51.5086088, 10.2563805 51.5085717, 10.2564741 51.5085289, 10.2565937 51.5084851, 10.2568378 51.5084151, 10.2570403 51.5083749, 10.2572567 51.5083453, 10.2574335 51.5083369, 10.2576487 51.508344, 10.2580724 51.5083895)",Schützenring,B 247,yes,,
"[810218120, 254823209, 810218119]",,primary,50,,False,True,29.85,"LINESTRING (10.2563148 51.5086088, 10.2562328 51.508566, 10.2561102 51.508502, 10.2560274 51.5084568, 10.2560075 51.5084512, 10.255979 51.5084417)",Wolfsgärten,,yes,,
"[22794829, 503282247]","['4', '3']",primary,50,,False,False,76.899,"LINESTRING (10.2604152 51.508638, 10.2604506 51.5086274, 10.2604853 51.5086081, 10.2605446 51.508548, 10.2605566 51.5085276, 10.260603 51.5084608, 10.26071 51.5083022, 10.2608163 51.5081463, 10.2608371 51.5081168, 10.2608993 51.5080251)",Worbiser Straße,B 247,,,
"[25759442, 264898036]",,residential,30,,False,False,115.483,"LINESTRING (10.2604152 51.508638, 10.2604458 51.5086942, 10.2604109 51.5087781, 10.2603534 51.5089201, 10.2603081 51.5090036, 10.2601903 51.5092645, 10.2601103 51.5094079, 10.2599802 51.5096287)",Steintorstraße,,,,
"[503409801, 52908063]","['2', '3']",primary,50,,False,True,165.103,"LINESTRING (10.2604152 51.508638, 10.2603654 51.5086488, 10.2603028 51.5086519, 10.2602282 51.5086462, 10.260181 51.5086402, 10.2600461 51.5086236, 10.259715 51.5085832, 10.2580724 51.5083895)",Schützenring,B 247,,,
"[810218120, 254823209, 810218119]",,primary,50,,False,False,29.85,"LINESTRING (10.255979 51.5084417, 10.2560075 51.5084512, 10.2560274 51.5084568, 10.2561102 51.508502, 10.2562328 51.508566, 10.2563148 51.5086088)",Wolfsgärten,,yes,,
24954908,,living_street,,,False,False,9.182,"LINESTRING (10.2643541 51.5130347, 10.264227 51.513011)",Marktstraße,,,,
705250649,,residential,30,,False,False,48.507,"LINESTRING (10.2643541 51.5130347, 10.2650196 51.5131717)",Obertorstraße,,,,
25585513,,residential,30,,False,False,55.557,"LINESTRING (10.2643541 51.5130347, 10.2641102 51.5132356, 10.2640026 51.5133213, 10.2638598 51.5134283)",Hinter der Mauer,,,,
705250649,,residential,30,,False,True,48.507,"LINESTRING (10.2650196 51.5131717, 10.2643541 51.5130347)",Obertorstraße,,,,
30275060,,residential,,,True,False,100.80099999999999,"LINESTRING (10.2650196 51.5131717, 10.2649028 51.5135075, 10.2648254 51.5137176, 10.264779 51.5137901, 10.264699 51.5138532, 10.2644697 51.5139771)",In der Karre,,,,
705250649,,residential,30,,False,False,66.826,"LINESTRING (10.2650196 51.5131717, 10.2656775 51.5133072, 10.2659364 51.5133605)",Obertorstraße,,,,
