osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,width,junction,bridge
23951954,Döbelner Straße,residential,20,False,False,105.459,"LINESTRING (13.3068512 51.1957525, 13.3069405 51.1957795, 13.3076146 51.1961597, 13.307792 51.19628, 13.307962 51.1963914)",,,,,
23951987,Königstraße,secondary,30,False,False,19.825000000000003,"LINESTRING (13.3068512 51.1957525, 13.3068265 51.1957845, 13.3067715 51.1958164, 13.3066456 51.1958707)",S 85,,,,
359087176,Döbelner Straße,secondary,30,False,True,213.10200000000003,"LINESTRING (13.3068512 51.1957525, 13.3068399 51.1957265, 13.3067167 51.1955416, 13.3059742 51.1944771, 13.3058843 51.194369, 13.305766 51.1942378, 13.3056035 51.194044, 13.3055818 51.1940108)",S 85,,,,
822579238,Königstraße,secondary,30,False,False,10.035,"LINESTRING (13.3061999 51.1966927, 13.3062382 51.1967797)",S 85,,,,
23951987,Königstraße,secondary,30,False,True,28.826999999999998,"LINESTRING (13.3061999 51.1966927, 13.3061774 51.1966392, 13.3061787 51.1965997, 13.3061962 51.1965602, 13.3062507 51.1964416)",S 85,,,,
822579239,Am Rodeland,residential,,False,True,25.383,"LINESTRING (13.3061999 51.1966927, 13.3061291 51.1967022, 13.3060661 51.1967627, 13.3059976 51.1968647)",,,,,
41416252,Nossener Straße,secondary,50,False,False,153.591,"LINESTRING (13.3161052 51.1942731, 13.3159669 51.1944163, 13.314888 51.195019, 13.3145252 51.195227)",S 85,,,,
121900363,Mertitzer Straße,secondary,50,False,True,329.0830000000001,"LINESTRING (13.3161052 51.1942731, 13.3161954 51.1940775, 13.316245 51.1939452, 13.3161987 51.1936099, 13.3161526 51.1934512, 13.3161161 51.1933668, 13.3160066 51.1931291, 13.3159399 51.1930336, 13.3158378 51.1928876, 13.3155201 51.1924494, 13.3154576 51.1922911, 13.3154563 51.1922026, 13.3154822 51.1921172, 13.315614 51.1919309, 13.3156618 51.1918921, 13.3158866 51.1916896, 13.3160823 51.1915262)",S 85,,,,
"[337011811, 337011812]",Zöthainer Straße,residential,50,False,True,58.888999999999996,"LINESTRING (13.3161052 51.1942731, 13.3163104 51.1942374, 13.3163684 51.1942076, 13.3167836 51.1939748)",,,,,
23951953,Friedrichstraße,residential,50,False,True,52.388999999999996,"LINESTRING (13.3128488 51.196055, 13.3128128 51.1960058, 13.3126849 51.1958149, 13.3125655 51.1956187)",,,,,
