osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,bridge,junction
"[253587640, 161629257]",True,"['3', '1']",L 630,Nadlerstraße,tertiary,50,False,56.247,"LINESTRING (8.5796066 49.3864134, 8.5794611 49.386512, 8.5792946 49.3866155, 8.5790573 49.3867711)",,,
"[24045104, 751256170]",True,,,Herzogstraße,residential,30,False,256.476,"LINESTRING (8.5750144 49.3869666, 8.5749793 49.3868972, 8.5749781 49.3868655, 8.5754191 49.3864181, 8.5754067 49.3863859, 8.5752471 49.3863236, 8.5751954 49.3862719, 8.5751657 49.3862119, 8.5753525 49.3855572, 8.5754839 49.3850487, 8.5755184 49.3849158, 8.5755464 49.3848788, 8.575587 49.3848581)",,,
627569270,False,,L 630,Mühlenstraße,secondary,50,False,71.845,"LINESTRING (8.5750144 49.3869666, 8.5750712 49.3869264, 8.575176 49.3868454, 8.5753463 49.3866827, 8.5754777 49.3865525, 8.575591 49.3864419)",,,
627569270,False,,L 630,Mühlenstraße,secondary,50,True,17.665,"LINESTRING (8.5750144 49.3869666, 8.5749312 49.387022, 8.5748382 49.3870764)",,,
202760900,True,1,L 630,Nadlerstraße,tertiary,50,False,61.108,"LINESTRING (8.5789384 49.3867487, 8.5792793 49.3865652, 8.5796066 49.3864134)",,,
10701736,False,,,Hebelstraße,residential,50,False,98.78800000000001,"LINESTRING (8.5696851 49.386251, 8.5696003 49.3863663, 8.569421 49.3865283, 8.5693563 49.3865935, 8.5691711 49.386776, 8.5689068 49.386977)",,,
195411079,False,3,,Kronenstraße,tertiary,30,False,8.205,"LINESTRING (8.5696851 49.386251, 8.5697242 49.3862496, 8.5697598 49.386246, 8.5697968 49.3862399)",,,
"[362014546, 387708188, 334204441, 387708186, 118829531, 118829532]",False,"['2', '3']",,Kronenstraße,tertiary,30,True,210.951,"LINESTRING (8.5696851 49.386251, 8.5695797 49.3862397, 8.5695248 49.3862276, 8.5694685 49.3862083, 8.5692008 49.386104, 8.569141 49.3860866, 8.5690854 49.3860765, 8.5690147 49.3860735, 8.5689681 49.3860777, 8.5689038 49.3860927, 8.5688488 49.386114, 8.5684468 49.3863526, 8.5683819 49.3863913, 8.5680837 49.3865663, 8.5674835 49.3869252, 8.5673716 49.3869922)",,,
"[387708145, 51970954, 387708140]",False,"['2', '3']",,Hebelstraße,tertiary,30,False,140.21099999999998,"LINESTRING (8.5697968 49.3862399, 8.5698737 49.3862182, 8.5699316 49.3861918, 8.5700141 49.386137, 8.5700519 49.3861097, 8.5701719 49.3860229, 8.5702013 49.3860017, 8.5704609 49.3858146, 8.5704853 49.385797, 8.5707075 49.3856362, 8.5707709 49.385596, 8.5708 49.385577, 8.5709862 49.3854809, 8.5712087 49.3853913)",,,
127602404,True,,,Wildemannstraße,residential,30,False,30.608999999999998,"LINESTRING (8.5697968 49.3862399, 8.5698365 49.3863405, 8.5699013 49.3864077, 8.5699842 49.3864823)",,,
195411079,False,3,,Kronenstraße,tertiary,30,True,8.205,"LINESTRING (8.5697968 49.3862399, 8.5697598 49.386246, 8.5697242 49.3862496, 8.5696851 49.386251)",,,
"[387708187, 39894147]",False,"['2', '3']",,Kronenstraße,tertiary,30,True,38.283,"LINESTRING (8.5669804 49.3872239, 8.5672508 49.3870653, 8.5673716 49.3869922)",,,
10701733,True,,,Dreikönigstraße,residential,20,False,104.94200000000001,"LINESTRING (8.5712087 49.3853913, 8.5712791 49.3854313, 8.5713569 49.3855343, 8.5713944 49.3855658, 8.5714453 49.3855924, 8.5716496 49.3856582, 8.5717032 49.3856747, 8.5717396 49.3856859, 8.5723926 49.3858925)",,,
"[122071458, 37805140, 387708190, 387708191]",False,"['2', '3']",,Schloßstraße,"['living_street', 'tertiary']","['30', '10']",False,94.43599999999999,"LINESTRING (8.5712087 49.3853913, 8.5713728 49.3853372, 8.5714717 49.3852929, 8.5715278 49.385266, 8.5715861 49.3852217, 8.5716108 49.3851889, 8.5716484 49.385118, 8.5717372 49.3848621, 8.5717862 49.3847497, 8.5718159 49.3846961)","['7', '6.5']",,
