osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,width,tunnel
29411798,True,2,L 782,Kaiserstraße,tertiary,50,False,12.334,"LINESTRING (8.3848323 51.9089051, 8.3847664 51.9088019)",,,,
"[29411802, 253981517]",True,"['2', '3']",L 757,Friedrich-Ebert-Straße,secondary,50,False,154.092,"LINESTRING (8.3848323 51.9089051, 8.3846689 51.9089186, 8.3845723 51.9089233, 8.384308 51.908936, 8.3836739 51.9089548, 8.3835459 51.9089596, 8.3834089 51.9089648, 8.3832822 51.9089758, 8.3831912 51.9089837, 8.3829818 51.9090141, 8.3828013 51.9090462, 8.3826181 51.9090897)",,,,
129464217,True,1,,,tertiary,50,False,8.1,"LINESTRING (8.3711881 51.9099483, 8.3711595 51.9099179, 8.3711518 51.9098805)",roundabout,,,
24240511,False,2,,Königstraße,residential,,False,10.896,"LINESTRING (8.3711743 51.9075542, 8.3710566 51.90762)",,,,
24319549,False,1,,Königstraße,residential,30,True,158.111,"LINESTRING (8.3711743 51.9075542, 8.3713387 51.9074765, 8.3715534 51.9073862, 8.3717534 51.9073279, 8.3719114 51.9072995, 8.3733524 51.9071888)",,,,
137013565,True,1,,Prinzenstraße,tertiary,50,False,75.352,"LINESTRING (8.3711743 51.9075542, 8.3712248 51.9076336, 8.3712881 51.9077381, 8.3713233 51.9078152, 8.3713338 51.9078644, 8.3713411 51.9079127, 8.3713455 51.907984, 8.3713386 51.9080554, 8.3713113 51.9082142)",,,,
"[24299232, 24247463]",False,,,Siegfriedstraße,residential,30,True,158.951,"LINESTRING (8.382453 51.9033458, 8.382683 51.9033192, 8.3831277 51.9033455, 8.3832268 51.9033513, 8.3842774 51.9034117, 8.3847558 51.903445)",,,,
24452505,False,3,L 782,Lindenstraße,secondary,50,False,56.94,"LINESTRING (8.382453 51.9033458, 8.3825352 51.9034365, 8.3825704 51.9035373, 8.3825901 51.9038421)",,,,
24240514,True,2,L 782,Lindenstraße,secondary,50,False,36.36,"LINESTRING (8.3825901 51.9038421, 8.3826354 51.9041679)",,,,
24452505,False,3,L 782,Lindenstraße,secondary,50,True,56.94,"LINESTRING (8.3825901 51.9038421, 8.3825704 51.9035373, 8.3825352 51.9034365, 8.382453 51.9033458)",,,,
24452503,True,,,Carl-Bertelsmann-Straße,secondary,50,False,147.395,"LINESTRING (8.3830685 51.9046634, 8.3834064 51.904837, 8.3838745 51.9050404, 8.3839672 51.9050769, 8.384081 51.9051216, 8.3842022 51.9051468, 8.3842725 51.9051525, 8.3844109 51.9051638, 8.3845392 51.905169, 8.3847261 51.90518, 8.3849585 51.9052075)",,,,
24452504,True,1,L 782,Lindenstraße,secondary,50,False,61.108999999999995,"LINESTRING (8.3826004 51.90439, 8.3825675 51.9040784, 8.3825677 51.9039368, 8.3825901 51.9038421)",,,,
"[24452506, 35692476]",True,"['3', '1']",,Carl-Bertelsmann-Straße,secondary,50,False,155.957,"LINESTRING (8.3849585 51.9052075, 8.3847293 51.90523, 8.3845398 51.9052223, 8.3842628 51.9052064, 8.3841845 51.9052019, 8.3840339 51.9051759, 8.3837936 51.9050808, 8.383302 51.904875, 8.382945 51.9046975)",,,,
"[334183560, 334183562, 296717835, 761708719, 424638294, 423928343, 423928344, 423928345, 42402332, 35692478]",True,"['2', '3', '1']",L 782,Kaiserstraße,tertiary,"['50', '30']",False,281.53299999999996,"LINESTRING (8.384114 51.9078465, 8.3840804 51.9077508, 8.3840552 51.907639, 8.3840305 51.9074957, 8.3840154 51.9074024, 8.384006 51.9073432, 8.3839838 51.9071934, 8.3839557 51.9070128, 8.3839306 51.9069145, 8.3839012 51.9068427, 8.3838367 51.9067309, 8.3837983 51.9066727, 8.3837557 51.9066238, 8.383471 51.9063695, 8.3834052 51.9063015, 8.3833672 51.9062655, 8.3833152 51.9062162, 8.3832717 51.906161, 8.3830221 51.9059419, 8.3826802 51.9057059, 8.3826464 51.9056827, 8.3825242 51.9055967)",,,,
"[58169730, 843154061]",True,,,Strengerstraße,residential,30,False,117.454,"LINESTRING (8.384114 51.9078465, 8.3831777 51.9078986, 8.3825138 51.9079355, 8.3824685 51.9079602, 8.3824461 51.9079843)",,,,
221320838,False,2,,Bismarckstraße,tertiary,50,True,108.785,"LINESTRING (8.3735235 51.9102409, 8.3733012 51.9101911, 8.3730603 51.9101395, 8.3728495 51.9100935, 8.3726421 51.9100483, 8.3721345 51.9099376, 8.3720259 51.9099197)",,,,
424638288,False,,,Bismarckstraße,tertiary,50,False,88.974,"LINESTRING (8.3735235 51.9102409, 8.3737881 51.9103088, 8.3747386 51.9105204)",,,,
24285168,True,,,Mauerstraße,residential,30,False,67.341,"LINESTRING (8.3817571 51.9100676, 8.3809196 51.9100868, 8.3808397 51.9100835, 8.3807763 51.9100809)",,,,
688014028,True,2,,Berliner Straße,residential,30,False,52.849999999999994,"LINESTRING (8.3817571 51.9100676, 8.3815123 51.9099521, 8.3813337 51.9098502, 8.3812026 51.909742)",,,,
"[81533555, 762609740]",True,"['2', '3']",L 757,Friedrich-Ebert-Straße,secondary,50,False,81.235,"LINESTRING (8.3807763 51.9100809, 8.3806407 51.910199, 8.3804999 51.9103603, 8.3803566 51.9105543, 8.3802293 51.9107267)",,,,
221320843,True,1,,Prinzenstraße,tertiary,50,False,30.302,"LINESTRING (8.3712421 51.9097822, 8.3712541 51.9097006, 8.3712629 51.9096329, 8.3712913 51.9095115)",,,,
321993653,True,1,,,tertiary,50,False,8.389,"LINESTRING (8.3712421 51.9097822, 8.3713027 51.9097714, 8.3713619 51.9097721)",roundabout,,,
23885672,True,1,,,tertiary,50,False,11.305,"LINESTRING (8.3713619 51.9097721, 8.3714214 51.9097898, 8.3714652 51.909816, 8.3714831 51.9098365)",roundabout,,,
366142153,True,1,,,tertiary,50,False,25.564000000000007,"LINESTRING (8.3714899 51.9099092, 8.3714701 51.9099378, 8.3714183 51.9099663, 8.3713552 51.9099832, 8.3712861 51.9099834, 8.3712365 51.9099725, 8.3711881 51.9099483)",roundabout,,,
23885673,True,1,,Prinzenstraße,tertiary,50,False,29.458999999999996,"LINESTRING (8.3712913 51.9095115, 8.3713393 51.9096347, 8.3713452 51.9096992, 8.3713619 51.9097721)",,,,
221320844,False,2,,Prinzenstraße,tertiary,50,False,144.3,"LINESTRING (8.3712913 51.9095115, 8.3713113 51.9089253, 8.3713237 51.9084098, 8.3713218 51.908305, 8.3713113 51.9082142)",,,,
29411804,True,3,L 757,Friedrich-Ebert-Straße,secondary,50,False,121.728,"LINESTRING (8.3826181 51.9090897, 8.3822419 51.9092127, 8.3820364 51.9093022, 8.38187 51.9093852, 8.3817817 51.9094292, 8.3812026 51.909742)",,,,
"[253981498, 29411806]",True,2,,Eickhoffstraße,residential,50,False,151.30899999999997,"LINESTRING (8.3826181 51.9090897, 8.3826578 51.9092654, 8.3827086 51.9094906, 8.3827817 51.9098143, 8.3828038 51.909905, 8.3828416 51.9100798, 8.3828929 51.9103174, 8.3828699 51.9103726, 8.3828172 51.9104282)",,,,
24405433,True,2,,Berliner Straße,residential,30,False,83.125,"LINESTRING (8.3828172 51.9104282, 8.3827741 51.9104155, 8.3824389 51.9103166, 8.3822398 51.9102491, 8.3817571 51.9100676)",,,,
75408303,False,,,Berliner Straße,residential,50,True,115.47800000000001,"LINESTRING (8.3828172 51.9104282, 8.3836037 51.9106341, 8.3840118 51.9107428, 8.3843618 51.9108411)",,,,
900548100,False,2,,Herzebrocker Straße,tertiary,30,True,31.514,"LINESTRING (8.3724369 51.9039735, 8.372012 51.9040812)",,,,
