osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,width,access,bridge
62102816,True,Posttwete,residential,30,False,137.22,"LINESTRING (9.3743659 51.6661258, 9.3744748 51.666117, 9.3746712 51.6661103, 9.3748777 51.6660933, 9.374918 51.6660892, 9.3755958 51.6660205, 9.3757961 51.6660002, 9.37607 51.6659736, 9.3761749 51.6659605, 9.3763326 51.665944)",,,,,
"[72514745, 998235453]",False,Lange Straße,primary,50,False,92.396,"LINESTRING (9.3743659 51.6661258, 9.3743399 51.6660056, 9.374293 51.6658833, 9.374203 51.6657065, 9.3741228 51.6655513, 9.3740737 51.6654482, 9.374007 51.665327)","['2', '3']",B 83,,,
72514745,False,Lange Straße,primary,50,True,60.596999999999994,"LINESTRING (9.3743659 51.6661258, 9.3743842 51.6662397, 9.3743956 51.6663308, 9.3744336 51.6665858, 9.3744436 51.6666686)",2,B 83,,,
998235454,False,Lange Straße,primary,50,True,3.25,"LINESTRING (9.3739915 51.6652994, 9.374007 51.665327)",,B 83,,,
39581722,True,Theodor-Roeingh-Straße,residential,30,False,87.332,"LINESTRING (9.3739915 51.6652994, 9.3733804 51.6654029, 9.3728433 51.6654881, 9.3727666 51.6654981)",,,,,
"[998235452, 998235455]",False,Lange Straße,primary,50,False,71.32900000000001,"LINESTRING (9.3739915 51.6652994, 9.3738316 51.6650275, 9.3736455 51.6646949)","['2', '3']",B 83,,,
130106349,False,Lange Straße,primary,50,False,53.467999999999996,"LINESTRING (9.3736455 51.6646949, 9.3735743 51.6645659, 9.3735604 51.6645405, 9.3735435 51.6645097, 9.3733915 51.6642406)",2,B 83,,,
"[998235452, 998235455]",False,Lange Straße,primary,50,True,71.32900000000001,"LINESTRING (9.3736455 51.6646949, 9.3738316 51.6650275, 9.3739915 51.6652994)","['2', '3']",B 83,,,
33212772,False,Zum Spring,tertiary,50,False,118.334,"LINESTRING (9.3719898 51.6693768, 9.3721624 51.6692152, 9.3723821 51.6689785, 9.3725736 51.6687608, 9.3727433 51.6686136, 9.3729311 51.6684921)",2,K 48,6,,
647453618,False,Zum Spring,tertiary,50,True,62.343,"LINESTRING (9.3719898 51.6693768, 9.3716872 51.6696396, 9.3714532 51.6698279)",2,K 48,6,,
718424134,False,Unter den Selskämpen,residential,30,False,88.622,"LINESTRING (9.3719898 51.6693768, 9.3720617 51.6694155, 9.3723681 51.6695807, 9.3728302 51.6699734)",,,,,
44026237,False,Ostdeutsche Straße,residential,30,True,141.909,"LINESTRING (9.378461 51.6721372, 9.3784488 51.6721092, 9.378433 51.672059, 9.3783948 51.6717983, 9.3783581 51.6715103, 9.3783321 51.6708651)",,,,,
"[55924393, 202574007]",False,Bahnhofstraße,primary,50,True,167.394,"LINESTRING (9.3746944 51.6682643, 9.3747249 51.6685067, 9.3747558 51.6687961, 9.374771 51.6689639, 9.374804 51.6691782, 9.3748121 51.66924, 9.3748343 51.6693815, 9.3748368 51.6694061, 9.3748796 51.6697095, 9.3748874 51.6697648)",2,B 83,,,
"[112979040, 604160004]",False,Bahnhofstraße,primary,50,False,139.651,"LINESTRING (9.3746944 51.6682643, 9.3746504 51.6679303, 9.3746276 51.6677768, 9.3746082 51.6676668, 9.3745864 51.6675531, 9.3745141 51.6671741, 9.3744893 51.667015)","['2', '3']",B 83,,,
720473636,False,Zum Spring,tertiary,50,True,124.90100000000001,"LINESTRING (9.3746944 51.6682643, 9.3746062 51.6682696, 9.3742628 51.6682988, 9.3738823 51.6683379, 9.3735782 51.668369, 9.3733165 51.6683986, 9.3731564 51.6684256, 9.3730283 51.6684579, 9.3729311 51.6684921)",2,K 48,6,,
40798706,False,Untere Nußbreite,living_street,walk,False,131.565,"LINESTRING (9.3706816 51.6635208, 9.3709386 51.6646932)",,,,,
115542576,False,Lindenstraße,residential,50,False,92.001,"LINESTRING (9.3706816 51.6635208, 9.3704863 51.6635433, 9.370253 51.6635648, 9.3701255 51.6635915, 9.3699591 51.6636105, 9.3695333 51.6636499, 9.3693685 51.663656)",2,,,,
115542576,False,Lindenstraße,residential,50,True,41.308,"LINESTRING (9.3706816 51.6635208, 9.3707802 51.6635057, 9.3708383 51.6634836, 9.370884 51.6634584, 9.3709221 51.6634322, 9.3709642 51.6633892, 9.3709885 51.6633518, 9.3710053 51.6633099, 9.3710053 51.6632507)",2,,,,
115542576,False,Lindenstraße,residential,50,False,41.308,"LINESTRING (9.3710053 51.6632507, 9.3710053 51.6633099, 9.3709885 51.6633518, 9.3709642 51.6633892, 9.3709221 51.6634322, 9.370884 51.6634584, 9.3708383 51.6634836, 9.3707802 51.6635057, 9.3706816 51.6635208)",2,,,,
