osmid,name,highway,maxspeed,oneway,reversed,length,tunnel,lanes,geometry,access,ref
"[284141253, 201736782, 201736783, 201736785, 51520017, 28878994, 1095573270, 201255574]","['Schloßplatz', 'Marktplatz']","['residential', 'living_street']","['30', '10']",False,"[False, True]",222.10600000000002,building_passage,"['2', '1']","LINESTRING (13.0032256 47.6339803, 13.0031634 47.6338976, 13.0031426 47.6338179, 13.0030885 47.633677, 13.0030195 47.6335753, 13.0028897 47.6334028, 13.002814 47.6333384, 13.0027796 47.6333258, 13.0026709 47.6332873, 13.0025095 47.6332467, 13.0022598 47.6332166, 13.0020888 47.6331839, 13.0020325 47.6331603, 13.0020314 47.6330968, 13.0021085 47.6330006, 13.0022915 47.6328136, 13.0023865 47.6327488, 13.0027165 47.6326525)",,
137635584,Doktorberg,residential,,False,False,19.889,,,"LINESTRING (13.0032256 47.6339803, 13.0031014 47.6339993, 13.0029908 47.634055)",,
"[201255573, 331358158]",Rathausplatz,residential,30,False,True,120.43299999999999,,,"LINESTRING (13.0032256 47.6339803, 13.0034781 47.6341547, 13.0035766 47.6342215, 13.0036459 47.6342767, 13.0038473 47.6344371, 13.0039418 47.6345124, 13.0040568 47.6346385, 13.0041165 47.6347071, 13.0042031 47.6348307)",,
23444237,Bahnhofstraße,tertiary,50,True,False,34.012,,2,"LINESTRING (13.0030266 47.6288749, 13.0029421 47.6288347, 13.0026811 47.6286771)",,
"[287184970, 150541151]",Bahnhofstraße,tertiary,30,False,False,351.12600000000003,,"['2', '3']","LINESTRING (13.0030266 47.6288749, 13.0036111 47.6291747, 13.0038522 47.6293629, 13.0039384 47.6294428, 13.0040038 47.6295441, 13.0040896 47.6298117, 13.0040467 47.6300647, 13.0039775 47.6302512, 13.0039394 47.6303539, 13.0038687 47.6304521, 13.003757 47.630607, 13.0036175 47.6308817, 13.0035811 47.6310854, 13.0035912 47.6311388, 13.0035961 47.6313951, 13.0036244 47.6316421, 13.0036294 47.6316855)",,
"[984926288, 447596376, 150541157, 984926151]",Sunklergäßchen,residential,30,False,True,348.74199999999996,,,"LINESTRING (13.0036294 47.6316855, 13.0035889 47.6316763, 13.0035615 47.6316224, 13.0035429 47.6314956, 13.0035076 47.6313585, 13.0034062 47.6310165, 13.0033655 47.6308069, 13.0033361 47.6306435, 13.0032873 47.6303574, 13.0032989 47.6302128, 13.0033232 47.630107, 13.0033175 47.6300045, 13.0032818 47.6298219, 13.003175 47.6296495, 13.0030784 47.6295002, 13.0030391 47.6294365, 13.0030286 47.6293229, 13.0028961 47.6291745, 13.0027902 47.6290732, 13.0027243 47.628864, 13.0026811 47.6286771)",destination,
"[287184970, 23444770]","['Bahnhofstraße', 'Maximilianstraße']",tertiary,30,False,False,136.906,,2,"LINESTRING (13.0036294 47.6316855, 13.0037248 47.6319879, 13.0037261 47.6320781, 13.0037444 47.6322395, 13.0037485 47.632261, 13.0037264 47.6323726, 13.0036406 47.6324725, 13.0034465 47.632574, 13.0033042 47.6326354, 13.0031076 47.6326833)",,
"[287184970, 150541151]",Bahnhofstraße,tertiary,30,False,True,351.126,,"['2', '3']","LINESTRING (13.0036294 47.6316855, 13.0036244 47.6316421, 13.0035961 47.6313951, 13.0035912 47.6311388, 13.0035811 47.6310854, 13.0036175 47.6308817, 13.003757 47.630607, 13.0038687 47.6304521, 13.0039394 47.6303539, 13.0039775 47.6302512, 13.0040467 47.6300647, 13.0040896 47.6298117, 13.0040038 47.6295441, 13.0039384 47.6294428, 13.0038522 47.6293629, 13.0036111 47.6291747, 13.0030266 47.6288749)",,
23444770,Maximilianstraße,tertiary,30,False,False,30.982000000000003,,2,"LINESTRING (13.0031076 47.6326833, 13.0029966 47.6327, 13.0028539 47.6327011, 13.0027609 47.632677, 13.0027165 47.6326525)",,
"[23444770, 287184970]","['Bahnhofstraße', 'Maximilianstraße']",tertiary,30,False,True,136.906,,2,"LINESTRING (13.0031076 47.6326833, 13.0033042 47.6326354, 13.0034465 47.632574, 13.0036406 47.6324725, 13.0037264 47.6323726, 13.0037485 47.632261, 13.0037444 47.6322395, 13.0037261 47.6320781, 13.0037248 47.6319879, 13.0036294 47.6316855)",,
23444770,Maximilianstraße,tertiary,30,False,True,30.982,,2,"LINESTRING (13.0027165 47.6326525, 13.0027609 47.632677, 13.0028539 47.6327011, 13.0029966 47.6327, 13.0031076 47.6326833)",,
137635582,Maximilianstraße,tertiary,30,False,False,165.364,,,"LINESTRING (13.0027165 47.6326525, 13.0026636 47.6325886, 13.0025943 47.6325155, 13.0023781 47.6322934, 13.0022239 47.6321639, 13.0020593 47.63205, 13.0017584 47.6318727, 13.0015503 47.6316671, 13.001369 47.6314861)",,
"[284141253, 201736782, 201736783, 201736785, 28878994, 51520017, 201255574, 1095573270]","['Schloßplatz', 'Marktplatz']","['living_street', 'residential']","['30', '10']",False,"[False, True]",222.10599999999997,building_passage,"['2', '1']","LINESTRING (13.0027165 47.6326525, 13.0023865 47.6327488, 13.0022915 47.6328136, 13.0021085 47.6330006, 13.0020314 47.6330968, 13.0020325 47.6331603, 13.0020888 47.6331839, 13.0022598 47.6332166, 13.0025095 47.6332467, 13.0026709 47.6332873, 13.0027796 47.6333258, 13.002814 47.6333384, 13.0028897 47.6334028, 13.0030195 47.6335753, 13.0030885 47.633677, 13.0031426 47.6338179, 13.0031634 47.6338976, 13.0032256 47.6339803)",,
28878993,Angergasse,residential,,False,False,92.826,,,"LINESTRING (13.0011892 47.630099, 13.0010082 47.6300997, 13.0003389 47.6302501, 13.0000011 47.6303173)",,
137635582,Maximilianstraße,tertiary,30,False,True,155.113,,,"LINESTRING (13.0011892 47.630099, 13.0012493 47.6302853, 13.0013029 47.6305631, 13.0013054 47.6306606, 13.0013118 47.6307879, 13.0013145 47.6308459, 13.0013317 47.6310472, 13.0013561 47.6313492, 13.001369 47.6314861)",,
"[201743962, 234982854]","['Franziskanerplatz', 'Maximilianstraße']",tertiary,30,False,False,308.344,,2,"LINESTRING (13.0011892 47.630099, 13.0011132 47.6298479, 13.001062 47.629597, 13.0009704 47.6293187, 13.000772 47.629044, 13.0004778 47.6287383, 13.0002473 47.6286015, 13.0001159 47.6285346, 12.9999469 47.6284831, 12.9997971 47.6284573, 12.9995953 47.6284647, 12.9993974 47.6284823, 12.9992361 47.6285156, 12.9989142 47.6285558, 12.9986836 47.6285391)",,
51592416,Ludwig-Ganghofer-Straße,residential,,False,True,111.086,,,"LINESTRING (12.9986836 47.6285391, 12.9986761 47.628705, 12.9986771 47.6288422, 12.9985515 47.6289793, 12.9985081 47.62916, 12.9985779 47.6293907, 12.9986675 47.62949)",,
"[201743962, 234982854]","['Franziskanerplatz', 'Maximilianstraße']",tertiary,30,False,True,308.34399999999994,,2,"LINESTRING (12.9986836 47.6285391, 12.9989142 47.6285558, 12.9992361 47.6285156, 12.9993974 47.6284823, 12.9995953 47.6284647, 12.9997971 47.6284573, 12.9999469 47.6284831, 13.0001159 47.6285346, 13.0002473 47.6286015, 13.0004778 47.6287383, 13.000772 47.629044, 13.0009704 47.6293187, 13.001062 47.629597, 13.0011132 47.6298479, 13.0011892 47.630099)",,
