osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,bridge,ref,width,access
291431512,Ottilienplatz,residential,20,False,True,26.426,,"LINESTRING (9.3136729 48.7401302, 9.3133258 48.7401941)",,,,
4807781,Entengrabenstraße,secondary,30,True,False,55.653000000000006,2,"LINESTRING (9.3136729 48.7401302, 9.3136508 48.7400782, 9.3136118 48.74003, 9.3135732 48.739992, 9.3135038 48.7399157, 9.3134092 48.739828, 9.3133316 48.7397729, 9.3133043 48.7397571, 9.3132425 48.7397275)",,,,
387155259,Kiesstraße,secondary,50,True,False,10.333,2,"LINESTRING (9.3090331 48.7392375, 9.3088922 48.739238)",,,,
10419529,Ritterstraße,residential,,True,False,25.547,1,"LINESTRING (9.3090331 48.7392375, 9.3090129 48.7393386, 9.3089773 48.7394642)",,,,
"[17096026, 138203613]",,secondary,50,True,False,98.38399999999999,1,"LINESTRING (9.3078443 48.7388539, 9.3080936 48.73891, 9.3082259 48.7389261, 9.3083659 48.7389372, 9.3085063 48.7389294, 9.3085828 48.7389162, 9.3086594 48.7388929, 9.3087167 48.7388587, 9.3087826 48.7388165, 9.3088725 48.7387485, 9.3089376 48.7386291)",yes,L 1150,,
"[138203604, 138203605]",Kiesstraße,secondary,50,True,False,35.376,"['4', '2']","LINESTRING (9.3078443 48.7388539, 9.3079579 48.7389381, 9.3081123 48.7390068, 9.3082257 48.7390419)",yes,,,
290577628,Maillestraße,secondary,50,True,False,13.152,,"LINESTRING (9.3090395 48.7391193, 9.3090331 48.7392375)",,,,
387155260,Kiesstraße,secondary,50,True,False,35.021,2,"LINESTRING (9.3090395 48.7391193, 9.3091696 48.73912, 9.3095157 48.7391403)",,,,
562273435,Ebershaldenstraße,secondary,30,False,False,14.507,2,"LINESTRING (9.311643 48.7427815, 9.3114525 48.7428167)",,,,
4811320,Mettinger Straße,secondary,50,True,False,47.224999999999994,1,"LINESTRING (9.3045777 48.7433653, 9.3042425 48.7434136, 9.3039588 48.7434798)",,K 1270,,
386832701,Berliner Straße,secondary,30,True,False,33.011,2,"LINESTRING (9.3045777 48.7433653, 9.3042335 48.7433201, 9.3041369 48.7433051)",,,,
442274134,Berliner Straße,secondary,30,True,False,22.711,2,"LINESTRING (9.3040391 48.7432846, 9.3037819 48.7431708)",,,,
1242606955,Mettinger Straße,secondary,50,True,False,13.771,2,"LINESTRING (9.3040391 48.7432846, 9.3041633 48.7431917)",,K 1270,,
"[169220423, 378237356, 23316466, 442274132, 442274138, 386832703]",Berliner Straße,secondary,"['50', '30']",False,"[False, True]",129.652,"['4', '3']","LINESTRING (9.3031258 48.7425875, 9.3030776 48.7425413, 9.3029088 48.742396, 9.3028584 48.7423468, 9.3026859 48.7421791, 9.3026037 48.7420932, 9.3025135 48.7419998, 9.3024646 48.7419474, 9.3023986 48.7418726, 9.3023295 48.741787, 9.3022845 48.7417229, 9.3022653 48.7416955, 9.3021973 48.7415987)",yes,,,
"[4807744, 30998722, 442274130, 30998723]",Agnespromenade,residential,"['20', '30']",False,False,132.205,"['2', '3']","LINESTRING (9.3031258 48.7425875, 9.3033754 48.7424848, 9.3035773 48.7424017, 9.3037921 48.7423104, 9.3040738 48.7421939, 9.3042319 48.7421299, 9.3043978 48.742061, 9.304584 48.74199, 9.3046279 48.7419756, 9.304663 48.7419679)",,,,
"[442274136, 442274140]",Berliner Straße,secondary,30,True,False,102.474,"['2', '3']","LINESTRING (9.3031258 48.7425875, 9.303254 48.7426419, 9.3034735 48.7428241, 9.3036191 48.7429282, 9.3037917 48.7430313, 9.3039648 48.7431137, 9.3041193 48.7431744, 9.3041633 48.7431917)",,,,
4807768,Schelztorstraße,residential,30,False,False,46.897,,"LINESTRING (9.3021973 48.7415987, 9.3024118 48.7415877, 9.3024708 48.7415784, 9.3028245 48.7415224)",,,,
135078201,Berliner Straße,secondary,30,False,False,102.775,2,"LINESTRING (9.3021973 48.7415987, 9.3021255 48.741498, 9.3016805 48.7408744, 9.3016005 48.7407624)",,,,
"[169220423, 378237356, 23316466, 442274132, 442274138, 386832703]",Berliner Straße,secondary,"['50', '30']",False,"[False, True]",129.652,"['4', '3']","LINESTRING (9.3021973 48.7415987, 9.3022653 48.7416955, 9.3022845 48.7417229, 9.3023295 48.741787, 9.3023986 48.7418726, 9.3024646 48.7419474, 9.3025135 48.7419998, 9.3026037 48.7420932, 9.3026859 48.7421791, 9.3028584 48.7423468, 9.3029088 48.742396, 9.3030776 48.7425413, 9.3031258 48.7425875)",yes,,,
37181837,Martinstraße,residential,20,False,False,63.482,,"LINESTRING (9.3016005 48.7407624, 9.3017865 48.7406983, 9.3020089 48.7406216, 9.3023669 48.7404969)",,,,
135078201,Berliner Straße,secondary,30,False,True,102.775,2,"LINESTRING (9.3016005 48.7407624, 9.3016805 48.7408744, 9.3021255 48.741498, 9.3021973 48.7415987)",,,,
4807766,Agnesbrücke,living_street,,False,False,10.023,,"LINESTRING (9.304663 48.7419679, 9.3045856 48.7418936)",,,,
4807746,Abt-Fulrad-Straße,residential,20,False,False,114.53,,"LINESTRING (9.304663 48.7419679, 9.3046913 48.7419639, 9.3047259 48.7419649, 9.3047567 48.7419682, 9.3047873 48.7419737, 9.3050135 48.7420285, 9.3052231 48.7420771, 9.3053277 48.7421075, 9.3054128 48.7421396, 9.3054702 48.7421629, 9.3055021 48.7421789, 9.3058189 48.74235, 9.3059375 48.7424059, 9.306017 48.7424427)",,,,
