osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access
"[110313604, 1059365116]",Tübinger Straße,tertiary,50,False,False,78.318,"LINESTRING (8.502921 48.470177, 8.5027863 48.4702129, 8.5025816 48.4702279, 8.5023716 48.4702105, 8.5020557 48.4701393, 8.5019045 48.470094)",,,
"[110312999, 110313002, 963719792, 1059365113, 1231726237]",Tübinger Straße,tertiary,"['50', '60']",False,True,404.46999999999997,"LINESTRING (8.502921 48.470177, 8.5031095 48.4700956, 8.5038391 48.4695692, 8.5042821 48.4692945, 8.5043828 48.4692395, 8.5044077 48.469225, 8.5047252 48.4690522, 8.504764 48.4690321, 8.5054369 48.468677, 8.5059433 48.4684517, 8.5069897 48.4680711, 8.5072457 48.4679816)",,,
109738147,Heselwiesenstraße,residential,,False,True,49.616,"LINESTRING (8.499846 48.4695962, 8.5003546 48.4697006, 8.5004879 48.4697302)",,,
421023705,Hauptstraße,residential,,False,True,70.435,"LINESTRING (8.499846 48.4695962, 8.4996359 48.4701045, 8.4996498 48.4702105)",,,
"[1059365126, 22993271]",Hauptstraße,residential,30,False,False,111.04599999999999,"LINESTRING (8.499846 48.4695962, 8.4998812 48.4694994, 8.4999489 48.4691075, 8.4999669 48.4690374, 8.5000849 48.468611)",,,
40492833,Steiningstraße,residential,,True,False,65.345,"LINESTRING (8.4996498 48.4702105, 8.4995787 48.4702183, 8.499513 48.4702064, 8.4987932 48.470076)",,,
421023705,Hauptstraße,residential,,False,False,70.435,"LINESTRING (8.4996498 48.4702105, 8.4996359 48.4701045, 8.499846 48.4695962)",,,
421023705,Hauptstraße,residential,,False,True,23.474,"LINESTRING (8.4996498 48.4702105, 8.4996991 48.470286, 8.4997764 48.4704042)",,,
421023705,Hauptstraße,residential,,False,False,23.474,"LINESTRING (8.4997764 48.4704042, 8.4996991 48.470286, 8.4996498 48.4702105)",,,
"[421023708, 26583454, 421009119]",Tübinger Straße,tertiary,50,False,True,169.075,"LINESTRING (8.4997764 48.4704042, 8.4999595 48.47037, 8.5001154 48.470367, 8.5002224 48.4703765, 8.5007626 48.4704237, 8.5009919 48.4704299, 8.5011877 48.4704041, 8.5014731 48.4703244, 8.5017134 48.4702139, 8.5019045 48.470094)","['2', '3']",K 4776,
"[109738145, 109738146, 109559679]",Heselwiesenstraße,residential,,False,False,112.65400000000001,"LINESTRING (8.5019045 48.470094, 8.5017376 48.4700158, 8.5016115 48.4699725, 8.5013564 48.4699183, 8.5012004 48.4698838, 8.5010464 48.4698499, 8.500718 48.4697819, 8.5005909 48.4697556, 8.5004879 48.4697302)",,,
"[421009112, 28023879]",Sulzer Straße,tertiary,50,False,False,61.645,"LINESTRING (8.5019045 48.470094, 8.5021564 48.4698759, 8.502396 48.4696457)",,K 4776,
"[421023708, 26583454, 421009119]",Tübinger Straße,tertiary,50,False,False,169.075,"LINESTRING (8.5019045 48.470094, 8.5017134 48.4702139, 8.5014731 48.4703244, 8.5011877 48.4704041, 8.5009919 48.4704299, 8.5007626 48.4704237, 8.5002224 48.4703765, 8.5001154 48.470367, 8.4999595 48.47037, 8.4997764 48.4704042)","['2', '3']",K 4776,
"[110313604, 1059365116]",Tübinger Straße,tertiary,50,False,True,78.31800000000001,"LINESTRING (8.5019045 48.470094, 8.5020557 48.4701393, 8.5023716 48.4702105, 8.5025816 48.4702279, 8.5027863 48.4702129, 8.502921 48.470177)",,,
30736800,,unclassified,,False,False,61.502,"LINESTRING (8.4995906 48.4677159, 8.5003996 48.4678508)",,,permissive
320190384,Gartenstraße,residential,,False,False,24.193,"LINESTRING (8.4995906 48.4677159, 8.4996764 48.4675059)",,,
320190384,Gartenstraße,residential,,False,True,90.64699999999999,"LINESTRING (8.4995906 48.4677159, 8.4994678 48.4680984, 8.4993372 48.4685136)",,,
27933703,Badgasse,residential,,False,True,38.492,"LINESTRING (8.5017194 48.4650487, 8.5022197 48.4651476)",,,
109736745,Untere Hauptstraße,residential,,False,False,33.991,"LINESTRING (8.5017194 48.4650487, 8.5018781 48.4647617)",,,
109736745,Untere Hauptstraße,residential,,False,True,13.662,"LINESTRING (8.5017194 48.4650487, 8.5016449 48.4651612)",,,
109733877,,unclassified,,False,False,48.92,"LINESTRING (8.5011401 48.4662179, 8.501179 48.4662945, 8.5012282 48.4664717, 8.5014572 48.4665664)",,,
"[109736745, 109736746]","['Untere Hauptstraße', 'Marktplatz']",residential,,False,False,71.97999999999999,"LINESTRING (8.5011401 48.4662179, 8.5011954 48.4661399, 8.5012495 48.4660638, 8.5014953 48.4656155)",,,
"[242149577, 109736746]",Marktplatz,residential,,False,True,16.973,"LINESTRING (8.5011401 48.4662179, 8.5010571 48.4663147, 8.5010243 48.4663498)",,,
28023733,Panoramastraße,residential,,False,True,32.854,"LINESTRING (8.5079313 48.4685456, 8.5079851 48.4682523)",,,
109736745,Untere Hauptstraße,residential,,False,True,33.991,"LINESTRING (8.5018781 48.4647617, 8.5017194 48.4650487)",,,
37380728,Badgasse,residential,,False,False,75.80799999999999,"LINESTRING (8.5018781 48.4647617, 8.5020619 48.4647636, 8.5022548 48.4647663, 8.5023257 48.4647829, 8.502351 48.4648584, 8.5023133 48.4650119, 8.5022197 48.4651476)",,,
"[31666913, 247547939, 247547941]",Am Stadtberg,residential,,False,False,320.19399999999996,"LINESTRING (8.5018781 48.4647617, 8.501964 48.4646147, 8.5021473 48.4645404, 8.5024951 48.4644334, 8.5025573 48.4643637, 8.5024847 48.4642612, 8.5024324 48.4642324, 8.5023307 48.4642132, 8.5021276 48.4642495, 8.501972 48.4642861, 8.5017859 48.46433, 8.501615 48.4643413, 8.5015123 48.4642787, 8.5014973 48.4641748, 8.5016043 48.4640746, 8.5017916 48.4639905, 8.5022725 48.463852, 8.5025804 48.4637848, 8.5027846 48.4637915, 8.5029744 48.4638576, 8.5030708 48.4639196, 8.5031509 48.4640305)",,,
22993271,Hauptstraße,residential,30,False,False,29.729,"LINESTRING (8.5005258 48.467436, 8.5005518 48.4671692)",,,
22993271,Hauptstraße,residential,30,False,True,22.097,"LINESTRING (8.5005258 48.467436, 8.5004712 48.4676314)",,,
28026755,,unclassified,,False,True,47.619,"LINESTRING (8.5005258 48.467436, 8.5000958 48.4673436, 8.4999203 48.467289)",,,permissive
109726259,Schießgrabenstraße,residential,,False,False,106.588,"LINESTRING (8.5005258 48.467436, 8.5012127 48.4675083, 8.5012766 48.4675159, 8.5011705 48.4679648)",,,
109726259,Schießgrabenstraße,residential,,False,True,135.566,"LINESTRING (8.5004879 48.4697302, 8.5007176 48.4691397, 8.5009265 48.4685463)",,,
