osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,width
33287038,L 1036; L 1033,Hauptstraße,secondary,50,False,False,11.877,"LINESTRING (9.8498333 49.2534412, 9.8499951 49.2534572)",,
97129743,L 1033,Regenbacher Straße,secondary,50,False,True,114.62,"LINESTRING (9.8498333 49.2534412, 9.8498193 49.2534752, 9.8497595 49.2536275, 9.8497689 49.2536933, 9.8498332 49.2537493, 9.8500675 49.2538161, 9.8503438 49.2539054, 9.8505342 49.2539911, 9.8507542 49.2541049)",,
"[907235505, 228098858, 228098859]",L 1036,Hauptstraße,secondary,30,False,True,52.576,"LINESTRING (9.8498333 49.2534412, 9.8495405 49.25342, 9.8494641 49.2534158, 9.8494034 49.2534145, 9.8493471 49.2534089, 9.8492017 49.2533875, 9.8491167 49.2533774)",yes,2
33187161,L 1036; L 1033,Hauptstraße,secondary,50,False,True,30.018,"LINESTRING (9.8536161 49.2538599, 9.8534002 49.253817, 9.8532899 49.2537975, 9.8532172 49.2537899)",,
"[733491922, 33287035]",L 1036,Hauptstraße,secondary,50,False,False,66.953,"LINESTRING (9.8536161 49.2538599, 9.8539764 49.2539257, 9.8541163 49.2539535, 9.8543067 49.2539964, 9.8544905 49.254049)",,
733491923,L 1033,Michelbacher Straße,secondary,50,False,False,15.895,"LINESTRING (9.8536161 49.2538599, 9.8536617 49.2537846, 9.8537314 49.2537425)",,
31311278,,Atzenroder Kirchweg,residential,30,False,True,174.81699999999998,"LINESTRING (9.8544071 49.255263, 9.8539022 49.2551069, 9.85307 49.2547399, 9.8525676 49.2545362, 9.8523797 49.2544244)",,
33187161,L 1036; L 1033,Hauptstraße,secondary,50,False,False,181.642,"LINESTRING (9.8507434 49.2536489, 9.8511779 49.2537443, 9.8513214 49.2537609, 9.851473 49.2537636, 9.8519383 49.2537557, 9.8524041 49.253752, 9.852621 49.2537574, 9.8530287 49.2537741, 9.8532172 49.2537899)",,
35108542,L 1036; L 1033,Hauptstraße,secondary,50,False,True,58.547999999999995,"LINESTRING (9.8507434 49.2536489, 9.8506442 49.253613, 9.8504028 49.2535395, 9.8502043 49.2534957, 9.8499951 49.2534572)",,
503333451,,Atzenroder Kirchweg,residential,30,True,False,146.833,"LINESTRING (9.8507434 49.2536489, 9.8518326 49.2541414, 9.8523797 49.2544244)",,
