osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,access,width
32301397,2,L 3247,Bahnhofstraße,secondary,False,False,2.352,"LINESTRING (10.6706708 50.6530646, 10.6706425 50.6530534)",,,,
32301397,2,L 3247,Bahnhofstraße,secondary,False,True,21.013,"LINESTRING (10.6706708 50.6530646, 10.6709061 50.6531806)",,,,
32301397,2,L 3247,Bahnhofstraße,secondary,False,False,21.013,"LINESTRING (10.6709061 50.6531806, 10.6706708 50.6530646)",,,,
32301397,2,L 3247,Bahnhofstraße,secondary,False,True,72.219,"LINESTRING (10.6709061 50.6531806, 10.6714705 50.653501, 10.6716692 50.6536139)",,,,
23221047,,,Kleintiegel,residential,False,True,12.18,"LINESTRING (10.6764007 50.6555063, 10.6765592 50.6555499)",,,,
23210332,,,Amtsstraße,residential,False,True,66.948,"LINESTRING (10.6764007 50.6555063, 10.6763979 50.6554723, 10.6763833 50.6554434, 10.6763596 50.6554168, 10.6763269 50.6553931, 10.6762306 50.6553409, 10.6760871 50.6552646, 10.6758467 50.6551856, 10.6757954 50.65514, 10.6757967 50.6550911)",,,,
"[176364336, 314960121, 314960122]",2,,Amtsstraße,residential,False,False,233.83599999999998,"LINESTRING (10.6764007 50.6555063, 10.6763852 50.6555472, 10.6763638 50.6555852, 10.6763038 50.6556603, 10.6762805 50.6557134, 10.6762706 50.6557788, 10.6762639 50.655848, 10.6762819 50.655924, 10.6764153 50.656128, 10.6767413 50.6565738, 10.6768654 50.6567263, 10.6769199 50.6568008, 10.6769553 50.6568563, 10.6769821 50.6569116, 10.6769937 50.6569421, 10.6770027 50.6569731, 10.6770054 50.6570021, 10.6770056 50.6570295, 10.6769995 50.6570592, 10.6769789 50.657099, 10.6769469 50.6571354, 10.6769087 50.6571672, 10.6768605 50.657197, 10.6767946 50.6572213, 10.6767108 50.6572448, 10.6766169 50.6572642, 10.6764668 50.6572984)",,,,
"[314960141, 23220437, 314960135]",2,,Heinrich-Ehrhardt-Straße,residential,False,False,37.4,"LINESTRING (10.6764668 50.6572984, 10.676323 50.6573293, 10.6761844 50.6573584, 10.6760852 50.6573655, 10.6759632 50.6573321)",,,,
"[314960161, 314960163, 49804661, 314960156, 314960159]","['2', '3']",L 3247,Oberhofer Straße,secondary,False,False,346.37899999999996,"LINESTRING (10.6764668 50.6572984, 10.6764237 50.6572026, 10.6763532 50.6570446, 10.6763084 50.6569468, 10.6762423 50.6568013, 10.6761706 50.6566859, 10.6761551 50.656661, 10.6760591 50.6565542, 10.6760066 50.6565037, 10.6759515 50.6564525, 10.6758156 50.6563379, 10.675584 50.6561515, 10.6755039 50.6560883, 10.6745678 50.6553474, 10.6744101 50.6552249, 10.6742428 50.6551072, 10.6740725 50.6549918, 10.6737237 50.6547658)",50,,,
"[176364336, 314960121, 314960122]",2,,Amtsstraße,residential,False,True,233.83599999999998,"LINESTRING (10.6764668 50.6572984, 10.6766169 50.6572642, 10.6767108 50.6572448, 10.6767946 50.6572213, 10.6768605 50.657197, 10.6769087 50.6571672, 10.6769469 50.6571354, 10.6769789 50.657099, 10.6769995 50.6570592, 10.6770056 50.6570295, 10.6770054 50.6570021, 10.6770027 50.6569731, 10.6769937 50.6569421, 10.6769821 50.6569116, 10.6769553 50.6568563, 10.6769199 50.6568008, 10.6768654 50.6567263, 10.6767413 50.6565738, 10.6764153 50.656128, 10.6762819 50.655924, 10.6762639 50.655848, 10.6762706 50.6557788, 10.6762805 50.6557134, 10.6763038 50.6556603, 10.6763638 50.6555852, 10.6763852 50.6555472, 10.6764007 50.6555063)",,,,
"[314960136, 314960138, 314960134, 314960143]","['2', '3']",L 3247,Heinrich-Ehrhardt-Straße,secondary,False,True,94.356,"LINESTRING (10.6764668 50.6572984, 10.6765161 50.6574049, 10.6765753 50.657511, 10.6766792 50.6576579, 10.6767134 50.6576975, 10.676828 50.6578042, 10.6769483 50.6578854, 10.6771517 50.6580087)",50,,,
"[760024185, 760024186, 23242022]",,,Klettswiese,residential,False,False,72.771,"LINESTRING (10.6759632 50.6573321, 10.6754039 50.6577293, 10.6753386 50.6577756, 10.6752757 50.6578203)",,yes,,
"[304376101, 314960141, 304376102]",2,,Heinrich-Ehrhardt-Straße,residential,False,False,128.24,"LINESTRING (10.6759632 50.6573321, 10.6753229 50.6569637, 10.6752232 50.6569072, 10.6750446 50.6567797, 10.6749886 50.6567359, 10.6748347 50.6566141, 10.6747424 50.6564898)",,yes,,
"[23220437, 314960141, 314960135]",2,,Heinrich-Ehrhardt-Straße,residential,False,True,37.400000000000006,"LINESTRING (10.6759632 50.6573321, 10.6760852 50.6573655, 10.6761844 50.6573584, 10.676323 50.6573293, 10.6764668 50.6572984)",,,,
"[32136642, 459249948]",,,Hauptstraße,residential,True,False,168.855,"LINESTRING (10.6723852 50.6554385, 10.6723166 50.6554438, 10.6722412 50.655434, 10.6720208 50.6553971, 10.6712354 50.6552552, 10.6708312 50.6551826, 10.6706691 50.6551546, 10.6702005 50.6550421, 10.6701139 50.6549938)",,,,
32137821,,,Lange Wiese,residential,False,False,114.565,"LINESTRING (10.6761026 50.6550076, 10.6765053 50.6548693, 10.676635 50.654787, 10.6767293 50.6547127, 10.6769762 50.6545229, 10.677107 50.6544716, 10.6773456 50.6543656)",,,,
1242845610,,,Lange Wiese,residential,False,True,23.756,"LINESTRING (10.6761026 50.6550076, 10.6759386 50.655038, 10.6758644 50.655058, 10.6757967 50.6550911)",,,,
23220706,,,Zellaer Markt,residential,True,False,17.502,"LINESTRING (10.6725996 50.6550613, 10.6725264 50.6552117)",,,,
463502293,,,Dr.-Wilhelm-Külz-Straße,living_street,True,False,49.33200000000001,"LINESTRING (10.6725996 50.6550613, 10.6724746 50.6549892, 10.6723844 50.6549316, 10.6722791 50.6548643, 10.6722842 50.65482, 10.6723309 50.6547077)",,,,
23220705,,,Dr.-Wilhelm-Külz-Straße,living_street,True,False,57.29599999999999,"LINESTRING (10.6723309 50.6547077, 10.6724954 50.6543593, 10.6724736 50.6543015, 10.6724495 50.6542569, 10.6724566 50.6542121)",,,,
463502294,,,Dr.-Wilhelm-Külz-Straße,residential,False,False,14.506,"LINESTRING (10.6724566 50.6542121, 10.6725876 50.6541115)",,,,
314960152,3,L 3247,Oberhofer Straße,secondary,False,False,36.882,"LINESTRING (10.6725876 50.6541115, 10.6721899 50.653896)",,,,
463502294,,,Dr.-Wilhelm-Külz-Straße,residential,False,True,14.506,"LINESTRING (10.6725876 50.6541115, 10.6724566 50.6542121)",,,,
32301040,3,L 3247,Oberhofer Straße,secondary,False,True,89.56899999999999,"LINESTRING (10.6725876 50.6541115, 10.6733519 50.6545419, 10.6735287 50.6546524)",,,,
23221153,,,Kirchstraße,residential,True,False,41.756,"LINESTRING (10.6701139 50.6549938, 10.6701434 50.6549778, 10.6702058 50.6549317, 10.6704617 50.6547332, 10.6704963 50.6547075)",,,,
23294277,,,Hauptstraße,residential,False,False,135.826,"LINESTRING (10.6701139 50.6549938, 10.669982 50.6550173, 10.6694771 50.6550862, 10.669127 50.6551338, 10.6686095 50.6552094, 10.6682516 50.6552978)",,,,
269240580,,,Hochwaldstraße,residential,False,False,91.128,"LINESTRING (10.6788809 50.6576507, 10.6787669 50.6575628, 10.678662 50.6574294, 10.6786011 50.6573164, 10.6785971 50.6572307, 10.6787472 50.6568923)",,,,
23221047,,,Kleintiegel,residential,False,False,152.473,"LINESTRING (10.678494 50.6565624, 10.677761 50.6561637, 10.6770481 50.6557901, 10.6768228 50.6556933)",,,,
23242002,,,Gartenstraße,residential,False,False,173.964,"LINESTRING (10.678494 50.6565624, 10.6783313 50.6565775, 10.6777709 50.6565247, 10.6770848 50.6561947, 10.6769442 50.6561161, 10.6768693 50.6560036, 10.6768402 50.6559425, 10.6768185 50.6558559, 10.6768228 50.6556933)",,,destination,
23221047,,,Kleintiegel,residential,False,True,42.359,"LINESTRING (10.678494 50.6565624, 10.6786384 50.6566558, 10.678743 50.6568105, 10.6787472 50.6568923)",,,,
23221183,,,Wiesenstraße,living_street,True,False,72.256,"LINESTRING (10.6715099 50.6543187, 10.6723309 50.6547077)",,,,
463502295,,,Wiesenstraße,living_street,False,True,8.839,"LINESTRING (10.6715099 50.6543187, 10.6714081 50.6542723)",,,,
"[232978793, 462172110, 23221046]",,,"['Brunnenstraße', 'Marcel-Callo-Platz']","['living_street', 'residential']",False,True,67.217,"LINESTRING (10.6715099 50.6543187, 10.6719952 50.654036, 10.6720589 50.6539887, 10.6721243 50.6539428, 10.6721899 50.653896)",,,,
314960152,3,L 3247,Oberhofer Straße,secondary,False,True,36.882,"LINESTRING (10.6721899 50.653896, 10.6725876 50.6541115)",,,,
314960154,3,L 3247,Oberhofer Straße,secondary,False,False,48.286,"LINESTRING (10.6721899 50.653896, 10.6718609 50.6537195, 10.6716692 50.6536139)",,,,
"[23221046, 232978793, 462172110]",,,"['Brunnenstraße', 'Marcel-Callo-Platz']","['residential', 'living_street']",False,False,67.217,"LINESTRING (10.6721899 50.653896, 10.6721243 50.6539428, 10.6720589 50.6539887, 10.6719952 50.654036, 10.6715099 50.6543187)",,,,
619148070,,,Kirchstraße,residential,True,False,21.472,"LINESTRING (10.6704963 50.6547075, 10.6705923 50.6546654, 10.6706509 50.6546428, 10.6707557 50.6546067)",,,,
619148070,,,Kirchstraße,residential,True,False,35.150999999999996,"LINESTRING (10.6707557 50.6546067, 10.6709221 50.6545404, 10.6710352 50.6544826, 10.6711168 50.6543977)",,,,
619148070,,,Kirchstraße,residential,True,False,23.172,"LINESTRING (10.6711168 50.6543977, 10.6712746 50.6542149)",,,,
25504894,,,Wiesenstraße,residential,True,False,118.156,"LINESTRING (10.6712746 50.6542149, 10.6699524 50.6535619)",,,,
463502295,,,Wiesenstraße,living_street,False,False,11.372,"LINESTRING (10.6712746 50.6542149, 10.6714081 50.6542723)",,,,
1157393602,2,,Kirchstraße,residential,True,False,72.809,"LINESTRING (10.6712746 50.6542149, 10.6713583 50.6540851, 10.6714697 50.653873, 10.6715304 50.6537526, 10.6715562 50.6537185, 10.6716692 50.6536139)",,,,
