osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,junction,width
"[379048078, 217470023]",Auf der Loge,unclassified,False,True,233.497,30,"LINESTRING (7.9815461 53.1249461, 7.9814938 53.1249801, 7.9789533 53.1263561)",,,,
819268373,Hauptstraße,secondary,False,False,31.285,30,"LINESTRING (7.9815461 53.1249461, 7.9817417 53.1250339, 7.9819239 53.1251127)",2,L 831,,
25970569,,secondary,True,False,17.080000000000002,50,"LINESTRING (7.9862903 53.1315104, 7.9863473 53.1314929, 7.9864106 53.1314871, 7.9864736 53.1314938, 7.9865299 53.131512)",1,,roundabout,
"[379048077, 586690359]",Hauptstraße,secondary,False,True,139.10699999999997,30,"LINESTRING (7.9862903 53.1315104, 7.9861599 53.1314576, 7.9860816 53.13138, 7.9859983 53.1312521, 7.9858542 53.1309705, 7.9857223 53.1306699, 7.9855717 53.1303596)",2,L 831,,
25970569,,secondary,True,False,36.23499999999999,50,"LINESTRING (7.986454 53.1317227, 7.9864014 53.1317258, 7.9863494 53.1317206, 7.9863015 53.1317072, 7.9862611 53.1316868, 7.9862311 53.1316608, 7.9862129 53.1316291, 7.9862102 53.1315957, 7.986223 53.131563, 7.9862504 53.1315339, 7.9862903 53.1315104)",1,,roundabout,
61607029,Hauptstraße,secondary,False,False,120.20400000000001,30,"LINESTRING (7.9819239 53.1251127, 7.9825246 53.125371, 7.9827865 53.1254846, 7.9829387 53.1255507, 7.9830549 53.1256151, 7.9831461 53.1256839, 7.9832921 53.1258033)",2,L 831,,
819268373,Hauptstraße,secondary,False,True,31.285,30,"LINESTRING (7.9819239 53.1251127, 7.9817417 53.1250339, 7.9815461 53.1249461)",2,L 831,,
1259707499,Hauptstraße,secondary,True,False,29.549,30,"LINESTRING (7.983726 53.1273433, 7.9836499 53.1272038, 7.9836311 53.1271695, 7.9836168 53.1270871)",1,L 831,,
"[1259707505, 1259697003]",Hauptstraße,secondary,False,False,98.39399999999999,30,"LINESTRING (7.983726 53.1273433, 7.9838901 53.1276737, 7.9839134 53.1277115, 7.9839391 53.1277507, 7.9841512 53.1280529, 7.984236 53.1281723)","['2', '3']",L 831,,
61607029,Hauptstraße,secondary,False,True,120.20400000000001,30,"LINESTRING (7.9832921 53.1258033, 7.9831461 53.1256839, 7.9830549 53.1256151, 7.9829387 53.1255507, 7.9827865 53.1254846, 7.9825246 53.125371, 7.9819239 53.1251127)",2,L 831,,
1259697004,Hauptstraße,secondary,True,False,52.178,30,"LINESTRING (7.9832921 53.1258033, 7.983394 53.1258727, 7.9834638 53.1259652, 7.9835041 53.126046, 7.9835551 53.1262344)",1,L 831,,
25942004,Breeweg,residential,False,False,100.231,30,"LINESTRING (7.9876006 53.1269611, 7.9875453 53.1269135, 7.9870905 53.1265064, 7.9868826 53.1261759)",,,,
141611965,Oldenburger Straße,secondary,False,False,181.885,50,"LINESTRING (7.9876006 53.1269611, 7.9896395 53.1261869, 7.9897808 53.1261364, 7.9899057 53.126088)",2,L 828,,
"[1259707506, 819649509]",Oldenburger Straße,secondary,False,True,262.091,50,"LINESTRING (7.9876006 53.1269611, 7.9874111 53.1270383, 7.9872602 53.127097, 7.9858218 53.1276367, 7.9851455 53.1278963, 7.9850246 53.1279399, 7.9848881 53.127986, 7.984368 53.1281368, 7.984236 53.1281723)","['2', '3']",L 828,,
