osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,access,width
22900484,2,Alte Bundesstraße,tertiary,30,False,False,65.101,"LINESTRING (7.8669164 48.0424113, 7.8670535 48.0424928, 7.867249 48.042609, 7.8674454 48.0426988, 7.8675144 48.0427303, 7.8676046 48.0427714)",,,,
24977278,2,Alte Bundesstraße,tertiary,30,False,False,102.195,"LINESTRING (7.8669164 48.0424113, 7.8668316 48.0423349, 7.866758 48.0422528, 7.8666134 48.0420114, 7.8665312 48.0418484, 7.8665042 48.041795, 7.8663891 48.0415679)",,,,
53789468,2,Wildtalstraße,tertiary,40,False,True,83.083,"LINESTRING (7.8669164 48.0424113, 7.8670329 48.0423512, 7.8672708 48.0422873, 7.8673467 48.042271, 7.867423 48.0422547, 7.8676384 48.0421962, 7.8677002 48.0421707, 7.8677569 48.0421417, 7.867893 48.0420653)",K 4915,,,
"[901253094, 8610158, 713535614]",2,Vörstetter Straße,tertiary,30,False,False,178.942,"LINESTRING (7.8669164 48.0424113, 7.8668237 48.0424666, 7.8666983 48.0425414, 7.8663646 48.0427503, 7.8662445 48.0428147, 7.8662076 48.0428313, 7.8661229 48.0428677, 7.8660104 48.042906, 7.8659912 48.0429112, 7.8658957 48.0429391, 7.8658024 48.0429661, 7.8657806 48.0429714, 7.865599 48.0430143, 7.8655598 48.0430216, 7.865465 48.0430377, 7.8653106 48.0430554, 7.8650428 48.043086, 7.8649304 48.0431044, 7.8648343 48.0431363)",K 4915,,,
24977278,2,Alte Bundesstraße,tertiary,30,False,True,76.512,"LINESTRING (7.8659485 48.0407399, 7.8662917 48.0413886)",,,,
37201391,1,Alte Bundesstraße,tertiary,30,True,False,53.307,"LINESTRING (7.8659485 48.0407399, 7.8657953 48.0406072, 7.8657227 48.0405368, 7.8656058 48.0404087, 7.8655476 48.0403432)",,,,
6958332,,Feldbergstraße,residential,30,False,False,139.93200000000002,"LINESTRING (7.868958 48.0412919, 7.8688152 48.041179, 7.8680989 48.0406273, 7.8677295 48.0403385)",,,,
53789468,2,Wildtalstraße,tertiary,40,False,False,116.896,"LINESTRING (7.868958 48.0412919, 7.86836 48.0417259, 7.867893 48.0420653)",K 4915,,,
6958332,,Feldbergstraße,residential,30,False,True,139.93200000000002,"LINESTRING (7.8677295 48.0403385, 7.8680989 48.0406273, 7.8688152 48.041179, 7.868958 48.0412919)",,,,
6958335,,Schönbergstraße,residential,30,False,True,184.381,"LINESTRING (7.8677295 48.0403385, 7.8676137 48.0404457, 7.8674713 48.0406429, 7.867339 48.0409028, 7.8671825 48.041283, 7.8671001 48.0414004, 7.8669519 48.0414583, 7.8666627 48.0415337, 7.8663891 48.0415679)",,,,
24977278,2,Alte Bundesstraße,tertiary,30,False,False,21.212,"LINESTRING (7.8663891 48.0415679, 7.8662917 48.0413886)",,,,
6958335,,Schönbergstraße,residential,30,False,False,184.381,"LINESTRING (7.8663891 48.0415679, 7.8666627 48.0415337, 7.8669519 48.0414583, 7.8671001 48.0414004, 7.8671825 48.041283, 7.867339 48.0409028, 7.8674713 48.0406429, 7.8676137 48.0404457, 7.8677295 48.0403385)",,,,
24977278,2,Alte Bundesstraße,tertiary,30,False,True,102.195,"LINESTRING (7.8663891 48.0415679, 7.8665042 48.041795, 7.8665312 48.0418484, 7.8666134 48.0420114, 7.866758 48.0422528, 7.8668316 48.0423349, 7.8669164 48.0424113)",,,,
523231962,2,Alte Bundesstraße,tertiary,30,False,False,10.042,"LINESTRING (7.8697025 48.044285, 7.8697782 48.0443598)",,,,
24054679,,Kirchstraße,residential,30,False,False,142.014,"LINESTRING (7.8697025 48.044285, 7.8692957 48.0444465, 7.8689036 48.044572, 7.8685226 48.0446914, 7.8683769 48.0447335, 7.8679887 48.0448458)",,,,
"[523231962, 22900484]",2,Alte Bundesstraße,tertiary,30,False,True,236.77300000000002,"LINESTRING (7.8697025 48.044285, 7.8693954 48.0439285, 7.8693529 48.0438642, 7.8691388 48.0435727, 7.8690291 48.0434478, 7.868911 48.0433418, 7.8687651 48.0432499, 7.8685312 48.043161, 7.8684874 48.0431435, 7.8683968 48.0431085, 7.8683617 48.043095, 7.8682564 48.0430518, 7.8682302 48.0430406, 7.8679274 48.0429117, 7.8676683 48.0428014, 7.8676046 48.0427714)",,,,
53789424,,Alte Bundesstraße,residential,30,True,False,13.650000000000002,"LINESTRING (7.8711841 48.0482358, 7.8711776 48.0481951, 7.8711999 48.048157, 7.8712459 48.04813)",,roundabout,,
265433490,,Lindenstraße,residential,30,False,True,145.738,"LINESTRING (7.8711841 48.0482358, 7.8710772 48.0482442, 7.8710485 48.0482351, 7.8702467 48.0481275, 7.8692603 48.0480046)",,,,
"[23944978, 855294268]",,Alte Bundesstraße,residential,30,False,False,152.81499999999997,"LINESTRING (7.8712459 48.04813, 7.8712008 48.0480645, 7.8710822 48.0478923, 7.8710254 48.0478098, 7.8708814 48.047608, 7.8707689 48.0474467, 7.8706561 48.0472586, 7.870595 48.0470459, 7.8705425 48.046848)",,,,
53789423,,Alte Bundesstraße,residential,30,True,False,28.78,"LINESTRING (7.8712459 48.04813, 7.8712868 48.0481211, 7.8713298 48.0481217, 7.8713701 48.0481316, 7.8714034 48.0481499, 7.8714258 48.0481744, 7.8714349 48.0482025, 7.8714297 48.0482311, 7.8714109 48.0482569, 7.8713803 48.0482772)",,roundabout,,
24986050,,Alte Bundesstraße,residential,30,False,False,27.056,"LINESTRING (7.8715994 48.0484715, 7.8714358 48.0483262, 7.8713803 48.0482772)",,,,
24054742,,Hebelstraße,residential,30,False,False,86.009,"LINESTRING (7.863608 48.0418461, 7.8647647 48.0418315)",,,,
24054742,,Hebelstraße,residential,30,False,True,20.824,"LINESTRING (7.863608 48.0418461, 7.8633302 48.0418701)",,,,
24462966,,Reinhold-Schneider-Straße,residential,30,False,True,191.474,"LINESTRING (7.863608 48.0418461, 7.8634878 48.0413483, 7.8633801 48.0410183, 7.863338 48.0407422, 7.8633354 48.040523, 7.8633438 48.0403592, 7.8633753 48.0401409)",,,,
24054742,,Hebelstraße,residential,30,False,False,63.155,"LINESTRING (7.8624858 48.0419317, 7.8628474 48.0419012, 7.8633302 48.0418701)",,,,
"[24054796, 26289895]",,Scheffelstraße,residential,30,False,False,183.029,"LINESTRING (7.8624858 48.0419317, 7.862513 48.0422757, 7.862478 48.043172, 7.8630731 48.0430967)",,,,
26289895,,Scheffelstraße,residential,30,False,True,21.188,"LINESTRING (7.863351 48.0430544, 7.8630731 48.0430967)",,,,
24463235,,Emil-Gött-Straße,residential,30,False,True,131.715,"LINESTRING (7.863351 48.0430544, 7.8633537 48.0423877, 7.8633302 48.0418701)",,,,
26289895,,Scheffelstraße,residential,30,False,False,107.168,"LINESTRING (7.863351 48.0430544, 7.8638353 48.0429834, 7.8641781 48.0429547, 7.8643489 48.0429635, 7.8644154 48.0429914, 7.8644953 48.0430292, 7.8646712 48.0430635, 7.8647405 48.0430651)",,,,
23906295,,Im Höfle,residential,30,False,False,34.109,"LINESTRING (7.867893 48.0420653, 7.8680182 48.0421949, 7.8681129 48.0423336)",,,,
53789468,2,Wildtalstraße,tertiary,40,False,False,83.083,"LINESTRING (7.867893 48.0420653, 7.8677569 48.0421417, 7.8677002 48.0421707, 7.8676384 48.0421962, 7.867423 48.0422547, 7.8673467 48.042271, 7.8672708 48.0422873, 7.8670329 48.0423512, 7.8669164 48.0424113)",K 4915,,,
53789468,2,Wildtalstraße,tertiary,40,False,True,116.896,"LINESTRING (7.867893 48.0420653, 7.86836 48.0417259, 7.868958 48.0412919)",K 4915,,,
23906295,,Im Höfle,residential,30,False,False,33.536,"LINESTRING (7.8681129 48.0423336, 7.8682289 48.0423843, 7.8684905 48.0424986)",,,,
23906295,,Im Höfle,residential,30,False,True,34.109,"LINESTRING (7.8681129 48.0423336, 7.8680182 48.0421949, 7.867893 48.0420653)",,,,
"[523216818, 26501932]",,Im Höfle,residential,30,False,False,61.922,"LINESTRING (7.8681129 48.0423336, 7.8680476 48.0423643, 7.8679334 48.0424751, 7.8677487 48.0426421, 7.8676648 48.0427173, 7.8676046 48.0427714)",,,no,
"[523231962, 22900484]",2,Alte Bundesstraße,tertiary,30,False,False,236.77300000000002,"LINESTRING (7.8676046 48.0427714, 7.8676683 48.0428014, 7.8679274 48.0429117, 7.8682302 48.0430406, 7.8682564 48.0430518, 7.8683617 48.043095, 7.8683968 48.0431085, 7.8684874 48.0431435, 7.8685312 48.043161, 7.8687651 48.0432499, 7.868911 48.0433418, 7.8690291 48.0434478, 7.8691388 48.0435727, 7.8693529 48.0438642, 7.8693954 48.0439285, 7.8697025 48.044285)",,,,
22900484,2,Alte Bundesstraße,tertiary,30,False,True,65.101,"LINESTRING (7.8676046 48.0427714, 7.8675144 48.0427303, 7.8674454 48.0426988, 7.867249 48.042609, 7.8670535 48.0424928, 7.8669164 48.0424113)",,,,
"[523216818, 26501932]",,Im Höfle,residential,30,False,True,61.922,"LINESTRING (7.8676046 48.0427714, 7.8676648 48.0427173, 7.8677487 48.0426421, 7.8679334 48.0424751, 7.8680476 48.0423643, 7.8681129 48.0423336)",,,no,
"[6273768, 6273753, 806945462, 806945463]",2,"['Untere Waldstraße', 'Waldstraße']",tertiary,40,False,"[False, True]",155.163,"LINESTRING (7.8752314 48.0461816, 7.8751462 48.0461904, 7.8749305 48.046218, 7.8747635 48.0462441, 7.8744357 48.0462976, 7.8738408 48.04638, 7.8731896 48.0464701)",,,,
146373352,,Bahnhofstraße,residential,30,False,False,92.45400000000001,"LINESTRING (7.8737598 48.0434733, 7.8736206 48.0434879, 7.8732432 48.0435281, 7.8732133 48.0435301, 7.872524 48.0435577)",,,,
642962838,,Rosenstraße,residential,30,False,False,144.45000000000002,"LINESTRING (7.8737598 48.0434733, 7.8737401 48.0434364, 7.8737049 48.0433352, 7.8736106 48.0430687, 7.8734277 48.0426785, 7.8732812 48.0423286, 7.8732369 48.0422228)",,,,6
"[642962840, 24054641, 24054646, 642962838]",,Rosenstraße,residential,30,False,"[False, True]",244.132,"LINESTRING (7.8737598 48.0434733, 7.8738249 48.0436084, 7.8739358 48.0440886, 7.8739939 48.0443404, 7.874027 48.0444575, 7.8741097 48.0447565, 7.8741064 48.0447983, 7.8736634 48.0447849, 7.8735097 48.0447802, 7.8728393 48.044764)",,,,6
642962838,,Rosenstraße,residential,30,False,True,144.45,"LINESTRING (7.8732369 48.0422228, 7.8732812 48.0423286, 7.8734277 48.0426785, 7.8736106 48.0430687, 7.8737049 48.0433352, 7.8737401 48.0434364, 7.8737598 48.0434733)",,,,6
24054646,,Rosenstraße,residential,30,False,False,83.711,"LINESTRING (7.8728393 48.044764, 7.8724539 48.0447476, 7.8720981 48.0447468, 7.8717154 48.0447686)",,,,
"[642962840, 24054641, 642962838, 24054646]",,Rosenstraße,residential,30,False,"[False, True]",244.13199999999998,"LINESTRING (7.8728393 48.044764, 7.8735097 48.0447802, 7.8736634 48.0447849, 7.8741064 48.0447983, 7.8741097 48.0447565, 7.874027 48.0444575, 7.8739939 48.0443404, 7.8739358 48.0440886, 7.8738249 48.0436084, 7.8737598 48.0434733)",,,,6
24054653,,Nägeleseestraße,residential,30,False,False,55.833,"LINESTRING (7.8728393 48.044764, 7.8728536 48.0448612, 7.8728756 48.0450368, 7.8728771 48.0451823, 7.872881 48.045265)",,,,
24849267,,Breitenweg,living_street,,False,True,136.42700000000002,"LINESTRING (7.8728393 48.044764, 7.8727466 48.04419, 7.872524 48.0435577)",,,,
24054646,,Rosenstraße,residential,30,False,True,97.56800000000001,"LINESTRING (7.8701737 48.0448784, 7.871031 48.0448108, 7.8714793 48.0447916)",,,,
523231962,2,Alte Bundesstraße,tertiary,30,False,False,101.50500000000001,"LINESTRING (7.8701737 48.0448784, 7.8702288 48.0450053, 7.8702569 48.0451229, 7.8702864 48.0452461, 7.8703097 48.0454644, 7.8703435 48.0457816)",,,,
523231962,2,Alte Bundesstraße,tertiary,30,False,True,64.857,"LINESTRING (7.8701737 48.0448784, 7.8700864 48.0447347, 7.8699354 48.0445322, 7.8697782 48.0443598)",,,,
