osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width,lanes,junction
5937038,Bahnhofstraße,residential,30,False,False,64.18,"LINESTRING (12.0087281 47.8642153, 12.0085641 47.8640812, 12.008189 47.8637655)",,,,,
8093256,Schmiedgasse,living_street,,True,False,51.739999999999995,"LINESTRING (12.0087281 47.8642153, 12.0090231 47.8644548, 12.0090968 47.8646013)",,,,,
159188849,Münchner Straße,tertiary,30,False,False,38.492999999999995,"LINESTRING (12.0087281 47.8642153, 12.0085078 47.8643582, 12.008376 47.8644675)",RO 13,,,,
"[172051086, 27760487]",Münchner Straße,tertiary,"['20', '30']",False,True,39.746,"LINESTRING (12.0087281 47.8642153, 12.0089196 47.8641452, 12.0091958 47.8640441)",RO 13,yes,,,
5937038,Bahnhofstraße,residential,30,False,True,64.18,"LINESTRING (12.008189 47.8637655, 12.0085641 47.8640812, 12.0087281 47.8642153)",,,,,
8093261,Am Bichl,living_street,,False,False,67.401,"LINESTRING (12.008189 47.8637655, 12.0079241 47.8639377, 12.0078128 47.8640658, 12.0077601 47.8641973, 12.0077561 47.8642715)",,,,,
255958915,Bahnhofstraße,residential,30,False,False,77.928,"LINESTRING (12.008189 47.8637655, 12.0079442 47.8634551, 12.007702 47.8631455)",,,,,
4067808,Bahnhofstraße,residential,20,True,False,146.29,"LINESTRING (12.0068663 47.8627021, 12.006764 47.8626721, 12.0058519 47.8624048, 12.0051131 47.8621869, 12.0050701 47.8621743)",,,,,
8093588,Sedanstraße,residential,30,False,False,115.35,"LINESTRING (12.0068663 47.8627021, 12.0068344 47.862739, 12.0067959 47.8627808, 12.0066859 47.8628309, 12.0054285 47.8629783)",,,,,
27761317,Bahnhofstraße,residential,30,False,True,17.393,"LINESTRING (12.0068663 47.8627021, 12.0070454 47.862764, 12.0070745 47.8627724)",,,,,
40000214,Lindenstraße,residential,30,False,False,13.197000000000001,"LINESTRING (12.0068663 47.8627021, 12.0069167 47.862634, 12.006945 47.8625958)",,,,,
770115754,Bahnhofstraße,living_street,,False,True,10.489,"LINESTRING (12.0050701 47.8621743, 12.0049349 47.8621484)",,,10,,
27761308,Frühlingstraße,residential,30,False,True,93.31400000000001,"LINESTRING (12.0050701 47.8621743, 12.0051347 47.8623191, 12.0054285 47.8629783)",,,,,
4067662,Bahnhofstraße,living_street,,False,False,14.481,"LINESTRING (12.0047434 47.8621697, 12.0049349 47.8621484)",,,10,,
"[770115760, 333520186]",Bahnhofstraße,living_street,,False,False,62.273,"LINESTRING (12.0047434 47.8621697, 12.0046623 47.8620949, 12.0046113 47.8620478, 12.0046049 47.8620251, 12.0046079 47.8620022, 12.00462 47.8619806, 12.0046382 47.8619636, 12.004662 47.8619501, 12.00469 47.861941, 12.0047205 47.8619368, 12.0047564 47.861968, 12.0049153 47.8621181, 12.0049349 47.8621484)",,,,,
10059231,Bahnhofstraße,living_street,,False,False,75.94200000000001,"LINESTRING (12.0047434 47.8621697, 12.004653 47.86219, 12.0046232 47.8621964, 12.0043928 47.8623003, 12.0042448 47.8623673, 12.0038709 47.8625167)",,,4,,
8093589,Maillingerstraße,residential,30,False,True,92.442,"LINESTRING (12.0054285 47.8629783, 12.0042249 47.863176)",,,,,
8093587,Frühlingstraße,residential,30,False,True,109.459,"LINESTRING (12.0054285 47.8629783, 12.0057934 47.8637968, 12.005849 47.8639214)",,,,,
8093588,Sedanstraße,residential,30,False,True,115.35,"LINESTRING (12.0054285 47.8629783, 12.0066859 47.8628309, 12.0067959 47.8627808, 12.0068344 47.862739, 12.0068663 47.8627021)",,,,,
27761308,Frühlingstraße,residential,30,False,False,93.31400000000001,"LINESTRING (12.0054285 47.8629783, 12.0051347 47.8623191, 12.0050701 47.8621743)",,,,,
"[10052305, 172366198]",Hofmühlstraße,residential,30,False,True,62.956,"LINESTRING (12.0108334 47.865435, 12.0105945 47.8655843, 12.0103808 47.8656519, 12.0102411 47.8656552, 12.0100998 47.8656586)",,,,,
"[195979352, 342294780, 770115757, 247852623]",Kirchzeile,residential,"['20', '30']",False,True,160.434,"LINESTRING (12.0108334 47.865435, 12.010828 47.865365, 12.0108363 47.8652951, 12.0108581 47.8652266, 12.0110003 47.8647449, 12.0110221 47.8646115, 12.0110295 47.864502, 12.0110229 47.8644376, 12.0110114 47.8644048, 12.0109906 47.8643516, 12.010967 47.86431, 12.01094 47.8642674, 12.0108955 47.8642018, 12.0108314 47.8641226, 12.0107416 47.8640538)",,,,,
342294779,Kirchzeile,residential,30,False,True,45.682,"LINESTRING (12.0108334 47.865435, 12.0108516 47.8655024, 12.0108825 47.8655676, 12.0109254 47.8656297, 12.0109798 47.8656877, 12.0110447 47.8657405, 12.0111191 47.8657874)",,,,,
159188849,Münchner Straße,tertiary,30,False,False,87.798,"LINESTRING (12.0082335 47.8645943, 12.0079189 47.8648124, 12.007366 47.8649784, 12.0072576 47.865011)",RO 13,,,,
159188849,Münchner Straße,tertiary,30,False,True,17.658,"LINESTRING (12.0082335 47.8645943, 12.0083035 47.864532, 12.008376 47.8644675)",RO 13,,,,
247852631,Schmiedgasse,living_street,,False,True,78.077,"LINESTRING (12.0082335 47.8645943, 12.0083812 47.8647705, 12.008451 47.8648355, 12.0086463 47.8648517, 12.009072 47.8648879)",,,,,
5937034,Sonnenstraße,residential,50,False,False,20.281,"LINESTRING (12.0059646 47.8603572, 12.0058417 47.8603692, 12.0056956 47.8603835)",,,,3,
252793274,Lindenstraße,residential,30,False,True,38.373999999999995,"LINESTRING (12.0059646 47.8603572, 12.0059781 47.8603879, 12.0060235 47.8604871, 12.0061106 47.8606881)",,,,,
